StatementId,Text
11c4b5510a2e452d541bac2f543a545b,"@VojtechBlazek Vzpomínám, jak jednou řekl Václav Klaus starší, tuším @SidlovaTereza :  Co jste to za antilidi?! :)))"
1affb575f0b09a4d7d337bced371c3af,"@MarekVondrak @AlexandrMitrofa @Rkubicko @PetrHonzejk @etabery @jindrichsidlo @BohumilPecinka @JiriPehe @fendrych_m @PepaKopecky @Blesk24 @VrataDostal @dan_prokop @SvecKamil @JochRoman @CT24zive @CTK_cz @saradinpa Jak tak o tom přemýšlím, mohlo tam být i progresivistická a mravně relativistická. Liberální může být i levice, myslel jsem V. Klause a ovzduší vlády ekonomiky nad morálkou a solidaritou."
249D925C9294850B9EE0B605FEB8988F,"Škoda,že v Staré Boleslavi za přítomnosti Miloše Zemana a Václava Klause nezazněly přímluvy za čínské křesťany a skutečné uprchlíky,ale jen za křesťany pronásledované islamisty"
28db4e93f84f17d4def18a2392b08ed9,"Jak to přesně bylo s půjčkou Sovětskému svazu v roce 1989? Hostem #20 minut Radiožurnálu byl bývalý premiér a prezident, ekonom Václav Klaus, který v průběhu rozhovoru odešel ze studia. Moderoval @vladimirkroc: https://t.co/eCVhodmRHV"
3973b0eee455a4ad8a66348b9faf5153,"Klaus sen.: Ukrajina je  ponoukána politickými elitami Západu včetně našich, aby co nejvíc provokovala Rusko a prezidenta Putina . Provokovali s Donbasem, Krymem a majdanem. My v 68 provokovali se socikem  s lidskou tváří . VK sen. je Mičurin české politiky."
3EE8274CA3025D1A96359B91EC750ADE,"Rozhovor pro novinky.   Znáte koalici, která nemá rozpory? Když si uvědomíte, jak vypadaly například vlády za Václava Klause nebo Paroubkova vláda... Nemyslím si, že je tady někdy nějaká selanka. Jsou to strany, které si jsou navzájem politickými konkurenty, mají odlišné programy a styl. Beru to jako přirozenou součást a nemyslím si, že by tato vláda v tom smyslu z něčeho vybočovala.  https://www.novinky.cz/domaci/415815-nevidim-duvod-aby-se-vlada-rozpadla-tvrdi-belobradek.html"
494420ad1abfe1d7da20cff85e73573c,"Přepište dějiny, Václav Klaus se skoro omlouvá https://t.co/x3G05axlHy"
4fb434868084bec695e956362aff051a,"Zástupci neziskovek placených ze zahraničí mají být označeni jako zahraniční agenti, řekl Klaus ml., zakladatel politické neziskovky Institut VK, o.p.s., která je placena z Holandska.  Tak jo😀 https://t.co/Rhmjie6mzP"
631fb5c2f94d03e69803e899c011aec7,"Rozhovor s Petrem Havlíkem: Václav Klaus jr. nemá se zakladatelskými ideály ani se vznikem ODS nic společného https://t.co/0L99DsghII"
6996ab1ad82582f452abcc2b628985b0,"@TomSNesh @euroskeptik @R_Spicar_SP_CR @CNB_cz @CRoPlus @vladimirkroc @SvazPrumyslu Tak určitě,  teda kromě fanatických milovníků V. Klause"
7bc18f8a400701fd1eb63ff833ce725d,"@TomSNesh @euroskeptik @R_Spicar_SP_CR @CNB_cz @CRoPlus @vladimirkroc @SvazPrumyslu A přednášel V. Klaus 😉"
92b32a338a0e567937958b7c24532ee4," Vy jste zrůda lidská,  počastoval pan Klaus pana moderátora Vladimíra Korce, načež vysmrádl ze studia. 🙄"
9b8f2fb78a2e98f0081acd5980374475,"Já myslím, že lepší reklamu V. Klaus pro @P_Fiala udělat nemohl.  Protože P. Fiala rozhodně není člověk, který by dělal politiku jako V. Klaus a to je safra důležitá zprava pro naši zemi.  Nepotřebujeme někoho zahleděného do sebe, co je přesvědčen jen o své pravdě a výjimečnosti. https://t.co/bA9Sjss802"
a2d6496501332919d3bf26b6ba929a10,"@PetrHonzejk @VojtechBlazek @SidlovaTereza Václav Klaus? Kdo to je? Od něj jsem nic nečetl..."
c01a50d5d5d5ddec734e1dad512229b6,"Kupodivu odchod Kalouska ze Sněmovny se zatím v mojí twitterové bublině řeší málo. Tak poruším předsevzetí tu nekomentovat českou politiku, a trochu to nakopnu. Po velké trojce (Havel, Klaus, Zeman) je pro mne Mirek Kalousek první v řadě s titulem skutečný politik. Bude chybět !"
c1ac53bdc3809098ed3fcb2f0d767352,"Národní týden manželství zaštítí nakonec Václav Klaus mladší. Má více zkušeností.  https://t.co/GeCPATch0L"
e018eee69c764bfea6c9f9442264dd50,"já bych bez ohledu na Petra Fialu připomněl, že Klaus naposledy přímé volby vyhrál v roce 1996, což je docela dávno. Pak už jen prohrával. A když podpořil v roce 2013 blok Ruce vzhůru Jany Bobošíkové, nebo jak se to jmenovalo, bylo z toho krásných 0,42 procent hlasů"
f48aabb56ee306e92d958cefc72917df,"@TPetricek Reakce.  @PavelBelobradek : Názory pana Klause mně nestojí za komentář.  @lubomir_volny : Poche je fanatický eurofašista. Jeho maňásek má aktivně škodit republice a také tak činí.  @vojtafilip : Nerad, ale musím s bývalým prezidentem Klausem souhlasit."
f6e1027c83cf64aa2a3fe77fc4af5417,"@honzabartosek @Ovarisimus @VaclavKlaus_ml @market_a @Vit_Rakusan @milionchvilek V. Klaus? Toho neznám, kdo to je? Nic jsem od něj nečetl. Džejár? Aha..."
