Slovo,Podobnost
rozhodně,0.19815491139888763
komunisté,0.19203703105449677
žádný,0.19157256186008453
principy,0.16964222490787506
podpory,0.16489459574222565
sněmovny,0.1415363848209381
republiku,0.13056345283985138
ab,0.1283293068408966
hnutí,0.12454335391521454
ministr,0.08806251734495163
stranu,0.07679981738328934
trestného,0.06006550043821335
unie,0.05776200070977211
ústavě,0.041758302599191666
orgány,0.04155329614877701
slova,0.04073081165552139
výzkumu,0.037415869534015656
rádi,0.027791226282715797
volbami,0.023052474483847618
hlasy,0.020420972257852554
českou,0.017502209171652794
premiéra,0.013605494052171707
