Slovo,Podobnost
vláda,0.9998209476470947
premiér,0.9998140931129456
komunisté,0.9998130202293396
politici,0.9998118281364441
roky,0.9998102188110352
lidé,0.9998093843460083
situace,0.9998043775558472
celou,0.9997936487197876
letech,0.9997886419296265
ministr,0.9997868537902832
volby,0.9997857213020325
zemi,0.9997855424880981
místě,0.9997837543487549
stát,0.9997808933258057
politická,0.9997807145118713
občanům,0.9997788667678833
pan,0.9997749328613281
dobu,0.9997715353965759
druhé,0.9997701048851013
jasný,0.9997683167457581
návrhy,0.999767005443573
prezidenta,0.999763548374176
změně,0.9997633099555969
