Slovo,Podobnost
roušky,0.391461580991745
voleb,0.3500842750072479
životu,0.3435823321342468
předložené,0.3204553425312042
úplně,0.31084543466567993
změna,0.2991301417350769
zákon,0.29741427302360535
hlasování,0.29202908277511597
vládních,0.2850404381752014
krok,0.2643868029117584
hlasovat,0.26197588443756104
společně,0.26142415404319763
nikdy,0.2501509487628937
strany,0.24009853601455688
televize,0.2382235825061798
roce,0.23770399391651154
žádný,0.23629136383533478
méně,0.22694982588291168
prodloužení,0.22383899986743927
pravdu,0.21949756145477295
