Slovo,Podobnost
vládě,0.701550304889679
babišovi,0.6730379462242126
koalice,0.6482440829277039
cesta,0.6218255758285522
politické,0.6165993809700012
straně,0.6010067462921143
bezpečnost,0.5988759994506836
republice,0.5949136018753052
ministra,0.592958927154541
prezidenta,0.5811216235160828
vyslovení,0.5733975768089294
situaci,0.5616092085838318
podporu,0.5599132776260376
všechny,0.5569934248924255
premiér,0.553131103515625
státu,0.5502520799636841
hamáčkovi,0.5419920086860657
hamáček,0.5419919490814209
ochranou,0.5398055911064148
země,0.5367472171783447
lidé,0.5322448015213013
vládní,0.5203090906143188
společně,0.4277667701244354
každá,0.418451189994812
odborníků,0.41527360677719116
