Slovo,Podobnost
úkol,0.40259042382240295
takto,0.35455065965652466
ministerstvo,0.32629504799842834
znamení,0.3170534372329712
ministryni,0.3158847391605377
stát,0.3154432475566864
daňové,0.3047598600387573
práci,0.29388296604156494
týden,0.2901580035686493
sněmovně,0.2887594699859619
lidi,0.2873930335044861
učitelů,0.285882830619812
zákon,0.28385910391807556
rozpočtu,0.28301891684532166
snížení,0.28227248787879944
tolerance,0.27936986088752747
kterého,0.27923232316970825
úřad,0.27746930718421936
paní,0.275471955537796
právní,0.2754412591457367
rád,0.2695145606994629
