Slovo,Podobnost
vládu,0.7657164931297302
ministrem,0.747696578502655
babiš,0.7372308373451233
premiér,0.7310805320739746
financí,0.7262294888496399
žádným,0.7194625735282898
roku,0.6965947151184082
politiků,0.6875076293945312
politických,0.6865718960762024
české,0.6674619913101196
lidi,0.663914144039154
dělá,0.6593227982521057
stran,0.6584579944610596
jiný,0.6446143388748169
občanů,0.6299715638160706
chybou,0.6283972263336182
pana,0.6251941919326782
programů,0.6237415671348572
zákon,0.6221977472305298
