Slovo,Podobnost
neschopnost,0.2587602138519287
zemích,0.23754917085170746
stojí,0.2215280830860138
koronavirem,0.2114880383014679
pandemii,0.20003528892993927
prostředků,0.19391919672489166
trasování,0.18523168563842773
změnu,0.17231698334217072
dlouho,0.16416224837303162
chyby,0.15546976029872894
marketingu,0.14600731432437897
především,0.14285704493522644
karanténa,0.13657529652118683
plán,0.13470588624477386
chytrá,0.129966139793396
dávno,0.12792010605335236
učitele,0.12320628017187119
poslouchat,0.10998909920454025
ohrožené,0.10986293852329254
odpovědnost,0.10691511631011963
slib,0.10490458458662033
