Slovo,Podobnost
vlády,0.9885145425796509
prezidentem,0.9844406843185425
politickou,0.9837998151779175
premiéra,0.9834914803504944
českou,0.9828053116798401
politiků,0.982468843460083
volby,0.9822648167610168
republiku,0.981843113899231
roky,0.9814093708992004
babiš,0.981359601020813
státu,0.9812747836112976
důvěru,0.9809371829032898
předsedovi,0.9802144169807434
let,0.9796865582466125
země,0.9786113500595093
celé,0.9785126447677612
ministr,0.9780629873275757
zákonem,0.9775610566139221
lidmi,0.977324366569519
druhým,0.9764854907989502
