Slovo,Podobnost
šojdrová,0.9749204516410828
bělobrádek,0.9647669196128845
pan,0.9645222425460815
vláda,0.9596905708312988
poslanec,0.9545029997825623
expremiér,0.9543355107307434
nynější,0.9524307250976562
peněženkách,0.9507611393928528
kalousek,0.9499846696853638
kalouskem,0.9499845504760742
zbývá,0.949500322341919
pirátůstan,0.949256181716919
ministra,0.9425750970840454
sobotka,0.9419841766357422
top09,0.9401251077651978
předseda,0.9398413896560669
koaličních,0.9397176504135132
bělobrádkem,0.9394766688346863
měsíc,0.9394338726997375
čestný,0.927636981010437
expředsedou,0.9228032827377319
babiš,0.9222584366798401
