Slovo,Podobnost
komfortu,0.2178356647491455
g1,0.21173441410064697
nedostatek,0.20962917804718018
výstavbu,0.2081204652786255
špatného,0.20657899975776672
vrtulník,0.2049632966518402
kardiologie,0.20142140984535217
pavilony,0.2006974071264267
ministrem,0.19958192110061646
urgentního,0.1950705647468567
ošetřovatelskou,0.19432730972766876
kontaktu,0.18612773716449738
cestovat,0.18555335700511932
dětem,0.18500320613384247
státních,0.18093344569206238
prohlédnu,0.17965096235275269
čekat,0.17584937810897827
vývoje,0.17368635535240173
zdravotníky,0.17229098081588745
jihlavské,0.17117087543010712
celý,0.17061272263526917
pracoviště,0.16747519373893738
prohlídky,0.16035237908363342
fakultní,0.15846765041351318
fn,0.15775442123413086
