Slovo,Podobnost
tiskovém,0.3189612329006195
televizi,0.285265177488327
rána,0.2755679190158844
nouzového,0.23648984730243683
nemocnic,0.2252453863620758
veřejnosti,0.22512003779411316
katedry,0.21732600033283234
premiéra,0.21065174043178558
listině,0.2085200399160385
člověkem,0.2020159512758255
odst,0.2000325471162796
interview,0.18988493084907532
moderátorka,0.18567422032356262
stát,0.18360398709774017
roušku,0.1703530102968216
letošní,0.16601209342479706
metry,0.15120813250541687
díl,0.15067462623119354
čl,0.1502499282360077
stoje,0.15000192821025848
věci,0.14524134993553162
jednání,0.14150948822498322
návratu,0.13242463767528534
pokouší,0.1294720470905304
zákona,0.12922346591949463
