StatementId,Text
053674bcc19ce7812757153de95d5fa5,"Tradiční česká značka Zetor slaví 75 let. Za dobu své existence prodala více než 1,3 mil. traktorů do 136 zemí světa. S Andrej Babiš a ministrem obrany Lubomírem Metnarem jsme si prošli provoz a popovídali si s vedením a se zaměstnanci o fungování této skvělé firmy 🇨🇿"
150f383183729488f38ed4852a6c252e,"@Zbynek_Stanjura Takže podle vás, může Andrej Babiš za to, že agentura Moody's pochybuje o schopnostech této vlády. To myslíte vážně? Jste už 8 měsíců u vlády a 8 měsíců se jen vymlouváte, ale už to přestalo zabírat. Důsledkem toho je, že vám nevěří lidé, firmy ani ratingové agentury."
1c603c5624b83adba708ae4244ca486f,"Tak tohle je Kobra. DAŇOVÁ KOBRA 🐍😎 Jo, a vymyslel to nějakej Babiš ⤵️ https://t.co/vh6TYSq34n"
24FE748321D817DD9512AFFA55CFADE1,"Správné rozhodnutí poslanců! Teprve podruhé stoupne příspěvek na péči - ve 3. stupni o 4000 Kč a ve 4. stupni o 6000 Kč. Poprvé se zvýšil o 10 % v roce 2016 za ministra financí Babiše. Závazek kolegů, že na to najdeme potřebné peníze ve výdajích jejich rezortů, beru velmi vážně! https://t.co/oRzKUoJyEO"
2efc7e5287d144e25b76b4c73926a9c8,"Prezident republiky Miloš Zeman na Pražském hradě jmenoval novou vládu pod vedením Andreje Babiše. https://t.co/8dIqRkf5KQ"
2F5B64AB525D99703859FD8D26AA0F2E,"Hezký den přátelé,     tak v neděli to bude už pošesté, co budeme losovat 21 025 výherních účtenek v Účtenkovce. Mám velkou radost, že i po půl roce mohu říct, že zájem o Účtenkovku je parádní. Dokonce v tomhle slosování trhnete rekord - 18 394 994 zaregistrovaných účtenek! Je dobře, že účtenky nekončí v koši, ale že si je lidé berou a obchodníci vystavují. V nejvyspělejších zemích je vystavování účtenek samozřejmostí a v České republice se konečně stává také. 👍     Ten půl rok utekl jako voda, stejně jako tenhle končící pracovní týden. A stihlo se hodně důležitých a příjemných věcí. Hned v pondělí jsem se připojila k pracovní cestě vlády do Královéhradeckého kraje, kde jsem se zúčastnila konference Internet ve státní správě a samosprávě. To úzce souvisí s mou hlavní prioritou, o které jste určitě slyšeli a která se jmenuje on-line finanční úřad. Je to velký projekt, na kterém pracujeme každý den, abychom jej mohli spustit už v roce 2020. V červnu uděláme tiskovku, na které vám jej podrobněji představíme.     Vzpruhou pro mne byla pondělní návštěva kamenické a sochařské průmyslovky v Hořicích. Co tamní studenti dokáží z hlíny vytvořit, je zkrátka úžasné. Mnoho podnětů jsem si odvezla ze setkání se starosty měst a obcí v regionu a ze společného jednání s Radou Královehradeckého kraje. Kromě výstavby dopravní infrastruktury je trápí zejména nedostatek lékařů a zdravotnického personálu. Jednali jsme také o financování sociálních služeb, financování regionálního školství a rozvoji venkova.     Ve středu už od šesti hodin jednala vláda ve Strakovce a mimo jiné schválila návrh Ministerstva financí na vznik Výboru pro rozpočtové prognózy, který bude posuzovat predikce využívané ministerstvem v přípravě státního rozpočtu. Od zavedení externího hodnocení ministerských analýz odborníky nezávislými na vládních institucích si slibuji hlavně jejich zpřesnění. Zpětná vazba je totiž nejužitečnější, přijde-li včas a je možné jí ještě zohlednit.     V úterý odpoledne začala také dubnová schůze poslanecké sněmovny, kde druhým čtením prošel návrh Ministerstva financí na zcela nový zákon o distribuci pojištění a zajištění. Maximálně omezí nepoctivé prodejce životního pojištění, zlepší srozumitelnost smluvních podmínek a celkově zvýší standard služeb v pojišťovnictví. Je to velmi užitečná norma a věřím, že se ji podaří co nejrychleji prosadit. Sněmovna také zamítla poslanecký návrh novely zákona o směnárnách. Byl bohužel připraven ledabyle a v praxi by nemohl fungovat, neupravoval povinnost informovat klienty o možnosti odstoupit do dvou hodin od směny ani situaci, kdy už bude v té době směnárna zavřená. Dát klientům směnáren možnost do 2 hodin od provedení směny odstoupit od smlouvy ale rozhodně chceme, proto také finalizujeme vlastní kvalitní novelu, kterou jsme konzultovali s Českou národní bankou, s Českou bankovní asociací, s Asociací směnáren a se Svazem hotelů a restaurací a vládě jí předložíme do konce tohoto měsíce.     Ve středu přijel do Prahy na svou první zahraniční cestu nový slovenský premiér Peter Pellegrini spolu s ministrem financí Peterem Kažimírem. Měla jsem tu čest zúčastnit se po boku pana premiéra Babiše slavnostního oběda v Kramářově vile. Nadstandardní spolupráce s kolegou Kažimírem si nesmírně vážím. Stejně jako Česká republika i Slovensko prošlo v uplynulých několika letech pod tlakem nutnosti ozdravit veřejné finance velmi náročnou cestou boje s daňovými úniky. Jsem hrdá na to, že se oběma zemím podařilo změnit postoj společnosti k placení daní i dlouhodobou toleranci k daňovým únikům. Přínosy pro státní rozpočet, kterých bylo dosaženo kombinací reformy finanční správy, legislativních opatření a lepší spoluprací jednotlivých složek státu, nám umožnily snížit nejen veřejné zadlužení, ale i daňovou zátěž obyvatel a podpořit tím životní úroveň v obou zemích.     Odpoledne jsem se sešla se zástupci minipivovarů a společně jsme hledali cesty, jak jim ulevit od administrativní zátěže. Ze schůzky jsem si odnesla velmi dobrý pocit. Mnoho problémů se daří odstranit už vzájemnou komunikací, díky které především odpadnou zbytečná nedorozumění. Dohodli jsme se, že Celní správa ve spolupráci s Ministerstvem financí připraví semináře, kde společně se zástupci minipivovarů budeme hledat způsob, jak správu jejich daní maximálně zjednodušit a eliminovat nadbytečné papírování. K jednacímu stolu se pak zase vrátíme, abychom posun vyhodnotili.     Ve čtvrtek jsem jednala pro změnu se zástupci Agrární komory a pak měla na programu rozhovor pro časopis Bankovnictví. Zajímali se zejména o postoj státu k bezhotovostní ekonomice či vzájemném postavení dlužníků a věřitelů. Odpoledne jsem se zhostila milé povinnosti besedovat se studenty VŠE o práci a úkolech Ministerstva financí. Bavili jsme se nejen o daních a státním rozpočtu, ale i úpravách sdílené ekonomiky nebo státních investicích.     Dnes mě čekalo už „jen“ ranní jednání na Úřadu vlády, spousta práce a administrativy v mé pracovně na Ministerstvu financí, potom schůzka ve Sněmovně s paní ministryní Dostálovou ohledně možností posílení investic z veřejných rozpočtů a pak už přesun na víkend do Brna. Odpočinek budu prokládat přípravou na pondělní výjezd vlády do Karlovarského kraje, pokračování schůze Sněmovny nebo Česko-francouzské kolokvium na Generálním ředitelství cel.     Přeji Vám všem, kteří mě sledujete tady na Facebooku, příjemný a pohodový víkend. A díky, že je Vás už 500 😉     Vaše Alena Schillerová"
42c3179e3fbfcc73f20dd7f1505239f7,"Mezinárodní experti rozvrat českých veřejných financí neočekávají. Ratingová agentura Fitch ponechává rating ČR na dosavadní úrovni, je optimističtější než sama Babišova vláda https://t.co/Egqk3fvNrs"
43fe383ce99231ea1434138922d8656c,"Andrej Babiš má pro Vás vzkaz. Mrkněte na video 🙂"
482fcf0cd4b2e70f6f5bfa05afa3bdc9,"Netajím se tím, že premiér Babiš je nejlepším šéfem, jakého jsem kdy měla. A mám velkou radost vždycky, když mou práci ocení. Jako třeba tuto středu v Duelu JS Speciál 😊⤵️"
4a0912d5a19b0b6c4aab0627e1bcf5e4,"No jasně, máme rekordní inflaci a může za ni Andrej Babiš 🙈"
56975b2d28aa86418991bbbfdcf203fc,"Ministerstva pod politickou kontrolou ANO lžou senátorům, tají  informace, zdržují proces, ignorují  komisi. Snaha o ochranu osobních zájmů Babiše je očividná.    Dodržování zákona, veřejný zájem, loajalita Česku, to je vaše role.  @SeznamZpravy @ZdenekNytra    https://t.co/82DtyWLSLe"
6050cf54216d711d6665eff7492b4b4b,"Andrej Babiš a jeho vánoční přání 😉 Dozvíte se mimo jiné, jaký vánoční dárek má pan premiér nejradši. Tak snad se mu přání vyplní 😌 Krásné sváteční dny plné splněných snů vám všem!"
691420e86565a3348894881524cf5aec,"Pan prezident na zámku v Lánech při příležitosti pracovního oběda přátelsky přivítal členy vlády. Na úvod pracovního oběda pan prezident vyzdvihl skvělé vzájemné vztahy. Předseda vlády Andrej Babiš poděkoval panu prezidentovi za pozvání. https://t.co/PCT0KpvKzN"
7234d5dc5f941efb7d0e965970f6d27d,"Naprosto správně! Poslanci právě dali zelenou navýšení příspěvku na péči ve 3. stupni o 4 000 Kč a ve 4. stupni o 6 000 Kč. Příspěvek budeme navyšovat podruhé, poprvé se zvýšil o 10 % v roce 2016 za ministra financí Babiše. Závazek mých vládních kolegů, že na to společně najdeme potřebné peníze ve výdajích jejich rezortů, beru velmi vážně! A souhlasím i s doprovodným usnesením schváleného návrhu, aby kolegové na Ministerstvu práce a sociálních věcí připravili komplexní novelu zákona o sociálních službách."
77122c7b3f43554833e1a139757b15dc,"@JakubMichalek19 @AndrejBabis Už jste otravní s tím kňouráním, za co všechno může Babiš. Proberte se! Jste už 7 měsíců ve vládě a máte většinu v PS, kde si určujete program vy. Kdybyste nebyli posedlí Babišem, tak jste toho mohli už pro lidi udělat hodně. Ale to byste se museli umět rozhodnout."
8a9c328ae519ff392f78d039edb2929b,"Andrej Babiš a jeho vánoční přání. Dozvíte se mimo jiné, jaký vánoční dárek má pan premiér nejradši. Tak snad se mu přání vyplní. Krásné sváteční dny plné splněných snů vám všem! https://t.co/lVz5SZmOat"
8c9eb02825aa30ff9e97799d6327d2fd,"S Andrej Babiš a vládním šéfem IT Vladem Dzurillou na prohlídce Národního datového centra v Zelenči 😎"
8ca1379559d381a0e9942d1f9cb30340,"⚡️🎤 Na svém Instagramu nás ministryně financí Alena Schillerová občas prostřednictvím fotek nechává nahlédnout do svého soukromí, ale o své rodině, rituálech a zálibách většinou nemluví. V rozhovoru pro LP-Life.cz udělala výjimku a neváhala taky prozradit, že když ji její nadřízený Andrej Babiš naštve, vzdorovitě ignoruje jeho SMSky, než se uklidní…  Celý rozhovor 👉🏻 https://www.lp-life.cz/rychla-zpoved-ministryne-financi-ale…"
92575ade306824ac2e14c0d9ea240d69,"MMF: „Inflace v roce 2021 dosáhla zvýšené úrovně v důsledku vysokých ceny energií, narušení dodavatelských řetězců a napjatých trhů práce a bydlení.“  Takže žádná  Babišova drahota …"
97311273e8da367ff411a7c82847e9ce,"Rozhovor Andreje Babiše pro Parlamentní listy. Moc zajímavé! Doporučuji👍"
9bf99559b897302cd58e0444f3677c98,"Netajím se tím, že pan Babiš je pro mě nejlepším šéfem v mém životě. Ale nejen o tom jsem si povídala s Davidem Klimešem v rozhovoru pro dnešní Ekonom. Mluvili jsme třeba o připravovaných změnách v EET nebo o daňovém balíčku, který ruší superhrubou mzdu a snižuje daně většině poplatníků. Příjemné čtení 😉"
