Slovo,Podobnost
mimo,0.3701593577861786
utíkají,0.29527512192726135
úrovni,0.2938244342803955
výjimky,0.2924913763999939
rozpočtu,0.2918170690536499
projekt,0.28187134861946106
netajím,0.2795114517211914
práce,0.27312493324279785
detektivce,0.2723456919193268
možnost,0.2678293287754059
fond,0.2657507359981537
pokračování,0.26572203636169434
zvýšené,0.2619248926639557
národních,0.2548708915710449
únikům,0.2526015639305115
ambasádou,0.24955883622169495
zdravotnictví,0.2459062933921814
expertů,0.243286594748497
politiků,0.24299956858158112
podzim,0.23328088223934174
ostudou,0.2304038405418396
výzkumu,0.22765430808067322
rezortů,0.22676463425159454
podvodům,0.22521135210990906
potřebných,0.22487637400627136
