Slovo,Podobnost
kultuře,0.2934448719024658
rámci,0.24905948340892792
zaměstnanci,0.24707353115081787
poslanci,0.2373986691236496
dostavba,0.23701316118240356
odvede,0.2357950657606125
státnímu,0.23073090612888336
věci,0.2304527312517166
století,0.21870118379592896
rozhodně,0.2178151160478592
povinnostem,0.21763698756694794
sbor,0.2170739322900772
tiskové,0.2164595127105713
dovolenou,0.2130892425775528
říjnu,0.2103022187948227
dálnic,0.20913870632648468
přistoupení,0.206258624792099
nejfrekventovanějšich,0.2060140073299408
špičkovými,0.20317959785461426
důchodů,0.20164687931537628
vylepené,0.19997312128543854
cen,0.1954648345708847
účtenku,0.18953193724155426
pos,0.18789057433605194
třetí,0.1877305805683136
