Slovo,Podobnost
ledna,0.33343884348869324
úzsvm,0.30644163489341736
poslanců,0.2803257703781128
země,0.27532514929771423
očekávání,0.27435076236724854
míru,0.27099671959877014
státu,0.2601664960384369
projekty,0.23173770308494568
investice,0.21497593820095062
přehledně,0.21216745674610138
portál,0.20876182615756989
výzkumném,0.20858794450759888
zdanění,0.20674043893814087
niedermayer,0.20649053156375885
úterý,0.20504647493362427
okupace,0.2046288698911667
plán,0.20055139064788818
namířeno,0.19107581675052643
děvče,0.19092696905136108
ochranu,0.19004839658737183
finanční,0.18933771550655365
průměrného,0.1879003643989563
majetkových,0.18714720010757446
koukat,0.18623463809490204
čele,0.1851954311132431
