StatementId,Text
0B1E531418CC7E3B2C35FC9F29D13096,"Posledních pár dnů bylo dost hektických. Nastal čas zastavit se, podívat se na situaci čerstvýma očima a klidu a s rozvahou si vše vyjasnit. Právě proto jdu už dnes večer do Duelu Jaromíra Soukupa. Dívejte se, začínáme v 21:15 😉"
15CE1073A335852758A551711093C473,"Proč jsme se rozhodli zatím nestanovovat termín přijetí Eura v České republice? A co mě přimělo změnit názor na výši limitu pro výdajové paušály živnostníků? To a ještě mnohem více jsme stihli probrat v Duelu Jaromíra Soukupa. Jestli máte chvilku, koukněte do archivu TV Barrandov ⬇️"
74c47a90c414957904318347260b0a4a,"S Jaromírem Soukupem jsem v úterním Duelu na TV Barrandov probrala chystanou stravenkovou revoluci, výhled české ekonomiky nebo také otázku udržitelnosti důchodového systému. Pokud jste Duel nestihli, podívejte se tady⤵️ Dozvíte se v něm také, jak uvažuji o své politické kariéře 🤔"
96ec594bf470a6d59b2e35be33930610,"Třicet let svobody, boj o státní rozpočet, škrtání úřednických míst nebo novinky v Účtenkovce. V úterním Duelu Jaromíra Soukupa jsme probírali témata, která hýbou společností. Pokud jste Duel propásli, můžete si ho pustit tady 🙂⤵️"
a3dd075fc377fc2eb6ff62d1a10c4d79,"Dnes večer v Duelu s Jaromírem Soukupem proberu novinky v Účtenkovce, téma paušální daně anebo chystanou stravenkovou revoluci📣 Zapněte si TV Barrandov ve 21:10!📺 Budu tam 😇"
b552b95b996d401f8671ebcb8276ab2d,"Nejskloňovanější slovo v médiích je nyní audit Evropské komise. K tomuto tématu jsem se včera jasně vyjádřila nejenom v Poslanecké sněmovně, ale také v Duelu Jaromíra Soukupa. Více zde ⤵️"
c54795c985ba5a2261a2e2cfdccec5ea,"S Jaromírem Soukupem jsme v jeho čtvrtečním Duelu diskutovali nejen o aktuální politické situaci, ale také o hospodaření Česka a dalších aktuálních ekonomických tématech. Jestli máte chvíli a chuť, pusťte si záznam 😉"
D441486F6312590A8F9598536AB8E925,"Máte už na dnešní večer nějaký program? Pokud ne, pusťte si ve 20:05 TV Barrandov. Budu tam s Jaromírem Soukupem probírat aktuální politická a ekonomická témata, která hýbou naším veřejným prostorem. Máte se na co těšit 😉"
da2dd821c06c71885524f90c4256c296,"O všem, co v těchto dnech hýbe naší zemí, budeme diskutovat v Duelu Jaromíra Soukupa na Barrandov.tv dnes od 21:10 hodin. Tak večer na viděnou u televize 📺"
dd8dae25ab4b1ababbce0fbf8cee0458,"Ve včerejším Duelu Jaromíra Soukupa jsem s poslancem Radimem Fialou diskutovala o dění na Slovensku, vyjednávání o vládě nebo o kauze zlatých padáků. Pokud jste Duel propásli, můžete si jej přehrát zde:"
FB6F5C308F8DAD52CBD0929783BC8824,"S úsměvem jde všechno líp 🙂 I příprava na dnešní Arénu Jaromíra Soukupa. Dívejte se, začínáme ve 21:25 😉"
