Slovo,Podobnost
čas,0.19173875451087952
archivu,0.18621987104415894
nejskloňovanější,0.17924270033836365
ekonomická,0.17282095551490784
republice,0.17203710973262787
škrtání,0.15711502730846405
termín,0.14198902249336243
médiích,0.13939671218395233
dnešní,0.1375722736120224
pusťte,0.1308927983045578
poslanecké,0.11672408133745193
padáků,0.10877104103565216
podívat,0.09335142374038696
podívejte,0.09146248549222946
společností,0.08409170061349869
státní,0.07967444509267807
tv,0.07788252085447311
poslancem,0.06400831043720245
očima,0.06362216174602509
sněmovně,0.0611395463347435
kauze,0.059039488434791565
pár,0.05391649901866913
hodin,0.05069439485669136
čtvrtečním,0.047468967735767365
témata,0.046485304832458496
