StatementId,Text
08B68F5585D92B0878ED67C74417C7E2,"Strakovka právě teď. S Peter Pellegrini. A krásné ráno vám všem 🤓"
0E1C33C0D66BFCA9998A19B2DD0215E2,"S Peterem Pellegrinim na Bratislavském hradě právě teď ❄️"
15BF78B2487DF03D0C76559D85D8096F,"Varšava právě teď. S Orbán Viktor, Peter Pellegrini a Mateuszem Morawieckým. V4 slaví členství v NATO 🇨🇿🇵🇱🇸🇰🇭🇺"
1D73D8F10065ACE6115B3CEA9F1D0C24,"Slovenský premiér Peter Pellegrini a já 🇨🇿 🇸🇰"
228a5fdadad5fc7d9e629e46c099b5f9,"Peter Pellegrini sbírá modely letadel, tak jsem mu sehnal československého Čmeláka Z-37 🙂"
28ba5f36fa4d674fbb5d407756177015,"Z hlášení. Jako každý rok jsem hned ráno uctil památku 17. 11. na Národní třídě a ještě mě čeká spousta věcí. Mám za sebou projev, který vám sem za chvíli hodím, kromě mě ale v Národním muzeu mluvili i premiéři Peter Pellegrini, Viktor Orbán, Mateusz Morawiecki a předseda Německého spolkového směnu Wolfgang Schäuble. Teď jsem tady v muzeu na výstavě Sametová revoluce a pak otevřeme multimediální expozici momenty 20. století."
2a69451354822f4310d9f40a28cc342d,"Bratislava právě teď. S Peter Pellegrini 👍"
2B308492E84AFC0E83FDB8C676BE2E8E,"S Peterem Pellegrinim 🇨🇿🇸🇰 Jednali jsme v rámci summitu Globsec."
2fafc1a346b02d684e2ecba8c3e91df3,"S Orbán Viktor, Mateusz Morawiecki, Sebastian Kurz a Peter Pellegrini 😎"
3E323DB51B865401E4E47D1C15325E00,"Bratislavský hrad právě teď. Se slovenským premiérem Peter Pellegrini 🇨🇿🇸🇰"
4cda25bf994e1d548d07f6ac93cd72d2,"V Brně jsme se slovenským premiérem Petrem Pellegrinim slavnostně otevřeli Exportní dům, prošli si výstaviště, zahájili  výstavu 100RIES – české a slovenské průmyslové legendy uplynulého století... Bylo toho mnohem mnohem víc. Napíšu vám zase v mém týdenním hlášení 😉"
50CA0F3CC8C31AF66E5D8866C2DBBA05,"S Petrom Pellegrinim právě teď 😉"
5DA2E802F95B4125DC4573CE3A47CB51,"S Peterem Pellegrinim a Mateuszem Morawieckim právě teď. Začíná mimořádné jednání V4 👍"
60cbbdddaf6d19b949af039b70a4599e,"Máme za sebou sedmé setkání slovenské a české vlády. Tentokrát ve Valticích. Bylo dost konkrétní, přátelské a příjemné a já ještě děkuji slovenskému premiérovi Peter Pellegrini, že nás přijel navštívit v tak silné sestavě. Není divu, že jsme pak všichni litovali, že jsme na sebe neměli ještě víc času. Komu to na začátku týdne uteklo, koukněte teď na video 😎"
67ab2495ed62d9e88e7a8650612ac283,"Brusel právě teď 😉 Se slovenským premiérem Peter Pellegrini."
720d0b14cfc943ee8b07bef0357f73be,"Národní muzeum 🇨🇿 S Mateuszem Morawieckým, Viktorem Orbánem a Petrem Pellegrinim."
776F83793BEE9DBE87C8465640DBE9B8,"S Petrom Pellegrinim právě teď. Připomínáme si výročí Martinské deklarace 👍"
7bc0045ddb5a4590fd2180f2e191e1f6,"V4 slaví členství v NATO 👍 S Orbán Viktorr, Peter Pellegrini a Mateuszem Morawieckim 🇨🇿🇸🇰🇭🇺🇵🇱"
