Slovo,Podobnost
sesypou,0.43342867493629456
private,0.3764393627643585
ministra,0.3397293984889984
stavebnictví,0.31044259667396545
kterého,0.3102019131183624
národní,0.30145180225372314
pravdivé,0.293805867433548
růstu,0.2918604612350464
pravidelném,0.2881091237068176
vstupu,0.25866562128067017
zákonnou,0.2501729428768158
jednání,0.24772682785987854
šéf,0.24217595160007477
ab,0.2421444207429886
unijní,0.24195221066474915
tržeb,0.24158993363380432
babišem,0.23660385608673096
stačí,0.23618952929973602
osobním,0.2358100563287735
krátká,0.23561187088489532
německu,0.2340206801891327
peníze,0.2336219698190689
deficitem,0.2333732694387436
média,0.23199987411499023
elektromobility,0.22817741334438324
