Slovo,Podobnost
formulář,0.48365020751953125
nákladů,0.43816640973091125
cen,0.39543256163597107
podnikatelům,0.3838452100753784
průmyslu,0.3771086633205414
opatření,0.37404996156692505
růst,0.3563440442085266
činnost,0.35421377420425415
pomoc,0.341590017080307
pane,0.3310534954071045
minimálně,0.32017022371292114
rokem,0.3110545575618744
procent,0.3109850585460663
dnešní,0.30602556467056274
rozpočtu,0.3042012155056
přímá,0.30236366391181946
kritérium,0.2932151257991791
kompenzační,0.2895335853099823
vládního,0.28466203808784485
době,0.28183048963546753
větší,0.2786332368850708
podporu,0.2755141854286194
původní,0.27428051829338074
ministr,0.27304449677467346
regulačním,0.27045103907585144
