Slovo,Podobnost
dobře,0.3933592438697815
léčiv,0.3042091727256775
roka,0.3014792501926422
práv,0.29402172565460205
takto,0.2765309512615204
číny,0.2498691976070404
slovních,0.24808603525161743
roušky,0.23668822646141052
odpadem,0.22870910167694092
babiše,0.22847798466682434
facebooku,0.2239324301481247
úmyslně,0.22328180074691772
lajky,0.22262655198574066
svem,0.22213591635227203
bezpečnost,0.21940720081329346
vánoce,0.21657690405845642
štěstí,0.21598853170871735
opakování,0.21403996646404266
nákup,0.21133024990558624
sil,0.20881173014640808
vítězství,0.2053326964378357
pfizeru,0.20168671011924744
referendum,0.2015637457370758
kdekoli,0.1986616998910904
lékařka,0.19815091788768768
