Slovo,Podobnost
ofenzívách,0.3119373321533203
světovém,0.2891247868537903
vlasním,0.275513619184494
bezpečnostní,0.26966196298599243
postupu,0.25864356756210327
evropě,0.24346356093883514
nato,0.2385493814945221
koncem,0.22584612667560577
otázka,0.22477059066295624
vytápění,0.21820463240146637
normálním,0.2128007858991623
roztrhaná,0.21035082638263702
kyjevských,0.20821386575698853
dodává,0.19447952508926392
podporu,0.19024887681007385
čeští,0.18777471780776978
tmy,0.1840106099843979
území,0.18386244773864746
vyzývá,0.18249770998954773
ústa,0.18202883005142212
loutka,0.17883743345737457
letadel,0.1783532351255417
mediální,0.17586654424667358
režim,0.17581301927566528
trump,0.17112533748149872
