Slovo,Podobnost
profilu,0.3627471327781677
rozhlasu,0.2951633036136627
státní,0.23540310561656952
konspirační,0.23125101625919342
informační,0.2272448092699051
čučkař,0.22696620225906372
lidi,0.2185276746749878
dnešku,0.21262621879577637
vašeho,0.2097027748823166
svobodu,0.20221208035945892
jugoslávie,0.19625291228294373
kterého,0.18916630744934082
prezidentského,0.18843324482440948
postoj,0.18060371279716492
odpověď,0.17959259450435638
žumpa,0.17862474918365479
politickou,0.17216338217258453
kritizuji,0.16983458399772644
stav,0.15858253836631775
známka,0.1582929641008377
omyl,0.15660056471824646
komunistická,0.1529826521873474
nástroj,0.15290680527687073
keří,0.1528369039297104
brutální,0.15034374594688416
