Slovo,Podobnost
plat,0.9980599880218506
klaus,0.9980596899986267
dobře,0.9980280995368958
současné,0.9979948401451111
roušku,0.9979867935180664
let,0.9979797005653381
myslím,0.9979644417762756
dokonce,0.9979609847068787
covid,0.9979383945465088
školách,0.9979362487792969
procent,0.9979351162910461
podívejte,0.9979189038276672
očkování,0.9978795647621155
hradě,0.9978662729263306
většinou,0.9978644847869873
výroku,0.9978599548339844
národní,0.9978580474853516
věku,0.9978579878807068
zadruhé,0.9978461265563965
znamená,0.9978352189064026
funkci,0.9978285431861877
rukou,0.9978232979774475
boj,0.997822642326355
zdravotní,0.9978180527687073
věc,0.9978160858154297
