Slovo,Podobnost
republiky,0.9859911799430847
prezident,0.9743347764015198
úctě,0.9697978496551514
české,0.967928409576416
pane,0.8844423294067383
rozhovoru,0.8661899566650391
občanům,0.8658295273780823
jménem,0.865375816822052
hlubokou,0.8591527938842773
soustrast,0.8565748929977417
podvečer,0.8555952906608582
vážený,0.8549457788467407
život,0.8408227562904358
frekvence,0.8252995014190674
generála,0.8243920803070068
lánech,0.8219600915908813
hodnosti,0.82124924659729
brigádního,0.8198035359382629
navzájem,0.8197353482246399
procházka,0.8098371624946594
pardubice,0.8063369989395142
setkání,0.8050324320793152
francouzský,0.8047292828559875
mikrofonu,0.8046329617500305
dovolte,0.8045470714569092
