StatementId,Text
06d1923ce535626404604ead093dfee7,"@cu_seed @SpdStanek @zajda61 @LukTrvnek2 Jasně. Ale i u té EU musí státy rezervovat to, co chtějí. Proč polovinu naší rezervace tvoří vakcína Johnson&amp;Johnson, kde je pozastavený vývoj a některé jiné vakcíny vláda nechtěla, za to už EU nemůže. Na to se ptejte Babiše a Prymuly."
07854a766d89d766dd8a9c75bc5d3170,"Prymula na DVTV: “Chceme promořit populaci”. Nevím, jak se při podobných výrocích cítíte Vy, já hrozně. Chápu a počítám s tím, že jako člověk a občan mohu nakazit. Nechci být ale segment populace, která bude promořována panem Prymulou."
1001fa5c3343b6da205a9df3ad3fabe9,"Testovací kapacity firem profesora Prymuly byly dnes vytlačeny z trhu testovacími kapacitami investicního fondu Hartenberg. https://t.co/hYaAAZSXPe"
11556734ce0a7f9df531ca931c89bf71,"Jako “zrádci národa” vyobrazeni pánové Kubek, Šedo a Prymula. Ve spojení se šibenicí je to nebezpečné vyhrožování. V téhle zemi by nikdo nikomu šibenicí beztrestně vyhrožovat neměl. Před deseti lety mi tak na stejném místě vyhrožoval jeden spratek a dostal alespoň nafackováno."
1d50dab6527ff6c564669cde6f084c28,"@jannovak58 @staratrava @AlexandrMitrofa My, jako opozice, nemáme důvod nést odpovědnost za zpolitizovaný chaos a nehorázné výroky Prymuly a jeho štábu. Využíváme pouze příležitosti, abychom do štábu vyslali skutečného nestranického odborníka. Ve prospěch všech občanů."
2398858d22fd9ffed28b71238378c514,"Roman Prymula v projevu: V následujících týdnech dojde k výraznému nárůstu hospitalizací a vyššího počtu mrtvých. Čekají nás těžké a neveselé 3 týdny."
287bef2e7849b39adba43b495ca6c132,"Zaujal mě chvályhodný záměr: “Chci počkat na odborníky”. Mám to chápat tak, že dodnes žádná odborná diskuze neprobíhala? Že si něco myslel Prymula a Babiš to posvětil? A když se to Babišovi přestalo zdát únosné, tak Prymula změnil odborný názor? Na základě čeho jste rozhodovali? https://t.co/rVvUFitvmq"
2bb7263d5434f0ec85097bc17f6d8e9b,"Roman Prymula  2009 - 2016 ředitel Fakultní nemocnice HK  2014 chvíli kandidoval do Senátu za Stranu práv občanů - Zemanovci   od 2017 náměstek ministra zdravotnictví ČR (jmenován M.Ludvíkem, ČSSD).  Od 2020 v kapitole  Naši lidé  na webu Hnutí ANO. https://t.co/FUdHPCEtAa"
2d3c79b5fed5e3828ce4083747cbcfaa,"R. Prymula se nechal již v lednu přednostně očkovan vakcínou Pfizer. Pro nás ji však objednal málo s výmluvou o “pochybnostech o bezpečnosti.” Zjevně vytvářel prostor pro jiného výrobce. Výsledkem je však málo vakcín a hodně úmrtí. Ten cynismus bere dech.https://t.co/2zr1zCghl5"
31ac1bfdc2f795eba200701536bd8301,"Respekt přináší nejaktuálnější vyjádření Romana Prymuly...  Jestli si to veřejnost přeje, tak klidně rezignuji,  řekl s tím, že jel do restaurace jednat.  Z jeho stylu mluvení to ale zatím nevypadá, že teď je rozhodnutý rezignovat...      https://t.co/YaHopNM87r"
43315c8f2923cdcfe56613e672fa37bc,"Vláda chystá změnu v čele Ústředního krizového štábu. Novým šéfem se má stát @jhamacek. Roman Prymula se podle @AndrejBabis bude soustředit na inteligentní karanténu. https://t.co/QnKPoF1oig"
516f0e3ba16111820bd8fc9316a9c66f,"Ministr Vojtěch mi na otázku, v čem jsou nebezpečnější kostely než hobbymarkety, kde vláda neruguluje, kolik lidí tam může přijít, opáčil, že v kostele jsou  dvě hodiny lidé natěsno  (byl tam někdy?). Prymula řekl, že riziko zvyšuje, že do kostelů chodí především starší lidé..."
58723dbacd14ea317c0eb2d98b784d3f,"@AlexandrMitrofa Kde jinde? Za hranice nesmíme... Prymula říká, že nejméně dva roky, abychom odvykli té odporné hyperdemokracii."
59f1bc3f2baea8c42eb28257a9c9f3ff,"Pane @kalousekm , chtěl jsem nesouhlasně odpovědět na Váš tweet ohledně náhledu na pana Prymulu jako na tvrdého chlapa. Než jsem se k tomu dostal, ten  tvrdý  chlap se ukázal jako každý z ANO. Poplatný tvárný gumový poslušný paňáca plnící příkazy svého guru."
5b51691033af8d1bcb8be06fab9250e3,"Perfektní práce Blesku, konec pana ministra Prymuly. https://t.co/Cq1EnRRfHK"
5e2a912b4fde5d67f0549f09fb9a433e,"Za celej tenhle průser může @AndrejBabis. To si může vystrkovat Prymulu, jak chce! 🤷‍♀️"
6223ee60e69ce5a33ae52bf27515ccf1,"@terrmslv @ZdravkoOnline Logiku v tom nehledejte. Byť Prymula by Vám to jistě uměl vysvětlit. Má na to trénink, kandidoval za Zemanovce."
63802c65bc5d3ba74881191ad8f2e1ef,"Prymula: „Nic strašného jsem neprovedl, byl jsem na úřední schůzce“. Úřední schůzky probíhají v kancelářích, oba pánové je mají k dispozici 24 hodin denně. Byli si dát do nosu a puberťácké výmluvy nedůvěru jenom zvyšují. Papaláši, kteří si myslí, že pro ně pravidla neplatí..."
