Slovo,Podobnost
svobodný,0.3968924880027771
ruský,0.37550798058509827
republiky,0.3746621310710907
zklamání,0.3694598972797394
ministr,0.36280521750450134
plynu,0.34869498014450073
ukrajiny,0.3413805365562439
kdyby,0.33520931005477905
rozhodne,0.32940319180488586
věřím,0.3280567228794098
lidech,0.3274734616279602
světě,0.31339672207832336
žánr,0.3128356337547302
vetchému,0.30097466707229614
ženou,0.3003970980644226
loutku,0.28742513060569763
bezpečí,0.2872147858142853
spojenci,0.280080646276474
mého,0.26656147837638855
občanů,0.2658843696117401
zneužívána,0.2597748935222626
desítky,0.25743401050567627
letadel,0.25638899207115173
vyzbrojené,0.2541968822479248
pátou,0.2509046196937561
