StatementId,Text
08ab5d11e04b07d125c06fd902962fa1,"Podle průzkumu @Hokomora zvládlo potíže s likviditou v souvislosti s koronavirovou krizí 57 % firem a podnikatelů díky úsporám. Zodpovědné chování. Škoda, že ministři financí Babiš a Schillerová dobré ekonomické roky prošustrovali a museli zadlužit budoucí generace 500 mld. Kč."
092112607ad741a494a83c6bdb23665d,"Schillerová: “Já Vám navyšování státních zaměstnanců nevyčítám.”  Stanjura: “Já to vyčítám svým kolegům.”  V tom je ten fór. Je nespravedlivé vyčítat povinné výdaje jen ministrovi financí.Má ve vládě jen jeden hlas. Proto jsem skeptický i k úspěchu plánu na úspory, byť tomu fandím."
0bbfa84408f3542d8abe6ce58cc8802a,"@kalousekm @alenaschillerov Blahoslaveni chudí duchem. Madam Schillerová neví, o čem píše. Jen plní rozkazy. Proto zřejmě i klidně spí."
0c295369699008acf0b296998290c29a,"@kalousekm @ODScz @HonzaWerner @AteisteCR Já iluzemi netrpím. Jinak znovu gratuluji k tomu pěknému ideovému spojenectví s panem Babišem, Schillerovou, Bobošíkovou aj.🙂. Také jste to panu Dukovi podepsal jako oni?"
0c8d4599c43e65e80b55cc5a9c047bdb,"Dobrá. Pokud čerpali podporu neoprávněně, musí to vrátit a hrozí jim postih. To je v pořádku, tak to má být. Musím se ale ptát, paní ministryně Schillerová, proč nepostupuje stejně důsledně u neoprávněných dotací Agrofertu? Když je na premiéra jiný metr než na živnostníka, tak to tak být nemá a není to v pořádku."
0d938c0d6d757eb26cf82471a79eacc5,"Je tomu rok, co jsem v televizi oponoval Aleně Schillerové   s jejím šíleným nápadem zrušit platby za státní pojištěnce.  Jsou tomu čtyři týdny, co jsme ve sněmovně navrhovali zvýšit platby za státní pojištěnce, vláda to zamítla.  Vláda nyní navrhuje zvýšit platby za státní pojištěnce.   Není nad to, když má vláda jasnou koncepci a ví, co chce."
1bbfb747bacf6b6892629a8ac36d12ad,"@kalousekm Deficit bude 320 miliard. Pro návrh byli poslanci ANO, ČSSD a KSČM. Kabinet čelil kritice opozice za to, že rozpočet je nezodpovědný.  „Vstoupím do dějin jako ministryně financí, za jejíhož působení došlo k jednomu z nejvyšších schodků. Umím s tím žít,“ prohlásila  Schillerová."
2554fc91137c6e3469212a8bac68bc25,"@IvoNovotn2 @kalousekm @AndrejBabis 2/ To co se s ní momentálně stalo, je na bedrech ministrů financí Babiše, Pilného a madam Schillerové. To, co pan Kalousek připravil, oni rozdali (viz např. slevy na jízdném). Místo toho, aby jako řádní hospodáři šetřili a začali snižovat schodek, ho jen a jen navyšovali."
255f20f599c2bc4f52db342afd70a5ca,"@kalousekm A Alena Schillerová opustí Instagram."
2615b46a125bbd4b98e69cf23a704190,"Ministryně financí Schillerová v MF Dnes: ,,Do voleb půjdeme s důchodovou reformou”. Vláda ji měla v programu jako prioritu č.1 a nic...Babis ji sliboval v roce 2014 a nic...Poctivá reforma totiž vyžaduje i nepopulární kroky a na ty jsou populisté moc zbabělí. To bude muset udělat někdo jiný."
2DB706624512CC6106FF0F5EE07AB174,"Ministryně Schillerová : “Úředníci se budou muset mírnit”. Ten výrok je cynický alibismus. Úředníci se chovají podle politckého zadání. Za nezákonnou a likvidační šikanu posledních let nesou plnou odpovědnost ministři @AndrejBabis a @alenaschillerov za ANO.https://t.co/7JZEDlfOyM"
31d98e2d98062fa692d8095c2de35093," Podle Schillerové nezaměstnanost vzroste letos o 1%     Optimismus je super věc, ale i vzhledem k tomu, že v USA za poslední týden přišlo o práci 3 miliony lidí, tak mi to přijde úplně mimo...  Jaký je odhad @kalousekm?"
34aa58c466cd40c055d75e812ff52e28,"Ministerstvo financí udělalo audit. Letošní rozpočet skončí v přebytku. Původní výpočet vycházel z dluhů Aleny Schillerové ve hře Monopoly."
3849C236EFBD560AC24217A84FB7603E,"Předpokládám, že premiér Andrej Babiš napíše podnět ministryni financí a ta neprodleně pošle do KPR finanční kontrolu. V případě GIBS to fungovalo bezchybně a Alena Schillerová to vydávala za standardní postup."
3AB99A97D335B888560139BB435E302B,"Rozpočtový výbor poslanecké sněmovny vyzval ministerstvo financí a vládu k obezřetnosti a odpovědnosti. Ministryně financí Alena Schillerová to odmítá. Je to její právo. Pak ale přebírá veškerou politickou odpovědnost a bude-li deficit překročen, měla by okamžitě rezignovat."
3BB59257727E618C792B2AEAE5025FBE,"Paní  Alena Schillerová  je pohoršena, že ač “pravicový politik, převzal jsem názory odborářů”. Úpadek vlády holdingu došel tak daleko, že “logické”se snaží označit jako “pravicové”. Nám přitom jde jen o jedno : “Lidé práce nesmí být ti nejvíc poražení”."
3c63d7e580d306140e2ef80f00f30f20,"@kalousekm Naprostý souhlas s vámi, jen mi k tomu nesedi vyjádřeni v tweetu paní Schillerové, cituji “Máme polštář, díky kterému rány tuzemské ekonomice maximálně zmírníme.” Nevíte kde by ten polštář mohl být??"
43403e2c6d328414136154b859b4eb7e,"Pamětní listinu Mariánského sloupu podepsali Duka, Zeman, Ovčáček, Bobošíková, Babiš i Schillerová https://t.co/wl6r61FERD"
4659b606a631fad131b1a4ddd3c44d6c,"Paní ministryně Alena Schillerová zdůrazňuje, jak je novela daňového řádu „přátelská a přívětivá“. To skutečně je, ale zejména k úředníkům finanční správy a ke státnímu rozpočtu. Nebude-li přijat můj pozměňovací návrh, budeme hlasovat proti novele zákona."
4834f26e4e046675adbebcf4e9627844,"Ústavní soud: “Jednání Finanční správy je za hranicí toho, co lze tolerovat v právním státě”. Finanční správa se pod vedením ministrů Babiše a Schillerové stala součástí mafiánského systému, který zneužívá veřejnou moc pro soukromé a politické zájmy. https://t.co/oH5l0sa70z"
4c0ee9053adf0d95ffeca22270022797,"Nic proti tomu. Prodávat státní dluhopisy domácnostem má smysl. Je ale sranda, když ministryně, která blouzní o tom “jak nakopneme ekonomiku když přidáme lidem a oni to utratí”, ty lidi přesvědčuje, “ať ty peníze uspoří”. Alena Schillerová zjevně netuší, co vlastně chce."
4C57AB9219B48B36F1EB3B993244E3BB,"Kde vzít peníze? Diskuse ministryně financí za hnutí ANO Aleny Schillerové a bývalého ministra Miroslava Kalouska z TOP09.  Kde hledat spojence? Pokračovat budeme debatou europoslankyně Kateřiny Konečné z KSČM, senátora Pavla Fischera a poslance Jiřího Kobzy z SPD. @OtazkyVM https://t.co/WkyLO5lsuT"
