Slovo,Podobnost
vláda,0.9963199496269226
prezidenta,0.9961973428726196
země,0.9961476922035217
pan,0.9956482648849487
sněmovnou,0.9954564571380615
politiky,0.9947716593742371
premiér,0.99474036693573
lidí,0.994648277759552
politické,0.9944537878036499
babišovi,0.9944160580635071
státní,0.9942851662635803
české,0.9941567182540894
letos,0.9940342307090759
nikdo,0.9939596652984619
roky,0.9938116669654846
ruskem,0.9937804937362671
republiky,0.9934902787208557
předsedy,0.9929921627044678
strany,0.9926603436470032
zájmům,0.9917290210723877
ministra,0.991380512714386
případě,0.9910961985588074
hrad,0.9908633232116699
veřejných,0.9907054901123047
důvěru,0.9905709624290466
