Slovo,Podobnost
barrandov,0.7265927195549011
tv,0.7237893342971802
aréně,0.7217500805854797
duel,0.7164427638053894
aktuality,0.7089491486549377
prostřednictvím,0.6912068724632263
povolebním,0.6884482502937317
živě,0.6840529441833496
rozvolňování,0.6725698709487915
včerejší,0.6718968152999878
horká,0.6688200831413269
zákulisí,0.6682502031326294
přímém,0.6661034822463989
j,0.6644188761711121
prima,0.6642228364944458
vyjednávání,0.6597453951835632
live,0.6561750173568726
partii,0.6524956226348877
vyhošťování,0.6515341401100159
superdebatě,0.6484320163726807
napjaté,0.6470687389373779
rádiu,0.6424013376235962
přenosu,0.6397479176521301
šafránková,0.6371910572052002
velikonoce,0.6340042352676392
