Slovo,Podobnost
mattem,0.9686797857284546
dlouholetý,0.9587740898132324
kolegyně,0.9489392638206482
kamarádka,0.9473193883895874
sdružením,0.9467872977256775
aliance,0.9464995265007019
penovou,0.9415526986122131
snímku,0.9388129115104675
zajedno,0.9364920854568481
mistrem,0.9341087937355042
mítink,0.9333861470222473
setkání,0.9308041930198669
vicepremiér,0.9305849075317383
spojenkyně,0.9288410544395447
partnerské,0.9275556206703186
konferenci,0.9252331852912903
matteem,0.924889326095581
vítěze,0.9240004420280457
lega,0.9206373691558838
organizátorem,0.9194846153259277
sobotu,0.9190092086791992
spojenec,0.9188327193260193
italském,0.918373167514801
norde,0.9175224900245667
vystoupím,0.9167857766151428
