Slovo,Podobnost
bělobrádkovy,0.7879148125648499
babišovy,0.7751538157463074
vicepremiér,0.7552992105484009
trapnost,0.7417426705360413
interpelace,0.7333008646965027
odpovědi,0.7282913327217102
arogance,0.7256253361701965
hádky,0.7233372926712036
předvádí,0.7182561755180359
premiéra,0.7171496748924255
nechce,0.7167189717292786
otřesné,0.7155289649963379
realizuje,0.7139521241188049
chovanec,0.7107740640640259
spolustraníka,0.7106687426567078
pravou,0.7085549831390381
skandální,0.7072960734367371
aktérů,0.7049055099487305
bělobrádek,0.7032573223114014
definitivně,0.7028782367706299
umístí,0.7009242177009583
ministři,0.6995266079902649
odmítá,0.6976979374885559
odpověď,0.6954019665718079
přímém,0.6922280788421631
