Source;Target;Weight
SPD;EU;2568
SPD;Babiš;1585
SPD;RT;16
SPD;Okamura;1073
SPD;Sněmovna;1945
SPD;Ano;1528
SPD;ČSSD;1638
SPD;ODS;942
SPD;Poslanecká sněmovna;1157
SPD;Fiala;710
SPD;TOP 09;809
SPD;Zeman;360
SPD;KDU ČSL;872
SPD;Evropská komise;593
SPD;KSČM;939
SPD;Senát;266
SPD;Svoboda a přímá demokracie;1249
SPD;Piráti;671
SPD;NATO;272
SPD;STAN;541
SPD;Sobotka;578
SPD;Parlament;399
SPD;Hamáček;379
SPD;COVID-19;67
SPD;ČT;273
SPD;Kalousek;251
SPD;Česká televize;423
SPD;Evropský parlament;441
SPD;Putin;61
SPD;Le Pen;404
SPD;Salvini;386
SPD;ČT 24;85
SPD;Merkelová;272
SPD;Tv Barrandov;92
SPD;Orbán;188
SPD;V 4;110
SPD;Schillerová;71
SPD;Trump;108
SPD;Spolu;119
SPD;OSVČ;26
SPD;OSN;136
SPD;Evropská rada;24
SPD;Agrofert;35
SPD;EET;31
SPD;Havlíček;53
SPD;Hrad;23
SPD;Bělobrádek;198
SPD;Ústavní soud;79
SPD;Havel;48
SPD;Maláčová;89
SPD;Ministerstvo zdravotnictví;28
SPD;Ministerstvo financí;27
SPD;ČEZ;71
SPD;Vojtěch;61
SPD;Dukovany;70
SPD;David;202
SPD;Klaus;82
SPD;Brusel;178
SPD;EP;41
SPD;COVID;24
SPD;Bartoš;112
SPD;Český rozhlas;139
SPD;CO2;123
SPD;Parlamentní listy;180
SPD;Blatný;49
SPD;Unie;95
SPD;Nejvyšší kontrolní úřad;164
SPD;Soros;148
SPD;Macron;112
SPD;Hnutí Svoboda a přímá demokracie;197
SPD;Svoboda;123
SPD;Hitler;59
SPD;Komise;58
SPD;NKÚ;102
SPD;Wilderse;163
SPD;ČNB;32
SPD;Masaryk;29
SPD;Juncker;121
SPD;Islámský stát;119
SPD;Rakušan;92
SPD;Prymula;22
SPD;Úřad vlády;18
SPD;Schwarzenberg;67
SPD;OKD;86
SPD;Youtube;56
SPD;Von der Leyen;65
SPD;Foldyna;121
SPD;TV Prima;47
SPD;Jourová;68
SPD;Petříček;64
SPD;Moravec;55
SPD;ČTK;102
SPD;Události komentáře;20
SPD;Právo;29
SPD;BIS;26
SPD;Šafránková;138
SPD;Trikolóra;96
SPD;Hnutí SPD;92
SPD;IDnes;85
SPD;FB;28
SPD;Volný;36
SPD;Jurečka;50
SPD;Partie;22
SPD;Čapí hnízdo;30
SPD;19;45
SPD;ANO ČSSD;119
SPD;Svobodný;122
SPD;Pekarová;48
SPD;Dvořák;62
SPD;Erdogan;64
SPD;ENF;117
SPD;Adamová;51
SPD;Novinka;80
SPD;Beneš;46
SPD;Hřib;44
SPD;Vystrčil;17
SPD;Rada;21
SPD;Evropa národů a svoboda;110
SPD;Gazdík;47
SPD;Bakala;74
SPD;Green Deal;53
SPD;Otázky Václava Moravce;37
SPD;Respekt;59
SPD;Polčák;51
SPD;Rada ČT;50
SPD;Feri;60
SPD;Eurostat;58
SPD;Nos;99
SPD;Vláda;49
SPD;Křeček;65
SPD;Identita a demokracie;91
SPD;Rada EU;18
SPD;Zaorálek;32
SPD;Policie;22
SPD;Šojdrová;63
SPD;Johnson;18
SPD;Wilder;76
SPD;Hrnčíř;87
SPD;Česká pošta;18
SPD;AFD;64
SPD;Ministerstvo vnitra;43
SPD;Facebook;44
SPD;Seznam zprávy;50
SPD;ID;82
SPD;Televize;30
SPD;TV NOVA;17
SPD;Kovanda;57
SPD;Benešová;17
SPD;Makron;50
SPD;MF Dnes;24
SPD;Redl;40
SPD;Rakoušan;54
SPD;Seznam;24
SPD;Lipovský;20
SPD;Stanjura;36
SPD;Koněv;19
SPD;Eurozóna;44
SPD;Zdechovský;30
SPD;CVVM;47
SPD;Blaško;76
SPD;Válek;22
SPD;Liga;52
SPD;Lidové noviny;24
SPD;Google;36
SPD;Armáda ČR;43
SPD;EFTA;59
SPD;Novák;31
SPD;Doležal;54
SPD;Bruselská elita;67
SPD;Pospíšil;34
SPD;Kolář;34
SPD;Farský;33
SPD;Duka;23
SPD;Klaus ml.;46
SPD;Michálek;22
SPD;Novotný;50
SPD;Úsvit;53
SPD;Úřad práce;51
SPD;Veselý;17
SPD;Zelený úděl;47
SPD;Česká národní banka;32
SPD;Maříková;60
SPD;ČSÚ;24
SPD;Pes;19
SPD;Jedlička;30
SPD;Stropnický;26
SPD;Parlament České republiky;21
SPD;Národní sdružení;62
SPD;Univerzita Karlova;17
SPD;Agrární komora ČR;59
SPD;Nejvyšší soud;29
SPD;Varšavská smlouva;22
SPD;Antivirus;16
SPD;SPO;61
SPD;Výborný;21
SPD;Herman;34
SPD;STEM;44
SPD;Národní fronta;50
SPD;Metnar;18
SPD;DVTV;22
SPD;Palacký;36
SPD;Legum;54
