Source;Target;Weight
SPD;Babiš;0.09961880559085133
SPD;ODS;0.0695802770986145
EU;Sněmovna;0.05014805616582291
EU;ČSSD;0.06122868296692007
EU;Evropská komise;0.06706372840976772
Babiš;Sněmovna;0.06398919184475559
Babiš;ČSSD;0.10346254655814595
Babiš;ODS;0.05209020176711064
Babiš;Sobotka;0.08907533023920028
Okamura;Dnešní aktuality;0.06584910690482539
Sněmovna;ODS;0.07758019525801953
Sněmovna;Svoboda a přímá demokracie;0.08276020174232003
Ano;KDU ČSL;0.14285714285714285
Ano;Svoboda a přímá demokracie;0.07632632632632633
ČSSD;ODS;0.08838035115407378
ČSSD;TOP 09;0.09665991902834008
ČSSD;Svoboda a přímá demokracie;0.050737768573647424
ODS;KSČM;0.06449948400412797
Poslanecká sněmovna;KDU ČSL;0.06914050111005392
Poslanecká sněmovna;Svoboda a přímá demokracie;0.06199460916442048
Poslanecká sněmovna;Sobotka;0.11779141104294479
Senát;Vystrčil;0.05010585744530699
STAN;Spolu;0.056910569105691054
Sobotka;Kalousek;0.06094364351245085
Sobotka;Bělobrádek;0.1702970297029703
Parlament;Evropský parlament;0.06213872832369942
Parlament;Svobodný;0.050793650793650794
ČT;Dvořák;0.06420927467300833
Česká televize;Dvořák;0.05249343832020997
Evropský parlament;David;0.07160493827160494
Evropský parlament;Svoboda;0.10533333333333333
Evropský parlament;Identita a demokracie;0.0911854103343465
Evropský parlament;ID;0.08294930875576037
Evropský parlament;Národní shromáždění;0.0530421216848674
Le Pen;Macron;0.07624633431085044
Le Pen;Svobodný;0.18100358422939067
Le Pen;Identita a demokracie;0.12408759124087591
Le Pen;ID;0.10845588235294118
Le Pen;Národní sdružení;0.12379110251450677
Le Pen;Národní shromáždění;0.09560229445506692
Le Pen;Rassemblement national;0.08317214700193423
Salvini;Svoboda;0.1309148264984227
Salvini;Liga;0.12138728323699421
Salvini;Legum;0.08253358925143954
ČT 24;Události komentáře;0.11317567567567567
ČT 24;Interview;0.07198443579766536
Tv Barrandov;Soukup;0.05695142378559464
Tv Barrandov;Aréna;0.14314928425357873
Orbán;Soros;0.052552552552552555
Evropská rada;Michel;0.07520891364902507
Bělobrádek;Herman;0.069164265129683
Dukovany;Temelín;0.17228464419475656
David;Nos;0.1437908496732026
David;Hrnčíř;0.0926517571884984
David;Blaško;0.09395973154362416
David;Armáda ČR;0.09863945578231292
David;Doležal;0.11846689895470383
David;Novotný;0.15579710144927536
David;Úřad práce;0.10034602076124567
David;PS PČR;0.1070110701107011
David;Horák;0.10780669144981413
David;Hahnova;0.16996047430830039
David;Dopita;0.176
David;HENNER;0.17269076305220885
David;Paul;0.17269076305220885
David;Schmeidler;0.17269076305220885
David;Běrský;0.09125475285171103
David;Pošarová;0.11284046692607004
David;Schubert;0.11462450592885376
David;Lukeš;0.11507936507936507
David;Čermák;0.11553784860557768
David;Pupava;0.116
David;DICKFELD;0.116
Brusel;Jandejsek;0.05263157894736842
Brusel;Evropská centrální banka;0.05725190839694656
Bartoš;Eurozóna;0.0847457627118644
Bartoš;ANTIFA;0.07380073800738007
Český rozhlas;Dvořák;0.053824362606232294
CO2;Agrární komora ČR;0.08058608058608059
CO2;Palacký;0.07434944237918216
CO2;Jandejsek;0.07865168539325842
CO2;ESM;0.08032128514056225
CO2;Evropská centrální banka;0.08163265306122448
Blatný;SÚKL;0.050387596899224806
Unie;Jedlička;0.12075471698113208
Unie;Konzervativní strana;0.13545816733067728
Unie;Hannan;0.13865546218487396
Unie;Eurochambres;0.13924050632911392
Nejvyšší kontrolní úřad;Dvořák;0.08035714285714286
Macron;Juncker;0.15625
Svoboda;Svobodný;0.14285714285714285
Svoboda;Polčák;0.06779661016949153
Svoboda;Nos;0.07612456747404844
Svoboda;Identita a demokracie;0.14869888475836432
Svoboda;Šojdrová;0.0931899641577061
Svoboda;ID;0.1517509727626459
Svoboda;Armáda ČR;0.08396946564885496
Svoboda;Novotný;0.08527131782945736
Svoboda;Úřad práce;0.08560311284046693
Svoboda;Národní sdružení;0.15611814345991562
Svoboda;Národní shromáždění;0.20909090909090908
Svoboda;Charanzová;0.08163265306122448
Svoboda;Poche;0.08163265306122448
Svoboda;PS PČR;0.09205020920502092
Svoboda;Dlabajová;0.08298755186721991
Svoboda;Horák;0.09282700421940929
Svoboda;Ježek;0.08368200836820083
Svoboda;Hahnova;0.09361702127659574
Svoboda;Niedermayer;0.0851063829787234
Svoboda;Dopita;0.0944206008583691
Svoboda;Teličko;0.0851063829787234
Svoboda;Rassemblement national;0.19339622641509435
Svoboda;HENNER;0.09523809523809523
Svoboda;Paul;0.09523809523809523
Svoboda;Schmeidler;0.09523809523809523
Svoboda;Běrský;0.06896551724137931
Svoboda;Pošarová;0.09777777777777778
Svoboda;Vašíček;0.09954751131221719
Svoboda;Schubert;0.09954751131221719
Svoboda;Lukeš;0.1
Svoboda;Čermák;0.1004566210045662
Svoboda;Pupava;0.10091743119266056
Svoboda;DICKFELD;0.10091743119266056
Komise;Teličko;0.055793991416309016
Wilderse;Identita a demokracie;0.13409961685823754
Wilderse;Wilder;0.06985294117647059
Wilderse;ID;0.14112903225806453
Wilderse;Národní sdružení;0.1917808219178082
Wilderse;Rassemblement national;0.17647058823529413
Rakušan;Jurečka;0.06557377049180328
Rakušan;Gazdík;0.08118081180811808
Rakušan;Hlubuček;0.05829596412556054
Schwarzenberg;Respekt;0.06976744186046512
Schwarzenberg;Bakalův;0.08173076923076923
OKD;Respekt;0.10040160642570281
OKD;CVVM;0.05172413793103448
OKD;Bakalův;0.06698564593301436
OKD;Pokorný;0.10752688172043011
Youtube;Na rovinu;0.06430868167202572
Von der Leyen;Michel;0.06282722513089005
Foldyna;Seznam zprávy;0.06329113924050633
Foldyna;Eurozóna;0.05128205128205128
Foldyna;Starostové a nezávislí;0.057692307692307696
Foldyna;Šlachta;0.06467661691542288
Foldyna;Rassemblement national;0.05025125628140704
TV Prima;Partie;0.2612244897959184
Moravec;Otázky Václava Moravce;0.66875
BIS;Koudelka;0.11666666666666667
BIS;Sáňka;0.06358381502890173
Trikolóra;Identita a demokracie;0.06382978723404255
Trikolóra;Seznam zprávy;0.0821917808219178
Trikolóra;ID;0.06756756756756757
Trikolóra;Klaus ml.;0.20108695652173914
Trikolóra;Národní shromáždění;0.06701030927835051
Trikolóra;Šlachta;0.05851063829787234
Trikolóra;Rassemblement national;0.0718232044198895
Jurečka;Pekarová;0.11372549019607843
Partie;Tománek;0.06060606060606061
Svobodný;Národní sdružení;0.23353293413173654
Svobodný;Legum;0.19879518072289157
Svobodný;Atkinson;0.05142857142857143
Svobodný;FPÖ;0.08333333333333333
Pekarová;CVVM;0.059113300492610835
Pekarová;Akademie věd;0.07428571428571429
OECD;WHO;0.06451612903225806
ENF;Evropa národů a svoboda;0.697986577181208
ENF;Nos;0.14215686274509803
ENF;Hrnčíř;0.1306532663316583
ENF;Armáda ČR;0.14444444444444443
ENF;Doležal;0.15254237288135594
ENF;Novotný;0.14772727272727273
ENF;Úřad práce;0.14857142857142858
ENF;PS PČR;0.16560509554140126
ENF;Horák;0.16774193548387098
ENF;Hahnova;0.16993464052287582
ENF;Dopita;0.18
ENF;HENNER;0.174496644295302
ENF;Paul;0.174496644295302
ENF;Schmeidler;0.174496644295302
ENF;Běrský;0.14093959731543623
ENF;Pošarová;0.18181818181818182
ENF;Vašíček;0.18705035971223022
ENF;Lukeš;0.18840579710144928
ENF;Čermák;0.1897810218978102
ENF;Pupava;0.19117647058823528
ENF;DICKFELD;0.19117647058823528
Evropa národů a svoboda;Hrnčíř;0.13829787234042554
Evropa národů a svoboda;Armáda ČR;0.15384615384615385
Evropa národů a svoboda;Doležal;0.16265060240963855
Evropa národů a svoboda;Novotný;0.15757575757575756
Evropa národů a svoboda;Úřad práce;0.15853658536585366
Evropa národů a svoboda;PS PČR;0.1780821917808219
Evropa národů a svoboda;Horák;0.18055555555555555
Evropa národů a svoboda;Hahnova;0.18309859154929578
Evropa národů a svoboda;Dopita;0.19424460431654678
Evropa národů a svoboda;HENNER;0.18840579710144928
Evropa národů a svoboda;Paul;0.18840579710144928
Evropa národů a svoboda;Schmeidler;0.18840579710144928
Evropa národů a svoboda;FPÖ;0.09523809523809523
Evropa národů a svoboda;Běrský;0.15217391304347827
Evropa národů a svoboda;Pošarová;0.19696969696969696
Evropa národů a svoboda;Vašíček;0.203125
Evropa národů a svoboda;Schubert;0.203125
Evropa národů a svoboda;Lukeš;0.2047244094488189
Evropa národů a svoboda;Čermák;0.20634920634920634
Evropa národů a svoboda;Pupava;0.208
Evropa národů a svoboda;DICKFELD;0.208
Ředitelství silnic a dálnic;Správa železnic;0.05084745762711865
Ředitelství silnic a dálnic;ČEPS;0.053691275167785234
Gazdík;Polčák;0.1116751269035533
Gazdík;Rakoušan;0.05945945945945946
Bakala;DVTV;0.11688311688311688
Bakala;Člověk v tísni;0.051094890510948905
Respekt;CVVM;0.08235294117647059
Respekt;DVTV;0.136986301369863
Respekt;Aktuální;0.11724137931034483
Respekt;Hospodářská novina;0.1223021582733813
Respekt;Člověk v tísni;0.05343511450381679
Polčák;Šojdrová;0.12994350282485875
Polčák;Redl;0.05027932960893855
Polčák;Farský;0.08024691358024691
Polčák;Hlubuček;0.10204081632653061
Polčák;Poche;0.17647058823529413
Polčák;Štětina;0.175
Rada ČT;ČRo;0.06040268456375839
Feri;Identita a demokracie;0.057291666666666664
Feri;ID;0.061452513966480445
Feri;Eurozóna;0.15723270440251572
Feri;Národní shromáždění;0.0738255033557047
Feri;Starostové a nezávislí;0.0896551724137931
Feri;Kupka;0.07746478873239436
Feri;Rassemblement national;0.08088235294117647
Feri;Kovář;0.08943089430894309
