Source;Target;Weight
Sobotka;Bělobrádek;0.17061143984220908
Le Pen;Svobodný;0.18294849023090587
Dukovany;Temelín;0.19435736677115986
David;Novotný;0.15579710144927536
David;Prostějov;0.15808823529411764
David;Opava;0.16538461538461538
David;Šumperk;0.16602316602316602
David;Hahnova;0.16996047430830039
David;Dopita;0.176
David;HENNER;0.17269076305220885
David;Paul;0.17269076305220885
David;Schmeidler;0.17269076305220885
Macron;Juncker;0.15625
Svoboda;Národní sdružení;0.15546218487394958
Svoboda;Národní shromáždění;0.2081447963800905
Svoboda;Rassemblement national;0.19248826291079812
Wilderse;Národní sdružení;0.19004524886877827
Wilderse;Rassemblement national;0.17475728155339806
TV Prima;Partie;0.2591093117408907
Moravec;Otázky Václava Moravce;0.66875
Trikolóra;Klaus ml.;0.20108695652173914
Svobodný;Národní sdružení;0.23076923076923078
Svobodný;Legum;0.19642857142857142
ENF;Evropa národů a svoboda;0.6993464052287581
ENF;Jihlava;0.1566265060240964
ENF;Opava;0.15853658536585366
ENF;Chomutov;0.15853658536585366
ENF;Šumperk;0.15950920245398773
ENF;Jihlavy;0.16149068322981366
ENF;PS PČR;0.16149068322981366
ENF;Horák;0.16352201257861634
ENF;Hahnova;0.16560509554140126
ENF;Dopita;0.17532467532467533
ENF;Opavy;0.16774193548387098
ENF;HENNER;0.16993464052287582
ENF;Paul;0.16993464052287582
ENF;Schmeidler;0.16993464052287582
ENF;Příbram;0.17105263157894737
ENF;Blansko;0.17218543046357615
ENF;Trutnov;0.17218543046357615
ENF;Prostějova;0.17333333333333334
Evropa národů a svoboda;Armáda ČR;0.1511627906976744
Evropa národů a svoboda;Liberec;0.1511627906976744
Evropa národů a svoboda;Doležal;0.15976331360946747
Evropa národů a svoboda;Novotný;0.15476190476190477
Evropa národů a svoboda;Úřad práce;0.15568862275449102
Evropa národů a svoboda;Prostějov;0.15853658536585366
Evropa národů a svoboda;Jihlava;0.16883116883116883
Evropa národů a svoboda;Opava;0.17105263157894737
Evropa národů a svoboda;Chomutov;0.17105263157894737
Evropa národů a svoboda;Šumperk;0.17218543046357615
Evropa národů a svoboda;Jihlavy;0.174496644295302
Evropa národů a svoboda;PS PČR;0.174496644295302
Evropa národů a svoboda;Horák;0.17687074829931973
Evropa národů a svoboda;Hahnova;0.1793103448275862
Evropa národů a svoboda;Dopita;0.19014084507042253
Evropa národů a svoboda;Opavy;0.18181818181818182
Evropa národů a svoboda;HENNER;0.18439716312056736
Evropa národů a svoboda;Paul;0.18439716312056736
Evropa národů a svoboda;Schmeidler;0.18439716312056736
Evropa národů a svoboda;Příbram;0.18571428571428572
Evropa národů a svoboda;Blansko;0.18705035971223022
Evropa národů a svoboda;Trutnov;0.18705035971223022
Evropa národů a svoboda;Prostějova;0.18840579710144928
Polčák;Poche;0.17647058823529413
Feri;Eurozóna;0.15723270440251572
Eurostat;Hannan;0.1652892561983471
Nos;Hrnčíř;0.22012578616352202
Nos;Armáda ČR;0.19863013698630136
Nos;Liberec;0.19863013698630136
Nos;Národní sdružení;0.1956521739130435
Nos;Legum;0.16176470588235295
Nos;Jihlava;0.23622047244094488
Nos;Šumperk;0.38738738738738737
Nos;Jihlavy;0.23577235772357724
Nos;Opavy;0.24786324786324787
Nos;Atkinson;0.26548672566371684
Nos;Příbram;0.1721311475409836
Nos;Blansko;0.25663716814159293
Nos;Prostějova;0.25892857142857145
Nos;Bárta;0.15702479338842976
Šojdrová;Zdechovský;0.20689655172413793
Šojdrová;Poche;0.15384615384615385
Šojdrová;Ježek;0.16129032258064516
Šojdrová;Niedermayer;0.20689655172413793
Šojdrová;Teličko;0.16666666666666666
Hrnčíř;Liberec;0.21014492753623187
Hrnčíř;Doležal;0.21323529411764705
Hrnčíř;Novotný;0.21641791044776118
Hrnčíř;Úřad práce;0.21804511278195488
Hrnčíř;Prostějov;0.2230769230769231
Hrnčíř;Národní sdružení;0.1984732824427481
Hrnčíř;Legum;0.171875
Hrnčíř;Jihlava;0.24166666666666667
Hrnčíř;Opava;0.2457627118644068
Hrnčíř;Šumperk;0.24786324786324787
Hrnčíř;Jihlavy;0.25217391304347825
Hrnčíř;PS PČR;0.25217391304347825
Hrnčíř;Horák;0.25663716814159293
Hrnčíř;Opavy;0.26605504587155965
Hrnčíř;HENNER;0.27102803738317754
Hrnčíř;Paul;0.27102803738317754
Hrnčíř;Schmeidler;0.27102803738317754
Hrnčíř;Příbram;0.27358490566037735
Hrnčíř;Blansko;0.2761904761904762
Hrnčíř;Trutnov;0.2761904761904762
Hrnčíř;Prostějova;0.27884615384615385
Karlovy Vary;Blaško;0.1597222222222222
Karlovy Vary;Armáda ČR;0.17985611510791366
Karlovy Vary;Chomutov;0.19008264462809918
Karlovy Vary;Šumperk;0.19166666666666668
Karlovy Vary;PS PČR;0.19491525423728814
Karlovy Vary;Hahnova;0.20175438596491227
Karlovy Vary;Dopita;0.20535714285714285
Karlovy Vary;HENNER;0.20909090909090908
Karlovy Vary;Paul;0.20909090909090908
Karlovy Vary;Schmeidler;0.20909090909090908
Karlovy Vary;Blansko;0.21296296296296297
Karlovy Vary;Trutnov;0.21296296296296297
Facebook;Google;0.35
Eurozóna;Starostové a nezávislí;0.17543859649122806
Blaško;Armáda ČR;0.23770491803278687
Blaško;Liberec;0.23770491803278687
Blaško;Doležal;0.2627118644067797
Blaško;Úřad práce;0.24786324786324787
Blaško;Prostějov;0.16260162601626016
Blaško;Národní sdružení;0.22608695652173913
Blaško;Legum;0.19642857142857142
Blaško;Jihlava;0.27884615384615385
Blaško;Opava;0.25961538461538464
Blaško;Chomutov;0.24761904761904763
Blaško;Šumperk;0.4942528735632184
Blaško;Jihlavy;0.29292929292929293
Blaško;Horák;0.29896907216494845
Blaško;Hahnova;0.2653061224489796
Blaško;Dopita;0.18446601941747573
Blaško;Opavy;0.18446601941747573
Blaško;HENNER;0.5584415584415584
Blaško;Paul;0.5584415584415584
Blaško;Příbram;0.32222222222222224
Blaško;Trutnov;0.3258426966292135
Armáda ČR;Liberec;0.24369747899159663
Armáda ČR;Doležal;0.24786324786324787
Armáda ČR;Novotný;0.25217391304347825
Armáda ČR;Úřad práce;0.2543859649122807
Armáda ČR;Národní sdružení;0.23214285714285715
Armáda ČR;Legum;0.2018348623853211
Armáda ČR;Jihlava;0.2871287128712871
Armáda ČR;Opava;0.1743119266055046
Armáda ČR;Chomutov;0.1743119266055046
Armáda ČR;Šumperk;0.29591836734693877
Armáda ČR;Jihlavy;0.3020833333333333
Armáda ČR;Horák;0.30851063829787234
Armáda ČR;Hahnova;0.18627450980392157
Armáda ČR;Opavy;0.19
Armáda ČR;HENNER;0.32954545454545453
Armáda ČR;Paul;0.32954545454545453
Armáda ČR;Schmeidler;0.32954545454545453
Armáda ČR;Příbram;0.3333333333333333
