Source;Target;Weight
Babiš;Okamura;350
Babiš;Fiala;195
Babiš;Zeman;420
Babiš;Sobotka;540
Babiš;Hamáček;308
Babiš;Kalousek;262
Babiš;Putin;38
Babiš;Le Pen;87
Babiš;Salvini;71
Babiš;Merkelová;120
Babiš;Orbán;86
Babiš;Schillerová;109
Babiš;Trump;61
Babiš;Havlíček;81
Babiš;Bělobrádek;201
Babiš;Havel;37
Babiš;Maláčová;62
Babiš;Vojtěch;72
Babiš;David;29
Babiš;Klaus;56
Babiš;Bartoš;70
Babiš;Blatný;49
Babiš;Soros;59
Babiš;Macron;44
Babiš;Hitler;19
Babiš;Wilderse;34
Babiš;Masaryk;20
Babiš;Juncker;37
Babiš;Rakušan;15
Babiš;Prymula;41
Babiš;Schwarzenberg;28
Babiš;Von der Leyen;35
Babiš;Foldyna;23
Babiš;Jourová;66
Babiš;Petříček;67
Babiš;Moravec;30
Babiš;Šafránková;32
Babiš;Jurečka;26
Babiš;Volný;22
Babiš;Pekarová;18
Babiš;Dvořák;22
Babiš;Erdogan;41
Babiš;Adamová;17
Babiš;Beneš;7
Babiš;Hřib;16
Babiš;Vystrčil;16
Babiš;Gazdík;19
Babiš;Bakala;38
Babiš;Svoboda;20
Babiš;Gott;10
Babiš;Polčák;16
Babiš;Feri;33
Babiš;Nos;16
Babiš;Křeček;13
Babiš;Zaorálek;33
Babiš;Šojdrová;37
Babiš;Wilder;6
Babiš;Hrnčíř;22
Babiš;Němcová;13
Babiš;Johnson;10
Babiš;Kovanda;36
Babiš;Benešová;31
Babiš;Makron;16
Babiš;BIDEN;8
Babiš;Brabec;16
Babiš;Rakoušan;8
Babiš;Filip;19
Babiš;Stanjura;22
Babiš;Koněv;11
Babiš;Zdechovský;16
Babiš;Faltýnek;28
Babiš;Blaško;12
Babiš;Novák;15
Babiš;Doležal;8
Babiš;Ťok;16
Babiš;Dostálová;15
Babiš;Pospíšil;15
Babiš;Kolář;7
Babiš;Farský;14
Babiš;Duka;11
Babiš;Klaus ml.;31
Babiš;Michálek;8
Babiš;Novotný;8
Babiš;Veselý;6
Babiš;Maříková;7
Babiš;Vondráček;9
Babiš;Jedlička;6
Babiš;Stropnický;30
Babiš;Plaga;16
Babiš;Stalin;8
Babiš;Výborný;7
Babiš;Herman;14
Babiš;Metnar;22
Babiš;Baťa;6
Babiš;Bakalův;16
Babiš;Černochová;12
Babiš;Charanzová;29
Babiš;Obama;8
Babiš;Poche;34
Babiš;Holík;10
Babiš;Kobza;10
Babiš;Kreml;14
Babiš;Dlabajová;24
Babiš;Topolánek;7
Babiš;Pelikán;27
Babiš;Horák;7
Babiš;Kupka;6
Babiš;Ježek;23
Babiš;Beran;6
Babiš;Ondráček;7
Babiš;Arenberger;20
Babiš;Fischer;6
Babiš;Pavel;10
Babiš;Chovanec;19
Babiš;Šlachta;26
Babiš;Hahnova;8
Babiš;Nečas;7
Babiš;Johansson;7
Babiš;Š;6
Babiš;Niedermayer;12
Babiš;Teličko;23
Babiš;Kurz;8
Babiš;Staněk;12
Babiš;Paroubek;11
Babiš;Staňka;12
Babiš;Nováková;7
Babiš;Hyťhová;11
Babiš;Pekar;7
Babiš;Adam;7
Babiš;Mynář;9
Babiš;Thunberg;6
Babiš;Kryl;6
Babiš;Brežněv;11
Babiš;Pošarová;6
Babiš;Vícha;13
Babiš;Štětina;14
Babiš;Szijjártó;17
Babiš;Šmarda;13
Babiš;Halík;7
Babiš;Dienstbier;12
Babiš;Clinton;8
Babiš;Piketty;6
Babiš;Fridrich;6
Babiš;Konečný;12
Babiš;Chytra;8
Babiš;Morawiecki;8
Babiš;Válková;9
Babiš;Lukeš;6
Babiš;Diallo;7
Babiš;Lipavský;8
Babiš;Sáňka;8
Babiš;Veleba;11
Babiš;Kovář;6
Babiš;Šabatový;6
Babiš;Špidla;18
Babiš;Hašek;8
Babiš;Nacher;7
Babiš;Zima;6
Babiš;Šabatová;9
Babiš;Minář;6
Babiš;Sehnalová;7
Babiš;Vondrák;7
Babiš;Bakalář;9
Babiš;Gross;7
Babiš;Šípový;7
Babiš;Dzurilla;6
Babiš;Nerudový;6
Babiš;Kalouska;8
Babiš;Ferjenčík;8
Babiš;Keller;6
Babiš;POC;7
Babiš;Kohlíček;6
Babiš;Maštálek;6
Babiš;Rozumek;8
Babiš;Ťoka;8
Babiš;Kněžínek;7
Babiš;Bartošem;6
Babiš;Prymulovi;6
Babiš;Verhofstadt;9
Okamura;Fiala;205
Okamura;Zeman;137
Okamura;Sobotka;244
Okamura;Hamáček;50
Okamura;Kalousek;60
Okamura;Putin;25
Okamura;Le Pen;141
Okamura;Salvini;79
Okamura;Merkelová;66
Okamura;Orbán;39
Okamura;Schillerová;11
Okamura;Trump;44
Okamura;Havlíček;7
Okamura;Bělobrádek;30
Okamura;Havel;8
Okamura;Maláčová;8
Okamura;Vojtěch;9
Okamura;David;62
Okamura;Klaus;26
Okamura;Bartoš;17
Okamura;Soros;14
Okamura;Macron;16
Okamura;Hitler;23
Okamura;Wilderse;53
Okamura;Masaryk;9
Okamura;Juncker;31
Okamura;Rakušan;8
Okamura;Schwarzenberg;15
Okamura;Foldyna;21
Okamura;Petříček;7
Okamura;Moravec;18
Okamura;Šafránková;31
Okamura;Soukup;42
Okamura;Jurečka;10
Okamura;Volný;16
Okamura;Pekarová;12
Okamura;Dvořák;16
Okamura;Erdogan;14
Okamura;Adamová;13
Okamura;Beneš;9
Okamura;Hřib;8
Okamura;Gazdík;8
Okamura;Bakala;14
Okamura;Svoboda;9
Okamura;Polčák;13
Okamura;Feri;7
Okamura;Nos;72
Okamura;Křeček;7
Okamura;Zaorálek;12
Okamura;Wilder;44
Okamura;Hrnčíř;30
Okamura;Makron;8
Okamura;Rakoušan;9
Okamura;Filip;12
Okamura;Zdechovský;8
Okamura;Faltýnek;9
Okamura;Blaško;16
Okamura;Doležal;19
Okamura;Kolář;10
Okamura;Farský;11
Okamura;Duka;10
Okamura;Michálek;8
Okamura;Novotný;18
Okamura;Maříková;15
Okamura;Stropnický;8
Okamura;Stalin;7
Okamura;Herman;7
Okamura;Bakalův;6
Okamura;Bašta;12
Okamura;Charanzová;6
Okamura;Obama;8
Okamura;Poche;6
Okamura;Holík;43
Okamura;Kobza;13
Okamura;Brichta;48
Okamura;Pelikán;14
Okamura;Horák;15
Okamura;Ježek;7
Okamura;Ondráček;6
Okamura;Chovanec;7
Okamura;Hahnova;16
Okamura;Drahoš;7
Okamura;Dopita;17
Okamura;Teličko;7
Okamura;HENNER;15
Okamura;Paul;15
Okamura;Schmeidler;15
Okamura;Atkinson;39
Okamura;Hyťhová;7
Okamura;Gottwald;8
Okamura;Pekar;7
Okamura;Adam;6
Okamura;Bárta;20
Okamura;Běrský;11
Okamura;Pošarová;19
Okamura;Vícha;8
Okamura;Wollner;8
Okamura;Dienstbier;14
Okamura;Clinton;6
Okamura;Fridrich;12
Okamura;Chytra;33
Okamura;Vašíček;15
Okamura;Schubert;15
Okamura;Janda;7
Okamura;Lukeš;15
Okamura;Veleba;31
Okamura;Čermák;15
Okamura;Pupava;15
Okamura;DICKFELD;15
Okamura;Šabatový;7
Okamura;Mitterwald;15
Okamura;Vostenak;15
Okamura;Šabatová;6
Okamura;Hofer;8
Okamura;Danna;22
Okamura;Rozvoral;6
Okamura;Bakalář;8
Okamura;Vyskočit;17
Okamura;Kalouska;7
Okamura;Kubičko;8
Fiala;Zeman;56
Fiala;Sobotka;60
Fiala;Hamáček;28
Fiala;Kalousek;58
Fiala;Putin;19
Fiala;Le Pen;44
Fiala;Salvini;8
Fiala;Merkelová;8
Fiala;Orbán;27
Fiala;Schillerová;9
Fiala;Trump;6
Fiala;Havlíček;14
Fiala;Bělobrádek;30
Fiala;Havel;10
Fiala;Vojtěch;6
Fiala;David;9
Fiala;Klaus;28
Fiala;Bartoš;55
Fiala;Macron;13
Fiala;Wilderse;7
Fiala;Masaryk;8
Fiala;Rakušan;112
Fiala;Schwarzenberg;6
