Source;Target;Weight
Babiš;Okamura;0.03541762805722196
Babiš;Sobotka;0.08928571428571429
Okamura;Sobotka;0.03799460431654676
Zeman;Sobotka;0.031037414965986394
Sobotka;Kalousek;0.06163934426229508
Sobotka;Merkelová;0.04058192955589587
Sobotka;Bělobrádek;0.17145688800792863
Le Pen;Merkelová;0.04149377593360996
Le Pen;David;0.03099730458221024
Le Pen;Macron;0.07658321060382917
Le Pen;Atkinson;0.041044776119402986
Le Pen;Danna;0.04061895551257253
Salvini;Soros;0.04154727793696275
Salvini;Jedlička;0.034358047016274866
Salvini;Jandejsek;0.034926470588235295
Salvini;Hannan;0.036053130929791274
Salvini;Piketty;0.03639846743295019
Salvini;Matteo;0.03339882121807466
Orbán;Soros;0.052870090634441085
Schillerová;Vojtěch;0.038135593220338986
Bělobrádek;Herman;0.069164265129683
David;Nos;0.1437908496732026
David;Křeček;0.04504504504504504
David;Hrnčíř;0.0926517571884984
David;Redl;0.0440251572327044
David;Blaško;0.09395973154362416
David;Doležal;0.11846689895470383
David;Novotný;0.15579710144927536
David;Horák;0.10780669144981413
David;Hahnova;0.16996047430830039
David;Dopita;0.176
David;HENNER;0.17269076305220885
David;Paul;0.17269076305220885
David;Schmeidler;0.17269076305220885
David;Běrský;0.09125475285171103
David;Pošarová;0.11284046692607004
David;Schubert;0.11462450592885376
David;Lukeš;0.11507936507936507
David;Čermák;0.11553784860557768
David;Pupava;0.116
David;DICKFELD;0.116
David;Mitterwald;0.11646586345381527
David;Vostenak;0.11646586345381527
David;Krpálek;0.05405405405405406
David;Švarc;0.05426356589147287
David;Kocman;0.064
David;Kula;0.064
David;Zahradníček;0.05555555555555555
David;Pán;0.056
David;Valsamisová;0.056
David;Kufa;0.056
David;Nimrichter;0.05622489959839357
David;Hauzner;0.05622489959839357
David;Pajgerová;0.05622489959839357
David;Vraj;0.05622489959839357
David;Obdržálek;0.05220883534136546
Klaus;Klause;0.03875968992248062
Bartoš;Michálek;0.03678929765886288
Bartoš;Kovář;0.04247104247104247
Blatný;Petříček;0.047872340425531915
Soros;Bakala;0.0438871473354232
Soros;Wilder;0.039735099337748346
Macron;Juncker;0.15714285714285714
Hitler;Marx;0.037815126050420166
Wilderse;Feri;0.03436426116838488
Wilderse;Wilder;0.06985294117647059
Wilderse;Šlachta;0.04721030042918455
Wilderse;Atkinson;0.043668122270742356
Juncker;Johansson;0.03508771929824561
Rakušan;Jurečka;0.06557377049180328
Rakušan;Gazdík;0.08118081180811808
Rakušan;Rakoušan;0.044
Rakušan;Doležal;0.03292181069958848
Rakušan;Hlubuček;0.05829596412556054
Rakušan;Michalik;0.031088082901554404
Schwarzenberg;Bakalův;0.08173076923076923
Von der Leyen;Michel;0.06282722513089005
Foldyna;Šojdrová;0.03162055335968379
Foldyna;Šlachta;0.065
Jourová;Brežněv;0.04712041884816754
Moravec;Fridrich;0.031914893617021274
Šafránková;Španěl;0.06832298136645963
Jurečka;Pekarová;0.11372549019607843
Jurečka;Černochová;0.03076923076923077
Jurečka;Pekarová Adamová;0.08387096774193549
Pekarová;Adam;0.047337278106508875
Dvořák;Vitásková;0.038461538461538464
Dvořák;železný;0.034482758620689655
Adamová;Šojdrová;0.03211009174311927
Adamová;Langšádlová;0.03571428571428571
Beneš;Nepomuckého;0.037037037037037035
Hřib;Gottwald;0.036585365853658534
Hřib;Koněvovi;0.04477611940298507
Vystrčil;Kuberův;0.033783783783783786
Gazdík;Polčák;0.1116751269035533
Gazdík;Rakoušan;0.05945945945945946
Gazdík;Hlubuček;0.030120481927710843
Gazdík;Tichý;0.030534351145038167
Bakala;Farský;0.03389830508474576
Bakala;Bakalův;0.03048780487804878
Bakala;Valachová;0.034013605442176874
Bakala;Rath;0.03571428571428571
