Source;Target;Weight
Sobotka;Bělobrádek;0.17061143984220908
David;Novotný;0.15579710144927536
David;Hahnova;0.16996047430830039
David;Dopita;0.176
David;HENNER;0.17269076305220885
David;Paul;0.17269076305220885
David;Schmeidler;0.17269076305220885
Macron;Juncker;0.15714285714285714
Polčák;Poche;0.17647058823529413
Polčák;Štětina;0.175
Nos;Hrnčíř;0.22012578616352202
Nos;Holík;0.3135593220338983
Nos;Brichta;0.42592592592592593
Nos;Atkinson;0.26548672566371684
Nos;Bárta;0.15702479338842976
Nos;Pošarová;0.26605504587155965
Nos;Vašíček;0.2761904761904762
Nos;Lukeš;0.27884615384615385
Nos;Čermák;0.2815533980582524
Nos;Pupava;0.28431372549019607
Nos;DICKFELD;0.28431372549019607
Nos;Mitterwald;0.2871287128712871
Nos;Vostenak;0.17117117117117117
Nos;Danna;0.20588235294117646
Nos;Vyskočit;0.1650485436893204
Šojdrová;Zdechovský;0.20689655172413793
Šojdrová;Poche;0.15384615384615385
Šojdrová;Ježek;0.16129032258064516
Šojdrová;Niedermayer;0.20689655172413793
Šojdrová;Teličko;0.16666666666666666
Hrnčíř;Doležal;0.21323529411764705
Hrnčíř;Novotný;0.21641791044776118
Hrnčíř;Horák;0.25663716814159293
Hrnčíř;HENNER;0.27102803738317754
Hrnčíř;Paul;0.27102803738317754
Hrnčíř;Schmeidler;0.27102803738317754
Hrnčíř;Vašíček;0.29896907216494845
Hrnčíř;Schubert;0.29896907216494845
Hrnčíř;Lukeš;0.3020833333333333
Hrnčíř;Čermák;0.30526315789473685
Hrnčíř;Pupava;0.30851063829787234
Hrnčíř;DICKFELD;0.30851063829787234
Hrnčíř;Mitterwald;0.3118279569892473
Hrnčíř;Vostenak;0.3118279569892473
Redl;Švarc;0.15217391304347827
Redl;Kula;0.16279069767441862
Redl;Pán;0.16666666666666666
Redl;Valsamisová;0.15294117647058825
Redl;Kufa;0.16666666666666666
Redl;Nimrichter;0.1686746987951807
Redl;Hauzner;0.1686746987951807
Redl;Vraj;0.1686746987951807
Zdechovský;Štětina;0.1717171717171717
Blaško;Doležal;0.2627118644067797
Blaško;Horák;0.29896907216494845
Blaško;Hahnova;0.2653061224489796
Blaško;Dopita;0.18446601941747573
Blaško;HENNER;0.5584415584415584
Blaško;Paul;0.5584415584415584
Blaško;Běrský;0.21052631578947367
Blaško;Pošarová;0.35714285714285715
Blaško;Vašíček;0.23595505617977527
Blaško;Schubert;0.35802469135802467
Blaško;Lukeš;0.3625
Blaško;Čermák;0.3670886075949367
Blaško;DICKFELD;0.3717948717948718
Blaško;Mitterwald;0.37662337662337664
Blaško;Vostenak;0.37662337662337664
Blaško;Krpálek;0.16091954022988506
Blaško;Švarc;0.16279069767441862
Blaško;Pán;0.1794871794871795
Blaško;Valsamisová;0.16455696202531644
Blaško;Hauzner;0.18181818181818182
Blaško;Pajgerová;0.18181818181818182
Novák;Krpálek;0.17073170731707318
Novák;Švarc;0.1728395061728395
Novák;Valsamisová;0.17567567567567569
Novák;Kufa;0.1917808219178082
Novák;Nimrichter;0.19444444444444445
Novák;Hauzner;0.19444444444444445
Novák;Pajgerová;0.19444444444444445
Novák;Vraj;0.19444444444444445
Novák;Obdržálek;0.18055555555555555
Doležal;Novotný;0.25663716814159293
Doležal;Horák;0.31521739130434784
Doležal;Hahnova;0.32222222222222224
Doležal;Schmeidler;0.3372093023255814
Doležal;Běrský;0.26436781609195403
Doležal;Pošarová;0.23863636363636365
Doležal;Vašíček;0.3815789473684211
Doležal;Čermák;0.3918918918918919
Doležal;Pupava;0.3972602739726027
Doležal;DICKFELD;0.3972602739726027
Doležal;Mitterwald;0.2625
