StatementId,Text
01798fb31842884d37e96bf748f90a14,"Záznam z naší dnešní tiskovky má 16 minut, já vím, je to na vás asi dlouhé, ale přesto bych vás moc poprosil, udělejte si chvilku a dejte si ho celý. Vydáváme ho výjimečně nezkrácený. Je to důležité."
023198AA0562C8DDB5A54E778DDBA56C,S Robertem Ficem právě teď.
0B37E066335D100F5ACE58FB9545BAA8,"Žena mě vyzvedla v práci, jdeme na oběd 🤓"
0BE1BE6C0E84E27E63390483C0C62EED,Výhled z kanceláře maďarského premiéra Viktora Orbána. Maďarská vláda sedí přímo v  parlamentu.
0C0FD877ED8FC6AC7B690CACBC7D33D1,Světové ekonomické fórum v Davosu právě teď 🤓
0E3DA2C0634E3E6C1619DE20D35FADC4,Sofie právě teď. Bulharsko předsedá Radě Evropské unie 🇧🇬
278B454694362F3E36DF6E3BE780D2D2,"Směr Davos, odlet v 6.00 🇨🇿 A přeju krásné ráno vám všem. A den plný pohody."
28706E10C6C245AE7068508604CA1874,Letiště Kbely právě teď 🇨🇿 A krásné ráno vám všem!
2DE86C28C6135F266CA58B40E2AF91FE,"A jako doplnění otevřený dopis mé bývalé firmy šéfovi OLAFu a Jeanu-Claudu Junckerovi. Myslím, že byste si ho měli přečíst: http://www.imoba.cz/?3962/otevreny-dopis-spolecnosti-imoba"
2E38DF751E81B3C84A55649F57B90911,Letiště Kbely právě teď 🇨🇿 Přeju krásné ráno vám všem.
2EF6642FBC46798599CAF26F8CAA69B0,"Dneska máme na vládě pro novináře výjimečně koblihy a taky vynikající kafe 😉 Berte to jako náplast za přísnou ochranku, která má svoje pravidla a předpisy."
30F3302A42A1C79876AF0D94BB6B6CA0,Šéfka Mezinárodního měnového fondu Christine Lagardeová.
3243878C0199C31089AE65B1812A2458,"Čau lidi. Když je vám 63 let, tak už o dost líp poznáte, co je důležité a co ne. Jasně, volba prezidenta důležitá je. Ta ano. Jasně, že jsem ji sledoval celou sobotu a taky byl volit. Volil jsem Miloše Zemana. A poblahopřál jsem jak jemu, tak panu profesorovi Drahošovi k výsledkům voleb.   Nemám důvod měnit názor na to, koho podpořím ve druhém kole. Miloši Zemanovi jsem ale v médiích poradil několik věcí. Pokud chce vyhrát, tak by měl jasně deklarovat, že nechce orientovat naši zemi na východ, na Rusko a na Čínu. Což podle mě nechce, podle mě tam chce jenom otvírat dveře našim podnikatelům, a to dělá skvěle, a za to je ho potřeba pochválit. Teď byl francouzský prezident Emmanuel Macron v Číně, kde prodal 184 Airbusů! Lidská práva tam neřešil a, div se světe, nikdo mu nevyčítá, že chce táhnout Francii na Východ. Všichni ho chválí. A stejně je to s Ruskem. Německé firmy stavějí společný projekt německých firem s Ruskem, plynovod Nord Stream, a ten taky nikdo hlasitě nekritizuje. A náš pan prezident? Když vezme početnou delegaci podnikatelů do Ruska, tak by ho taky měli všichni pochválit.  Myslim, že je dobře, že pan prezident zamíří do debat, které dřív odmítal. Dále jste si asi všimli, že jsem kritizoval některé jeho nejbližší spolupracovníky. To jsem udělal už několikrát v minulosti, není to nic nového. Když byla aféra Brady, tak jsem o tom osobně s prezidentem mluvil. Různé aféry nebo nesrovnalosti jeho spolupracovníků ho podle mě poškozují. Takže mu radím, jak vyhrát v druhém kole. Někteří se to snaží překroutit, že se snažím nějak přiblížit jeho soupeři, ale to není pravda. Naopak. Miloše Zemana podporuju a vidím šanci, že by mohl díky debatám vyhrát.  Kromě prvního kola přímé volby v televizi celý týden běželo: nonstop hlasování o důvěře, polonahá ""sextremistka"" 🙀 ve volební místnosti, a samozřejmě dál jede i Čapák ve formě zprávy OLAFu, ta klasická vylhaná kauza proti mně, objednaná, aby mě dostali z politiky. U pultíku ve sněmovně se střídali řečníci jednotlivých stran, protože to vysílala přímým přenosem Česká televize a měli možnost se zase předvádět. Předháněli se, kdo řekne líp a ostřeji to stejné, co už jsme stokrát slyšeli, jen jinými slovy. Mezitím naše paní ministryně financí hlásila, že dál roste výběr daní - mnohem rychleji, než jak roste ekonomika, takže prostě EET a kontrolní hlášení, které jsme zavedli, fungují 👍   Na vládě jsme podpořili návrh poslanců na zdanění církevních restitucí, protože náhrady církvím byly předražené o 54 miliard a byly schválené za velice podivného řízení schůze paní Němcovou z ODS. Taky řešíme neziskovky, abychom přesně věděli, kam ty peníze jdou, a budu chtít podrobnou zprávu, je tam toho totiž za 18 miliard. Řešili jsme i čerpání evropských fondů, které je nedostatečné a musíme udělat maximum pro to, abychom letos dostali 80 miliard.    Někteří politici ještě pořád nepochopili, proč jsme do politiky s hnutím ANO přišli: abychom řídili tuto zemi ku prospěchu všech občanů. Připadá mi, jako kdyby pořád čekali, že se zapojím do té jejich rétorické hry 🙈 Jenže já o ni nemám zájem. Naopak mám extrémní zájem o to, jestli se ostatní strany přece jen nechtějí zapojit do vedení země. Bohužel, když jsem slyšel ty jejich monology ve Sněmovně před hlasováním o důvěře, nevypadá to, že by svůj postoj chtěli měnit 😴 Je fakt sranda, že právě kvůli těm jejich monologům jsme se ani nedostali k samotnému hlasování. Takže pokračujeme zase v úterý.   Mimochodem pokud ty jejich projevy měly být soutěží v rétorice, tak podle mě stejně nevyhrál nikdo z nich. Vyhrál by pan prezident, který přišel promluvit do sněmovny před hlasováním. Rozvaha a styl, s kterým hovořil, byl fakt úctyhodný. A taky měl výbornou pointu na závěr: ""Vy všichni, jak tady jste, jste zvítězili a to je potřeba si uvědomit, zvítězili jste díky podpoře voličů a já vám právě k tomuto vítězství blahopřeji a přeji vám, abyste ho dokázali přetavit do užitečné práce pro Českou republiku."" 🇨🇿   S tím stoprocentně souhlasím. Máme už hotové programové prohlášení. Mimo jiné jsme v něm vyhověli zástupcům seniorů. Náš hlavní cíl zůstává důchodová reforma, ale teď jsme přidali i návrh, aby důchodci nad 65 let a studenti do 26 let měli vlaky téměř zdarma na základě paušálního ročního poplatku 🚃   Jednal jsem taky s odboráři a potvrdili jsme, že budeme navyšovat platy pedagogů, za toto programové období o 50 %! Máme jasný plán, jak pomoct lidem v naší zemi. Jak perspektivně dostat důchody na průměr 15 000, jak učitelům navýšit platy až na 46 000. Většina ostatních stran ve sněmovně nás jen kritizuje a nechce nám pomoci. A střídají se u kamer.   Každopádně, vy se mějte krásně, držte mi prosím palce. A hlavně, pište mi!"
37AAB6D4CAB090B7E9EA6445668ACBC1,S izraelským premiérem Benjaminem Netanjahu.
3c4fc8a8aa860916f363b2c8c6d26b3f,"Chcete znát důvod, proč jsem chtěl být rychle premiér alespoň menšinové vlády a nechtěl se pouze donekonečna utápět v předem ztracených vyjednáváních?! Je to jednoduché. Evropa řeší velké téma, migraci, komise na nás podala žalobu a já to nechci nechat jen tak. Chci být u toho. Musíme to řešit. Po Bruselu, kde jsem se seznámil také s bulharským premiérem a lidsky jsme si sedli, jsem teda vyrazil do Bulharska. Jezdí tam teď celá Evropa, včetně Evropské komise nebo německé kancléřky Merkelové, protože do konce června mají předsednictví Rady EU. Co jsme řešili je jasné. Naše národní zájmy v EU a naše názory na migraci, kvóty, nebo třeba rozpočet. A shodli jsme se. To je důležité. Když nebudeme mít spojence, nikdy svůj zájem neprosadíme. Potkal jsem se s premiérem i bulharským prezidentem. Koukněte na video."
3D78C2E239A4DEF546572FCDC89BB323,"Svatováclavská koruna 👑 96 drahokamů včetně několika safírů, které patří k největším na světě. 20 perel. Je nádherná. Roku 1346 ji nechal vyrobit Karel IV. Bylo mi velkou ctí se dnes jako premiér zúčastnit vyzvednutí korunovačních klenotů. Spolu s panem prezidentem a dalšími klíčníky jsme odemknuli komnatu v Katedrále svatého Víta, odkud klenoty přenesli do Vladislavského sálu. Kdo můžete, přijďte se na tu nádheru podívat. Vystavené bude i brnění a meč svatého Václava, které sloužilo při korunovacích českých králů. Je to vzácná příležitost, která se naskytne jen jednou za několik let. Pro veřejnost bude otevřeno od zítřka a vstup je zdarma."
410DD045A1FCBCD13D20D4540CC580DE,"Tak jsem to po příletu z Budapešti zvládl, Průhonice 21.56 🤓"
