StatementId,Text
002f049c8d19f74e4a8d9cacffa08827,24 nabitých minut s Xaverem! Pusťte si rozhovor. https://t.co/QO9IEaLLXl
007f8dc361a9029531476c1bd58dff8a,"Čau lidi. V pátek jdu na pohřeb. Zemřel bývalý kolega, skoro stejně starý jako já. Rakovina. I proto jsem chtěl Národní onkologické centrum. Nová vláda ho nechce. Ale možná bude muset, abychom dostali Evropské peníze, které jsem svojí urputností vyjednal. https://t.co/YF93JtIVOO"
012590d65260f1f9f234d93583e080d2,"V projevu mi na závěr přeci jen chyběla vize, výhled do budoucna a přání, aby se České republice v dalších letech dařilo ještě lépe než doposud."
0208ccd2f1cd7b8ff2bc32d1c5c965a9,"Pan premiér říká, že tu „nemáme žádnou veřejně diskutovanou představu o tom, jak chceme, aby naše země vypadala třeba za 10 let“. Rád bych připomněl veřejně diskutované strategické dokumenty naší vlády do roku 2030 resp. 2050. Třeba si vzpomene a bude veřejně diskutovat i o nich."
0286995017c3d156b57b5bd82a8bb9cd,"Hnutí ANO nebude hlasovat pro důvěru nové vlády. Skutečně nemůžeme podpořit vládu, která záměrně klame občany, slibuje to, co nemůže splnit, a místo konkrétních řešení nabízí otřepané fráze a nic neříkající floskule."
02bbb15200c441877bec6d4739e6d82f,"Asociální vláda pokračuje v poškozování lidí, kteří odpracovali covid."
038f0202a65c005bdaa95d2c7d458a5b,"Naše vláda jim chtěla ulevit odpuštěním plateb za obnovitelné zdroje. To by ušetřilo 20 % z cen za energie. To ale Fialova vláda nechce. Pro firmu Elton, kterou jsme navštívili a která vyrábí hodinky Prim a pokračuje v tradici v Novém Městě nad Metují, by to byla zásadní pomoc."
04078921373d8291a611f9f5f53e3ab5,"Pane ministře, víte, my jsme chtěli postavit podobný onkologický institut v Praze. Jděte se do toho pařížského aspoň podívat. Škoda, že v programu nemáte o onkologii téměř nic a můj projekt národního boje proti rakovině jste zařízli."
042139fbf05e7e50f6c01ec92ca3eddf,"Když už chcete dělat narážky na nějaké mé zájmy, dejte si aspoň práci s tím, aby nevyznívaly tak nedomyšleně a dětinsky. A na rozdíl od Vás jsem od vstupu do politiky vždy bojoval za naše národní zájmy a za zájmy českých občanů."
04a0c6851776a5cde110d2d73850721a,"A děkujeme i samoživitelkám, kterým pomáháme. Jste skvělé!"
05f3cae123d4343b09989afdd82f9202,"Tohle je pro nejprolhanějšího ministra Jurečku 🙂 Točil jsem to ráno a právě teď je nafta je na Pumpě za 44,90 Kč, od rána zlevnila o korunu. https://t.co/mJmrIWRi4e"
05fb7fdf6fabf86c115a6afd5bf7ea33,"Úterý a středa. Znojmo a Brno ❤️ Přišel jsem o hlas, ale jedeme dál! Plno lidí, plno vzkazů, dokonce jsem si zatrsal, tak se podívejte 🙂 https://t.co/z1Ze4UkYCR"
06146bbcc823b66fce5a9c0846983528,"Děkuju moc za příjemné setkání s americkým chargé d'affaires Michaelem J. Dodmanem. Vážím si toho, že mi takto osobně poděkoval za všechno, co naše vláda udělala pro vztahy České republiky se Spojenými státy americkými, hlavně za podporu byznysu, vztahů a vojenské spolupráce. https://t.co/N3dklrBEzR"
06bc440f25eb210bf2715f6af8143411,"V ČR je 129 obcí nad 10.000 obyvatel a ANO postavilo kandidátku v 111 městech. V těchto 111 obcích ANO dokázalo vyhrát nad Pětikoalicí v 84 případech (úspěšnost 75,68 %). ANO tedy mělo v konkrétní obci více procent hlasů než ODS, TOP 09, KDU-ČSL, STAN či Piráti či jejich koalice. https://t.co/BrHu6QH5zU"
076d350b08273e67b3a9e5beee2cf9d6,"21. 4. Sněmovna poprvé ve své historii odsouhlasila vznik vyšetřovací komise k živému spisu, kde zároveň probíhá vyšetřování orgány činnými v trestním řízení! Lidový soud nadlidí zasedá. Gazdík, Pekarová Adamová, Blaha, Jurečka."
0783eef69b7f50bd77368c650572e978,"Od končícího prezidenta a tak zkušeného politika bych slova směrem do dalších let slyšel rád. Také bych očekával větší povzbuzení lidí do těžkých časů, které nás čekají."
07c798637a98f2060dcca3978ee603ca,S tímhle chováním snad žádný demokrat nemůže souhlasit. Sestřih akcí odpůrců na našich akcích. Názor si udělejte sami. https://t.co/C5X0zHzCQT
082bc770bc372188ccbfeb7ac7e8c279,"Vy jste ale bohužel stále nepochopil, že vláda musí dělat obojí. Starat se o uprchlíky i o české občany. Chápu, že toho máte v zahraniční politice hodně. Tak tím doma někoho pověřte, když to sám nezvládáte. https://t.co/igJHyyEpeU"
0915268351e50158ea37a172de35759d,"Náš kandidát do Senátu Milan Brázdil je záchranář, který možná zachránil život i vám nebo vašim blízkým. Slouží víc jak 30 let a je zvyklý lidem pomáhat každý den. Moravák, sportovec, který se umí ve vteřinách rozhodovat, když jde do tuhého. https://t.co/20pflsghLZ"
094e829d70b3ecdc21123236e7a3b43d,"Náš kandidát do Senátu Jaromír Dědeček byl první, který našel odvahu tady v regionu upozornit třeba na to, že jeho protikandidát Tomáš Czernin pobírá téměř stomilionové dotace od státu. O jeho soupeři, panu Czerninovi, vám něco řeknu. https://t.co/F3T3BSRRa7"
0a2f45b9e84edc17ca5931cf9eb4e0ce,"1. 2. Soudní znalec Jiří Klicpera v pořadu @ReporteriCT říká, že otravu Bečvy nezavinila DEZA. O měsíc později Deník Referendum publikuje „nové zjištění“, že DEZA je viník, protože je napojena na neznámou výpusť u Lhotky nad Bečvou."
0b38553084334dfc1c06c2c046090426,"Dnes má vyjet dalších 6 autobusů, které by měly ze Žytomyrské oblasti dovézt asi 250 krajanů na ukrajinsko-slovenskou hranici. Doufejme, že dorazí zítra. Držte nám palce."
0bc6fc926d4999b50ee7e35d5b93f762,Přestaňte čekat na signály a začněte už konečně dělat něco pro lidi.
0c3782961ab2c4fd38ec3268963a3d3d,"Jasně, takže oni po naší vládě chtěli plán, co budeme dělat s covidem, který je neviditelný, na rozdíl od konkrétních uprchlíků, které registrují a na které žádný plán nemají."
0c4a8139a44ab70ee85ed0a1c678b581,"Rozhovor se skvělou paní Martinkovou, se kterou se nám podařilo dostat 88 volyňských Čechů na ukrajinsko-slovenskou hranici. Zařídit přepravu z ostřelovaného Žytomyru bylo téměř nemožné. Mnoho jich tam zůstalo a město je teď bombardováno."
0c8b6237cf8e9012d191b3931055ce2b,"Sledujte, jedu! Škola smyku. Na polygonu. Na autodromu v Mostě. Trénuju na obytňák 😇  https://t.co/SMmaGOxGaM"
0cd4e60727b4d2677c1cfc98553e00d3,"Poslušně hlasím, že plán na víkend už mám 😎 https://t.co/0czAh7NolQ"
0d0873e712d19e60a06f8f2753643795,"Tu joues un rôle irremplaçable au sein du Conseil européen et dans ces temps difficiles la stabilité est d’autant plus importante. Je te souhaite tout le meilleur en espérant te revoir bientôt. Bien à toi, Andrej"
0d8f6fd877db915d2cfd9c81b118b378,"Tak a teď pozor. Babiš upekl vánočku 🙈 Velká věc, musíte vidět. Jak se mi povedla? Pište mi do komentářů! 👍 https://t.co/qKRyLbh2Vi"
0db388ce2070f53faabcfbc07be9a8ab,"Navýšení platů lékařům, zdravotníkům jsem prosadil samozřejmě já, spolu s @adamvojtechano. Důkaz? https://t.co/LqCuO4QRjN"
0dc1a662c73b6c4210dea1058bf5dc4c,"Ten by se ještě měl rozšířit o země západního Balkánu, o což jsem usiloval jako premiér a stále tuto myšlenku prosazuji. Jedině tak může Evropa konečně začít důsledně chránit své vnější hranice před pašeráky a ilegální migrací."
0f3c9605ab2e77c4997bb52ba90580fa,"4. Důrazně žádejte Evropskou radu (@eucopresident) a Evropskou komisi (@vonderleyen), aby okamžitě změnily směrnici MiFID, kterou zneužívají spekulanti s emisními povolenkami. Právě oni prodražují elektřinu až o 25 %!"
0f7fb6cd00affa047cc747bd97ad4065,"Sháníte Nurofen pro své děti? Pan ministr Válek vám poradí: “Pokud obvoláte sto lékáren, určitě narazíte na řadu společností, kde bude k dostání.” Tohle řekne maminkám a tátům ČTYŘI DNY před Vánoci? https://t.co/UZ1p312ij4"
0fec12efe72c9d4167d591a880af63a2,"340 zmařených lidských životů. Bylo to přesně před 80 lety, kdy nacisti vypálili a srovnali se zemí Lidice. Zahynulo 192 mužů, 60 žen a 88 dětí. Nikdy na ně nezapomeneme."
1001c36d4bb224a1c6da06528eb751b1,"Souhlasím, stát teď hasičům hodně dluží, ale za naší vlády byli hasiči vždy priorita a platy jim rostly každý rok. Za nás měli 51.424 Kč a na rok 2022 jsme navrhovali navýšení o 1400 Kč při tehdejší inflaci 3,6 %. https://t.co/tmrwcwP3MD"
10c623b9b6caa18bc1c0140ac873aff8,"31. 8., 9:09: Vít Rakušan: „Petr Mlejnek měl veškeré předpoklady, aby funkci ředitele vykonával dobře“.  30. 8., 14:55: Janek Kroupa píše Mlejnkovi: „Našel jsem odposlech, kde se domlouváte na manipulaci se zakázkou na Ministerstvu pro místní rozvoj.“  Pane Rakušane, odstupte. https://t.co/3ZiKm0JrLj"
