Source,Target,Weight
ČR,RT,64
ČR,EU,291
ČR,Praha,139
ČR,Babiš,155
ČR,SPD,183
ČR,ČSSD,90
ČR,ANO,86
ČR,Evropský parlament,101
ČR,2019,73
ČR,ODS,67
ČR,Brusel,94
ČR,Brno,50
ČR,Senátu,34
ČR,Sněmovně,57
ČR,KSČM,53
ČR,2020,47
ČR,KDU ČSL,41
ČR,TOP 09,35
ČR,2018,60
ČR,Zeman,34
ČR,Piráti,27
ČR,Evropské unie,90
ČR,Ostrava,16
ČR,USA,39
ČR,EP,20
ČR,Zemana,25
ČR,NATO,43
ČR,Německu,41
ČR,Evropské komise,48
ČR,2017,40
ČR,1989,27
ČR,Okamura,21
ČR,Sněmovny,37
ČR,Agrofert,29
ČR,2021,34
ČR,Českou republiku,47
ČR,Německo,36
ČR,Pirátů,16
ČR,2016,27
ČR,Francie,31
ČR,STAN,17
ČR,Poslanecké sněmovny,18
ČR,Poslanecké sněmovně,22
ČR,Německa,32
ČR,Číny,22
ČR,Komise,19
ČR,EK,12
ČR,Číně,25
ČR,Hamáček,18
ČR,Senát,16
ČR,2015,25
ČR,Zlín,6
ČR,Schillerová,13
ČR,2014,18
ČR,V 4,22
ČR,EET,8
ČR,Evropská unie,26
ČR,Česka,21
ČR,Sýrie,17
ČR,Francii,13
ČR,Československa,8
ČR,Rusko,20
ČR,Evropské unii,19
ČR,Senát Parlamentu ČR,61
ČR,Rusku,12
ČR,Unie,18
ČR,1968,7
ČR,Polsko,23
ČR,2013,18
ČR,Ruska,8
ČR,Sýrii,14
ČR,Evropskou unii,27
ČR,Maláčová,8
ČR,OSN,14
ČR,Čína,19
ČR,Slovensko,17
ČR,Salvini,13
ČR,Turecko,12
ČR,Polska,21
ČR,Sněmovna,11
ČR,Itálie,11
ČR,Le Pen,27
ČR,Rakousku,16
ČR,Maďarsko,23
ČR,Trikolóra,7
ČR,2012,14
ČR,Salvinim,27
ČR,Havla,12
ČR,Českou republikou,28
ČR,NKÚ,16
ČR,Británie,7
ČR,Parlamentu,24
ČR,ŘSD,13
ČR,Polsku,11
ČR,Turecka,7
ČR,Slovensku,15
ČR,2030,14
ČR,Plzni,6
ČR,MPO,9
ČR,České,9
ČR,Czech Republic,7
ČR,Evropská komise,16
ČR,Karlovy Vary,13
ČR,Klause,9
ČR,Německem,9
ČR,Macron,6
ČR,Evropské rady,12
ČR,2010,15
ČR,Klaus,6
ČR,Čínou,13
ČR,Havlíček,11
ČR,republiky,8
ČR,Itálii,6
ČR,Masaryka,8
ČR,Fiala,7
ČR,2022,6
ČR,1990,19
ČR,Poslanecká sněmovna Parlamentu České republiky,9
ČR,Wildersem,22
ČR,Afghánistánu,9
ČR,Maďarsku,8
ČR,Huawei,10
ČR,Pardubice,8
ČR,BIS,14
ČR,Maďarska,11
ČR,ČEZ,11
ČR,Havel,6
ČR,Slovenska,11
ČR,2009,10
ČR,Orbán,10
ČR,Rakousko,11
ČR,2050,12
ČR,Hamáčka,8
ČR,Schillerovou,8
ČR,Izrael,9
ČR,Ukrajiny,15
ČR,Velké Británii,9
ČR,Sněmovnou,13
ČR,Karlových Varech,9
ČR,David,7
ČR,Zemanem,8
ČR,Evropskou komisi,13
ČR,Moravce,6
ČR,Velká Británie,11
ČR,Dostálová,8
ČR,Velké Británie,9
ČR,Iráku,6
ČR,Turecku,7
ČR,ČNB,9
ČR,Toman,7
ČR,Salviniho,6
RT,EU,40
RT,Praha,40
RT,Babiš,31
RT,SPD,9
RT,ČSSD,7
RT,ANO,16
RT,Evropský parlament,15
RT,ODS,10
RT,Brusel,9
RT,Senátu,8
RT,Sněmovně,6
RT,2020,10
RT,KDU ČSL,6
RT,TOP 09,8
RT,Zeman,9
RT,Piráti,6
RT,Ostrava,11
RT,EP,6
RT,NATO,7
RT,Čína,6
RT,Toman,7
EU,Praha,69
EU,Babiš,99
EU,SPD,169
EU,ČSSD,61
EU,ANO,59
EU,Evropský parlament,135
EU,2019,49
EU,ODS,45
EU,Brusel,130
EU,Brno,15
EU,Senátu,15
EU,Sněmovně,24
EU,KSČM,36
EU,2020,30
EU,KDU ČSL,33
EU,TOP 09,31
EU,2018,44
EU,Zeman,13
EU,Piráti,20
EU,Evropské unie,108
EU,Ostrava,7
EU,USA,40
EU,EP,33
EU,Zemana,16
EU,NATO,39
EU,Německu,29
EU,Evropské komise,49
EU,2017,25
EU,1989,7
EU,Okamura,23
EU,Sněmovny,16
EU,Agrofert,18
EU,2021,19
EU,Českou republiku,22
EU,Německo,31
EU,Pirátů,12
EU,2016,18
EU,Francie,35
EU,STAN,18
EU,Poslanecké sněmovny,7
EU,Poslanecké sněmovně,6
EU,Německa,26
EU,Číny,12
EU,Komise,28
EU,EK,24
EU,Číně,10
EU,Hamáček,12
EU,Senát,10
EU,2015,17
EU,Schillerová,6
EU,2014,11
EU,V 4,28
EU,Evropská unie,41
EU,Česka,20
EU,Sýrie,20
EU,Francii,17
EU,Rusko,11
EU,Evropské unii,31
EU,Senát Parlamentu ČR,7
EU,Rusku,13
EU,Unie,31
EU,UK,16
EU,Polsko,18
EU,2013,9
EU,Ruska,7
EU,Sýrii,20
EU,Evropskou unii,36
EU,OSN,11
EU,Slovensko,8
EU,Salvini,27
EU,Turecko,16
EU,Polska,11
EU,Itálie,22
EU,Le Pen,31
EU,Rakousku,12
EU,Maďarsko,18
