Source,Target,Weight
ČR,EU,337
ČR,Praha,105
ČR,Česká republika,157
ČR,Česko,96
ČR,Babiš,76
ČR,Praze,73
ČR,SPD,92
ČR,ANO,67
ČR,Brno,51
ČR,ČSSD,58
ČR,Evropský parlament,66
ČR,Bruselu,93
ČR,ODS,55
ČR,Sněmovně,36
ČR,Senátu,34
ČR,Babiše,31
ČR,Schillerová,27
ČR,České republice,55
ČR,COVID 19,45
ČR,USA,47
ČR,NATO,49
ČR,V 4,44
ČR,Evropské unie,61
ČR,KSČM,38
ČR,Zeman,20
ČR,TOP 09,23
ČR,KDU ČSL,26
ČR,Evropské komise,48
ČR,ŘSD,15
ČR,Evropské rady,22
ČR,Německu,28
ČR,Brusel,14
ČR,Sněmovny,17
ČR,Ukrajina,23
ČR,Zemana,17
ČR,Německo,36
ČR,MPO,16
ČR,STAN,11
ČR,EP,18
ČR,EET,18
ČR,Francie,33
ČR,Ostravě,11
ČR,Německa,32
ČR,Číny,25
ČR,EK,25
ČR,Ostrava,11
ČR,Poslanecké sněmovny,10
ČR,Okamura,14
ČR,Piráti,15
ČR,Havlíček,31
ČR,Poslanecké sněmovně,12
ČR,HDP,17
ČR,Francii,16
ČR,Komise,22
ČR,Slovensko,23
ČR,Itálie,29
ČR,Polsko,23
ČR,ČEZ,18
ČR,Babišovi,12
ČR,Senát,14
ČR,OSN,17
ČR,Číně,24
ČR,Itálii,15
ČR,Czech Republic,20
ČR,Evropská unie,21
ČR,Agrofert,11
ČR,Evropské unii,14
ČR,Hamáček,18
ČR,Rakousku,14
ČR,Rusko,11
ČR,Polska,20
ČR,Sněmovna,12
ČR,Maďarsko,21
ČR,Slovensku,14
ČR,Rakousko,16
ČR,Sýrie,13
ČR,Polsku,12
ČR,Sýrii,14
ČR,Unie,18
ČR,Evropské radě,17
ČR,Evropská komise,20
ČR,Havla,10
ČR,Čína,20
ČR,Německem,14
ČR,Maláčová,12
ČR,Parlamentu,20
ČR,Senát Parlamentu ČR,62
ČR,Havlíčkem,24
ČR,Izrael,13
ČR,Úřadu vlády,12
ČR,Maďarska,10
ČR,Českou republikou,16
ČR,Karlovy Vary,15
ČR,Turecko,10
ČR,OECD,16
ČR,Vojtěch,19
