Source,Target,Weight
Babiš,Babiše,49
Babiš,Schillerová,15
Babiš,Zeman,38
Babiš,Zemana,24
Babiš,Okamura,9
Babiš,Havlíček,11
Babiš,Babišovi,11
Babiš,Fiala,18
Babiš,Hamáček,15
Babiš,Havla,6
Babiš,Maláčová,8
Babiš,Havlíčkem,7
Babiš,Vojtěch,5
Babiš,Dostálová,7
Babiš,Schillerovou,5
Babiš,Brabec,6
Babiš,Merkelová,4
Babiš,Macron,5
Babiš,Trump,3
Babiš,Kalousek,12
Babiš,Salvini,6
Babiš,Trumpa,6
Babiš,Fialy,3
Babiš,Salvinim,6
Babiš,Schillerové,6
Babiš,Juncker,3
Babiš,Klause,7
Babiš,Orbánem,4
Babiš,Klaus,4
Babiš,Zemanovi,10
Babiš,Hřib,4
Babiš,Havel,4
Babiš,Hamáčka,9
Babiš,Gotta,4
Babiš,Benešová,6
Babiš,Charanzová,8
Babiš,Havlíčka,5
Babiš,Vojtěchem,4
Babiš,Sobotka,5
Babiš,Jourová,8
Babiš,Kremlík,5
Babiš,Zemanem,6
Babiš,Brabcem,5
Babiš,Kalouska,5
Babiš,Ťok,6
Babiš,Staněk,4
Babiš,Staňka,3
Babiš,Dlabajová,7
Babiš,Plaga,5
Babiš,Michelem,3
Babiš,Bartoš,4
Babiš,Nacher,4
Babiš,Hamáčkem,6
Babiš,Salviniho,4
Babiš,Petříček,5
Babiš,Vondráček,3
Babiš,Merkelové,3
Babiš,Benešové,3
Babiš,Jourovou,5
Babiš,Dostálovou,3
Babiš,Dzurilla,3
Babiš,Erdogan,7
Babiš,Filip,4
Babiš,Blatného,3
Babiš,Sorose,10
Babiš,Novákovou,3
Babiš,von der Leyenovou,4
Babiš,Kněžínek,3
Babiš,Skopeček,3
Babiš,Michel,3
Babiš,Šmarda,5
Babiš,Stanjura,3
Babiš,Metnar,3
Babiš,Johnsona,4
Babiš,Telička,5
Babiš,Mynáře,3
Babiš,Babišův,5
Babiš,Kovanda,5
Babiš,Macronem,4
Babiš,Pelikán,3
Babiš,Šmardy,3
Babiše,Schillerová,5
Babiše,Zeman,17
Babiše,Zemana,24
Babiše,Okamura,6
Babiše,Babišovi,9
Babiše,Fiala,8
Babiše,Hamáček,7
Babiše,Maláčová,3
Babiše,Schillerovou,3
Babiše,Fialy,3
Babiše,Klause,7
Babiše,Klaus,3
Babiše,Zemanovi,3
Babiše,Hamáčka,5
Babiše,Benešová,3
Babiše,Sobotka,4
Babiše,Jourová,4
Babiše,Kalouska,6
Babiše,Benešové,5
