Source;Target;Weight
EU;Babiš;0.09931597710160577
EU;SPD;0.1876205786227572
EU;ANO;0.08443568639908072
EU;ČSSD;0.08318551378998085
EU;Evropský parlament;0.1887621954633543
EU;Sněmovna;0.05580220063520849
EU;Zeman;0.04609209615325421
EU;Evropská unie;0.21948686149826332
EU;Senát;0.03785229359370725
EU;ODS;0.07513031399016304
EU;Evropská komise;0.15013591113907046
EU;Piráti;0.04492415567718416
EU;KSČM;0.06750764778392526
EU;Poslanecká sněmovna;0.02458701671120153
EU;TOP 09;0.05764940470527815
EU;KDU ČSL;0.06346518863841029
EU;NATO;0.11966217270556366
EU;Schillerová;0.055729898186852186
EU;Okamura;0.0708002183482101
EU;EP;0.07949730346106461
EU;Hamáček;0.051874785877264656
EU;Havlíček;0.07438080033056017
EU;Evropská rada;0.1107448413200492
EU;komise;0.11185691466530971
EU;V 4;0.11185691466530971
EU;Salvini;0.13458796110999308
EU;ČT;0.033264105151994273
EU;Maláčová;0.034228481817591944
EU;STAN;0.04897285216283257
EU;Havel;0.026600339731199733
EU;Unie;0.12825100104468412
EU;Trump;0.04632741941517443
EU;EK;0.08338935494731398
EU;Klaus;0.06286324986948519
EU;Ústavní soud;0.019324698792024926
EU;EET;0.03914176644743564
EU;Rada;0.07417673739370438
EU;OSN;0.05202034046175755
EU;Parlament;0.06936045394901005
EU;Le Pen;0.1187766130912454
EU;Merkelová;0.0992870346626694
EU;ČT 24;0.01772982761833383
EU;Agrofert;0.04609755180766796
EU;Orbán;0.06895881704513579
EU;Kalousek;0.01829281895365086
EU;Brabec;0.05853702065168275
EU;Vojtěch;0.06270331192344059
EU;Jourová;0.05578560024792013
EU;Senát parlamentu ČR;0.02603328011569606
EU;Gott;0.007565235911138934
EU;ŘSD;0.015398288575331992
EU;Ministerstvo financí;0.058266159163437185
EU;Putin;0.01568084954871835
EU;Johnson;0.06331236321188195
EU;Macron;0.09188246561793302
EU;MPO;0.011984669428426045
EU;Masaryk;0.019974449047376743
EU;Ředitelství silnic a dálnic;0.04074004218633553
EU;Fiala;0.04074004218633553
EU;Hřib;0.020576828639845623
EU;Toman;0.028807560095783873
EU;České televize;0.04526902300766037
EU;Trikolóra;0.012474039431997855
EU;UK;0.06652821030398857
EU;Juncker;0.10925237721961155
EU;CO2;0.05042417410135921
EU;Ministerstvo dopravy;0.037818130576019404
EU;Kreml;0.06795908820115407
EU;Hrad;0.008588755018677745
EU;Dostálová;0.07300441765876084
EU;Benešová;0.042943775093388724
EU;PS;0.013179335188132895
EU;Agrofertu;0.026358670376265794
EU;NKÚ;0.035560824216109864
EU;Petříček;0.03643900149394216
EU;Palach;0.00910975037348554
EU;von der Leyen;0.0599677183789706
EU;Plaga;0.03271242336633534
EU;Kubera;0.02336601669023953
EU;Čaputová;0.009346406676095811
EU;MPSV;0.009346406676095811
EU;Soros;0.07103900559727634
EU;ČEZ;0.042623403358365806
EU;Ťok;0.014207801119455268
EU;David;0.11366240895564216
EU;AB;0.004869366396659833
EU;Soukup;0.004869366396659833
EU;Moravec;0.029216198379959
EU;Nejvyšší kontrolní úřad;0.05928546957401678
EU;Svobodní;0.1253688133819239
EU;TV Barrandov;0.015044257605830863
EU;Úřad vlády;0.07020653549387736
EU;Ministerstvo zdravotnictví;0.035647536913043586
EU;Staněk;0.025462526366459706
EU;Islámský stát;0.06620256855279523
EU;OECD;0.035647536913043586
EU;Nováková;0.020370021093167764
EU;Wilderse;0.10185010546583882
EU;Sobotka;0.031043943189946386
EU;Huawei;0.02103806732152868
EU;BIS;0.01604828884212699
EU;Brusel;0.10698859228084664
EU;Zahradil;0.01633235140542689
EU;Michálek;0.005544017525332379
EU;Šmarda;0.005544017525332379
EU;Čapí hnízdo;0.022176070101329517
EU;Policie ČR;0.033264105151994273
EU;Stb;0.011088035050664758
EU;Koněv;0.0056496273487461075
EU;Bartoš;0.028248136743730536
EU;ČNB;0.028248136743730536
EU;Svoboda;0.0903940375799377
EU;WHO;0.011299254697492215
EU;Erdogan;0.057615120191567754
EU;OZE;0.023046048076627097
EU;Hitler;0.011523024038313548
EU;Pellegrini;0.0460920961532542
EU;Ministerstvo životního prostředí;0.05185360817241098
EU;Dvořák;0.005880318580769382
EU;Vondráček;0.02352127432307753
EU;Morawiecki;0.02352127432307753
