Source;Target;Weight
EU;SPD;0.1876205786227572
EU;Evropský parlament;0.1887621954633543
EU;Evropská unie;0.21948686149826332
EU;Evropská komise;0.15013591113907046
EU;Salvini;0.13458796110999308
EU;Rada EU;0.13511943387532518
Babiš;ANO;0.16039530634679733
Babiš;ČSSD;0.1435858983492554
Babiš;Zeman;0.14585857970899507
SPD;ANO;0.24393035734316285
SPD;ČSSD;0.24037923712594825
SPD;Evropský parlament;0.1815091265272277
SPD;Sněmovna;0.21481313927097617
SPD;Evropská unie;0.19300261249894704
SPD;ODS;0.13735044375563796
SPD;KSČM;0.27996914287939495
SPD;TOP 09;0.13285107736405935
SPD;KDU ČSL;0.1397286658528335
SPD;Okamura;0.15436241610738244
SPD;Salvini;0.2108988867952955
SPD;Le Pen;0.19869292589280085
SPD;Merkelová;0.16134476568728137
SPD;Macron;0.1363284321197649
SPD;Juncker;0.13144698283344508
SPD;Soros;0.16835112262694157
SPD;David;0.1616170777218639
SPD;Svobodní;0.17113196688964696
SPD;Wilderse;0.15930322274996045
SPD;Hrnčíř;0.15570795240755375
SPD;Bruselská elita;0.15975298841765553
SPD;ENF;0.1641305931363228
SPD;Blaško;0.1641305931363228
SPD;Evropa národů a svobody;0.1589543407142408
SPD;Svoboda a přímá demokracie;0.14768913479641196
ANO;ČSSD;0.3661973980211418
ANO;Sněmovna;0.16045855074091583
ANO;ODS;0.16343143539500968
ANO;KSČM;0.32707456029889836
ČSSD;KSČM;0.36987362739046353
ČSSD;TOP 09;0.1317721848005833
ČSSD;KDU ČSL;0.1390164623679794
ČSSD;Hamáček;0.2436183055111944
Evropský parlament;Evropská unie;0.2103014241524731
Evropský parlament;Evropská komise;0.16475089420958292
Evropský parlament;Salvini;0.18428129573995267
Evropský parlament;Le Pen;0.2000816826662604
Evropský parlament;Soros;0.13174732390966187
Evropský parlament;David;0.17049653682426824
Evropský parlament;Svobodní;0.16412198797244368
Evropský parlament;Wilderse;0.16666666666666666
Evropský parlament;Bruselská elita;0.20548046676563256
Evropský parlament;ENF;0.18888888888888883
Evropský parlament;Blaško;0.15555555555555553
Evropský parlament;Evropa národů a svobody;0.1829318241520094
Evropský parlament;Národní sdružení;0.1460593486680443
Evropský parlament;Lega;0.1341640786499874
Evropský parlament;DICKFELD;0.13333333333333333
Evropská unie;Evropská komise;0.15981626961845982
Evropská unie;Havlíček;0.13373752248677556
Evropská unie;Salvini;0.17683321604017713
Evropská unie;Le Pen;0.2005940040935264
Evropská unie;Merkelová;0.14191043529673683
Evropská unie;Orbán;0.1389347455605294
Evropská unie;Macron;0.16682765063800023
Evropská unie;Juncker;0.1389194758246353
Evropská unie;Svobodní;0.15706304001306381
Evropská unie;Wilderse;0.19494233137729236
Evropská unie;Dzurilla;0.1312592935895408
Evropská unie;Bruselská elita;0.20699228968081146
Evropská unie;ENF;0.177220301252084
Evropská unie;Evropa národů a svobody;0.1823581855395696
Evropská unie;Národní sdružení;0.15530809062980389
Evropská unie;Lega;0.1426595906133543
Senát;Kubera;0.17052337204298626
Senát;Senát parlamentu;0.14865882924943327
ODS;Piráti;0.15604287508525155
ODS;TOP 09;0.2130252057799388
ODS;STAN;0.14902896271545782
ODS;Fiala;0.20323168096364508
ODS;Skopeček;0.15490642551732825
ODS;Občanská demokratická strana;0.160478296176311
Evropská komise;Evropská rada;0.15535367517988022
Evropská komise;komise;0.14738035516781114
Evropská komise;Juncker;0.1341533468114988
Evropská komise;von der Leyen;0.20617982795969603
Evropská komise;Svoboda;0.14429582107316455
Evropská komise;ENF;0.14451832825401997
Evropská komise;Blaško;0.14451832825401997
Evropská komise;Evropa národů a svobody;0.13383731964271547
Evropská komise;Lega;0.15511334686589626
Evropská komise;Pupavová;0.130066495428618
Evropská komise;DICKFELD;0.130066495428618
Evropská komise;Lukeš;0.130066495428618
Evropská komise;Pošarová;0.130066495428618
Evropská komise;Čermák;0.130066495428618
Evropská komise;Dopita;0.13904693239779645
Evropská komise;Běrsko;0.13904693239779645
Evropská komise;Hahnová;0.13904693239779645
Evropská komise;Henner;0.13904693239779645
Evropská komise;Městská část Praha 11;0.13904693239779645
Evropská komise;Paul;0.13904693239779645
Evropská komise;SPD 10 Bc;0.13904693239779645
Evropská komise;Vašíček;0.13904693239779645
Evropská komise;Vostenak;0.13904693239779645
Evropská komise;gšt;0.13904693239779645
Evropská komise;Mitterwald;0.13904693239779645
Evropská komise;NOS;0.13904693239779645
Evropská komise;Schmeidler;0.13904693239779645
Piráti;TOP 09;0.16787591701331908
Piráti;STAN;0.19337268708105965
Poslanecká sněmovna;Parlament České republiky;0.32163376045133857
TOP 09;KDU ČSL;0.21577962499004977
TOP 09;STAN;0.37263540204487156
TOP 09;Kalousek;0.1402214618798983
KDU ČSL;STAN;0.22030740690079736
KDU ČSL;Zdechovský;0.13043093014520493
KDU ČSL;Sudetoněmecký landsmanšaft;0.13430382733756338
NATO;Severoatlantická aliance;0.19037490262714746
Schillerová;Havlíček;0.22644033943432307
Schillerová;Brabec;0.16706860297280668
Schillerová;Vojtěch;0.19815582462651746
Schillerová;Ministerstvo financí;0.1356449944057979
Schillerová;Kreml;0.18255041779670242
Schillerová;Dostálová;0.1730321350514957
Schillerová;Úřad vlády;0.13470533444360344
Schillerová;Ministerstvo životního prostředí;0.13928818185614464
Schillerová;Dzurilla;0.13508965857535607
Schillerová;Rada pro výzkum vývoj a inovace;0.13986020965061138
Okamura;Le Pen;0.14901969441960075
Okamura;Bruselská elita;0.1503557538048523
Okamura;ENF;0.15447585236359793
Okamura;Evropa národů a svobody;0.13908504812496064
Okamura;Národní sdružení;0.14806734062641552
Okamura;Wilder;0.16554431944414075
Okamura;MBA;0.1365386534198401
Okamura;Schubert;0.1365386534198401
Okamura;Úřad práce ČR;0.1365386534198401
Okamura;Pupavová;0.14482111159087308
Okamura;DICKFELD;0.14482111159087308
Okamura;Lukeš;0.14482111159087308
Okamura;Pošarová;0.14482111159087308
Okamura;Čermák;0.14482111159087308
Okamura;Dopita;0.15482028055565814
Okamura;Běrsko;0.15482028055565814
Okamura;Hahnová;0.15482028055565814
Okamura;Henner;0.15482028055565814
Okamura;Městská část Praha 11;0.15482028055565814
Okamura;Paul;0.15482028055565814
Okamura;SPD 10 Bc;0.15482028055565814
Okamura;Vašíček;0.15482028055565814
Okamura;Vostenak;0.15482028055565814
Okamura;gšt;0.15482028055565814
Okamura;Mitterwald;0.15482028055565814
Okamura;NOS;0.15482028055565814
Okamura;Schmeidler;0.15482028055565814
Havlíček;Evropská rada;0.18047153391797657
Havlíček;V 4;0.1352661428741151
Havlíček;Brabec;0.25139990371718207
Havlíček;Vojtěch;0.2644718419629147
Havlíček;Ministerstvo financí;0.1392621247645583
Havlíček;Ředitelství silnic a dálnic;0.1460593486680443
Havlíček;Kreml;0.25379566254229374
Havlíček;Dostálová;0.23094010767585035
Havlíček;Benešová;0.16679007776589191
Havlíček;Plaga;0.13961796943056518
Havlíček;Úřad vlády;0.19476884915604772
Havlíček;Ministerstvo zdravotnictví;0.13693063937629155
Havlíček;Nováková;0.13693063937629155
Havlíček;Pellegrini;0.13770607453181927
Havlíček;Ministerstvo životního prostředí;0.17213259316477408
Havlíček;Dzurilla;0.2817180849095055
Havlíček;Rada pro výzkum vývoj a inovace;0.26666666666666666
Havlíček;Metnar;0.13801311186847084
Havlíček;Nacher;0.20701966780270625
Havlíček;Akademie věd;0.14322297480788657
Havlíček;Bloomberg;0.14907119849998599
Havlíček;Úřad pro zastupování státu ve věcech majetkových;0.15569978883230462
Havlíček;Bezpečnostní rada státu;0.20759971844307284
Havlíček;Apple Store;0.13608276348795434
Havlíček;Cook;0.16329931618554522
Havlíček;Národní rozvojový fond;0.13608276348795434
Havlíček;IT;0.13608276348795434
Havlíček;Bartha;0.16265001215808886
Havlíček;Ministerstvo školství;0.16265001215808886
Havlíček;Akademii věd;0.17568209223157663
Havlíček;Akademií věd;0.1405456737852613
Evropská rada;V 4;0.14539314350179694
Evropská rada;Vojtěch;0.16779951209939023
Evropská rada;Dzurilla;0.15252628474815969
Evropská rada;Rada pro výzkum vývoj a inovace;0.13535365043848244
Evropská rada;Tusk;0.16962533408542974
