Source;Target;Weight
EU;Evropská komise;0.053206997084548104
SPD;Evropský parlament;0.08258928571428571
ANO;TOP 09;0.054945054945054944
ČSSD;TOP 09;0.05337519623233909
ČSSD;KDU ČSL;0.061191626409017714
Evropský parlament;Svobodní;0.05115089514066496
Evropský parlament;Bruselská elita;0.05026455026455026
Evropská unie;Evropská komise;0.06958250497017893
Evropská unie;Salvini;0.07932011331444759
Evropská unie;Bruselská elita;0.06020066889632107
ODS;TOP 09;0.11485148514851486
ODS;KDU ČSL;0.05961538461538462
ODS;STAN;0.06588235294117648
Evropská komise;Juncker;0.055762081784386616
Evropská komise;von der Leyen;0.08235294117647059
Piráti;KDU ČSL;0.06281407035175879
KSČM;KDU ČSL;0.05596107055961071
TOP 09;KDU ČSL;0.11171662125340599
TOP 09;STAN;0.2109375
TOP 09;Kalousek;0.06349206349206349
KDU ČSL;STAN;0.11194029850746269
Schillerová;Havlíček;0.061946902654867256
Schillerová;Kreml;0.0718562874251497
Schillerová;Dostálová;0.07647058823529412
Okamura;Le Pen;0.06417112299465241
Okamura;Bruselská elita;0.05263157894736842
Havlíček;Evropská rada;0.08205128205128205
Havlíček;Vojtěch;0.0916030534351145
Havlíček;Ministerstvo financí;0.055944055944055944
Havlíček;Kreml;0.112
Havlíček;Dostálová;0.051470588235294115
Havlíček;Benešová;0.05185185185185185
Havlíček;ČEZ;0.05384615384615385
Havlíček;Dzurilla;0.07142857142857142
Havlíček;Škoda Auto;0.05357142857142857
Havlíček;Rada pro výzkum vývoj a inovace;0.11650485436893204
Havlíček;Bezpečnostní rada státu;0.0673076923076923
Evropská rada;Vojtěch;0.0547945205479452
Evropská rada;Tusk;0.05982905982905983
komise;Jourová;0.05806451612903226
Salvini;Le Pen;0.42424242424242425
Salvini;Orbán;0.128
Salvini;Soros;0.102803738317757
Salvini;Svobodní;0.2608695652173913
Salvini;Wilderse;0.2696629213483146
Salvini;Svoboda;0.09090909090909091
Salvini;Hrnčíř;0.061855670103092786
Salvini;Bruselská elita;0.2
Salvini;ENF;0.10989010989010989
Salvini;Evropa národů a svobody;0.13636363636363635
Salvini;Armáda ČR;0.06382978723404255
Salvini;Novotný;0.06382978723404255
Salvini;Národní sdružení;0.06741573033707865
Salvini;PS PČR;0.06593406593406594
Salvini;Wilder;0.10465116279069768
Salvini;Doležal;0.06818181818181818
Salvini;Horák;0.06818181818181818
Salvini;MBA;0.06976744186046512
Salvini;Schubert;0.06976744186046512
Salvini;Úřad práce ČR;0.06976744186046512
Salvini;FPÖ;0.08235294117647059
Salvini;Pupavová;0.07058823529411765
Salvini;DICKFELD;0.07058823529411765
Salvini;Lukeš;0.07058823529411765
Salvini;Pošarová;0.07058823529411765
Salvini;Dopita;0.07142857142857142
Salvini;Běrsko;0.07142857142857142
Salvini;Hahnová;0.07142857142857142
Salvini;Henner;0.07142857142857142
Salvini;Městská část Praha 11;0.07142857142857142
Salvini;Paul;0.07142857142857142
Salvini;SPD 10 Bc;0.07142857142857142
Salvini;Vašíček;0.07142857142857142
Salvini;Vostenak;0.07142857142857142
Salvini;gšt;0.07142857142857142
Salvini;Mitterwald;0.07142857142857142
Salvini;NOS;0.07142857142857142
Salvini;Schmeidler;0.07142857142857142
Havel;Letiště Václava Havla;0.06896551724137931
Trump;Erdogan;0.06521739130434782
EK;OZE;0.06666666666666667
Ústavní soud;Rychetský;0.08
OSN;Valné shromáždění OSN;0.11594202898550725
Le Pen;Soros;0.06896551724137931
Le Pen;Svobodní;0.2638888888888889
Le Pen;Wilderse;0.4666666666666667
Le Pen;Svoboda;0.12162162162162163
Le Pen;Hrnčíř;0.08333333333333333
Le Pen;Bruselská elita;0.2833333333333333
Le Pen;ENF;0.07042253521126761
Le Pen;Evropa národů a svobody;0.056338028169014086
Le Pen;Armáda ČR;0.08695652173913043
Le Pen;Novotný;0.08695652173913043
Le Pen;Národní sdružení;0.20689655172413793
Le Pen;PS PČR;0.09090909090909091
Le Pen;Wilder;0.1864406779661017
Le Pen;ID;0.06060606060606061
Le Pen;Doležal;0.09523809523809523
Le Pen;Horák;0.09523809523809523
Le Pen;Lega;0.13333333333333333
Le Pen;Identita a demokracie;0.0625
Le Pen;MBA;0.09836065573770492
Le Pen;Schubert;0.09836065573770492
Le Pen;Úřad práce ČR;0.09836065573770492
Le Pen;FPÖ;0.08064516129032258
Le Pen;Pupavová;0.1
Le Pen;DICKFELD;0.1
Le Pen;Lukeš;0.1
Le Pen;Pošarová;0.1
Le Pen;Dopita;0.1016949152542373
Le Pen;Běrsko;0.1016949152542373
Le Pen;Hahnová;0.1016949152542373
Le Pen;Henner;0.1016949152542373
Le Pen;Městská část Praha 11;0.1016949152542373
Le Pen;Paul;0.1016949152542373
Le Pen;SPD 10 Bc;0.1016949152542373
Le Pen;Vašíček;0.1016949152542373
Le Pen;Vostenak;0.1016949152542373
Le Pen;gšt;0.1016949152542373
Le Pen;Mitterwald;0.1016949152542373
Le Pen;NOS;0.1016949152542373
Le Pen;Schmeidler;0.1016949152542373
Merkelová;Soros;0.1511627906976744
Merkelová;Svobodní;0.07777777777777778
Agrofert;Agrofertu;0.11224489795918367
Orbán;Wilderse;0.060240963855421686
Orbán;Pellegrini;0.10666666666666667
Orbán;Morawiecki;0.0945945945945946
Kalousek;Bartoš;0.06329113924050633
Brabec;Vojtěch;0.07954545454545454
Brabec;Ministerstvo financí;0.05102040816326531
Brabec;CO2;0.05319148936170213
Brabec;Úřad vlády;0.07792207792207792
Brabec;Ministerstvo zdravotnictví;0.05128205128205128
Brabec;Bezpečnostní rada státu;0.06779661016949153
Brabec;Airbnb;0.05084745762711865
Brabec;Ministerstvo školství;0.05454545454545454
Brabec;Akademií věd;0.05454545454545454
Vojtěch;Kreml;0.05128205128205128
Vojtěch;Dostálová;0.06172839506172839
Vojtěch;von der Leyen;0.05333333333333334
Vojtěch;Ministerstvo životního prostředí;0.06666666666666667
Vojtěch;Dzurilla;0.08620689655172414
Vojtěch;Škoda Auto;0.05172413793103448
Vojtěch;Rada pro výzkum vývoj a inovace;0.05454545454545454
Vojtěch;Nacher;0.05660377358490566
Vojtěch;Univerzity Karlovy;0.05660377358490566
Vojtěch;Akademie věd;0.05660377358490566
Vojtěch;Úřad pro zastupování státu ve věcech majetkových;0.08163265306122448
Vojtěch;Bezpečnostní rada státu;0.10204081632653061
Vojtěch;Cook;0.06382978723404255
Vojtěch;Českých drah;0.061224489795918366
Vojtěch;Arajma;0.061224489795918366
Vojtěch;král;0.0851063829787234
Vojtěch;Akademii věd;0.06521739130434782
ŘSD;Ministerstvo dopravy;0.07692307692307693
ŘSD;BESIP;0.05084745762711865
Ministerstvo financí;Česká pošta;0.0625
Ministerstvo financí;České pošty;0.06666666666666667
Ministerstvo financí;Bezpečnostní rada státu;0.08771929824561403
Johnson;Farage;0.05454545454545454
Johnson;Konzervativní strana;0.07692307692307693
Macron;Juncker;0.23376623376623376
Macron;Soros;0.10256410256410256
Macron;Brusel;0.06944444444444445
MPO;ČVUT;0.08064516129032258
Masaryk;Nacher;0.05084745762711865
Ředitelství silnic a dálnic;Ministerstvo dopravy;0.05952380952380952
Ředitelství silnic a dálnic;Dostálová;0.058823529411764705
Ředitelství silnic a dálnic;Bezpečnostní rada státu;0.05454545454545454
Ředitelství silnic a dálnic;Státní fond dopravní infrastruktury;0.057692307692307696
Fiala;Bartoš;0.07246376811594203
Fiala;Stanjura;0.07547169811320754
Fiala;Gazdík;0.058823529411764705
Toman;MZe;0.05172413793103448
Toman;Bezpečnostní rada státu;0.09433962264150944
Hřib;Úřad pro zastupování státu ve věcech majetkových;0.057692307692307696
České televize;NKÚ;0.05813953488372093
Juncker;Soros;0.19696969696969696
Juncker;Svobodní;0.1
Juncker;FPÖ;0.06
Ministerstvo dopravy;Kreml;0.08
Ministerstvo dopravy;Plaga;0.057971014492753624
Ministerstvo dopravy;Ministerstvo životního prostředí;0.06779661016949153
Ministerstvo dopravy;Ministerstvo pro místní rozvoj;0.06666666666666667
Ministerstvo dopravy;Dzurilla;0.05084745762711865
Ministerstvo dopravy;Národní rozvojový fond;0.061224489795918366
Kreml;Dostálová;0.06493506493506493
Kreml;Benešová;0.0945945945945946
Kreml;Ministerstvo pro místní rozvoj;0.07017543859649122
Kreml;Metnar;0.0625
Kreml;Úřad pro zastupování státu ve věcech majetkových;0.06521739130434782
Kreml;Bezpečnostní rada státu;0.06382978723404255
Kreml;Český statistický úřad;0.06521739130434782
Kreml;IKEM;0.06521739130434782
Kreml;CzechInvest;0.06818181818181818
Dostálová;Plaga;0.08823529411764706
Dostálová;Dzurilla;0.06779661016949153
Dostálová;MMR;0.07017543859649122
Dostálová;Česká pošta;0.05263157894736842
Dostálová;Metnar;0.057692307692307696
Dostálová;Bezpečnostní rada státu;0.058823529411764705
Dostálová;ÚZSVM;0.061224489795918366
Benešová;Úřad vlády;0.057971014492753624
Benešová;Ministerstvo životního prostředí;0.06779661016949153
Benešová;Ministerstvo spravedlnosti;0.08333333333333333
NKÚ;Nejvyšší kontrolní úřad;0.22950819672131148
von der Leyen;Ministerstvo životního prostředí;0.05555555555555555
Kubera;Vondráček;0.05263157894736842
Kubera;Senát PČR;0.0625
Plaga;Dzurilla;0.0625
Plaga;Rada pro výzkum vývoj a inovace;0.06976744186046512
Plaga;Úřad pro zastupování státu ve věcech majetkových;0.05128205128205128
Plaga;Airbnb;0.05128205128205128
Plaga;Státní fond dopravní infrastruktury;0.05405405405405406
Plaga;Arajma;0.05263157894736842
Plaga;ÚZSVM;0.05263157894736842
Soros;Svobodní;0.0967741935483871
Soros;Telička;0.0975609756097561
Soros;Szijjártó;0.07692307692307693
ČEZ;České dráhy;0.10869565217391304
ČEZ;ČEZu;0.06818181818181818
ČEZ;Národní rozvojový fond;0.06818181818181818
ČEZ;ČEPS;0.09523809523809523
Ťok;Bárta;0.05128205128205128
David;Svobodní;0.09836065573770492
David;Wilderse;0.10344827586206896
David;Svoboda;0.11320754716981132
David;Hrnčíř;0.14893617021276595
David;Blaško;0.20930232558139536
David;Evropa národů a svobody;0.13333333333333333
David;Armáda ČR;0.1590909090909091
David;Novotný;0.1590909090909091
David;Národní sdružení;0.15
David;PS PČR;0.17073170731707318
David;ID;0.09523809523809523
David;Doležal;0.18421052631578946
David;Horák;0.18421052631578946
David;Lega;0.15789473684210525
David;Identita a demokracie;0.1282051282051282
David;MBA;0.19444444444444445
David;Schubert;0.19444444444444445
David;Úřad práce ČR;0.19444444444444445
David;Pupavová;0.2
David;DICKFELD;0.2
David;Lukeš;0.2
David;Pošarová;0.2
David;Kolaja;0.07692307692307693
David;Dopita;0.20588235294117646
David;Běrsko;0.20588235294117646
David;Hahnová;0.20588235294117646
David;Henner;0.20588235294117646
David;Městská část Praha 11;0.20588235294117646
David;Paul;0.20588235294117646
David;SPD 10 Bc;0.20588235294117646
David;Vašíček;0.20588235294117646
David;Vostenak;0.20588235294117646
David;gšt;0.20588235294117646
David;Mitterwald;0.20588235294117646
David;NOS;0.20588235294117646
David;Schmeidler;0.20588235294117646
Soukup;TV Barrandov;0.0847457627118644
Soukup;Semín;0.05405405405405406
Moravec;Nejvyšší kontrolní úřad;0.06557377049180328
Nejvyšší kontrolní úřad;Úřad vlády;0.06666666666666667
Nejvyšší kontrolní úřad;Pellegrini;0.05454545454545454
Nejvyšší kontrolní úřad;Ministerstvo vnitra;0.057692307692307696
Svobodní;Wilderse;0.08620689655172414
Svobodní;Policie ČR;0.05263157894736842
Svobodní;Svoboda;0.1836734693877551
Svobodní;Hrnčíř;0.1276595744680851
Svobodní;Bruselská elita;0.4444444444444444
Svobodní;ENF;0.3076923076923077
Svobodní;Blaško;0.13333333333333333
Svobodní;Evropa národů a svobody;0.35135135135135137
Svobodní;Armáda ČR;0.13636363636363635
Svobodní;Novotný;0.13636363636363635
Svobodní;Národní sdružení;0.2857142857142857
Svobodní;PS PČR;0.14634146341463414
Svobodní;Wilder;0.07142857142857142
Svobodní;Doležal;0.15789473684210525
Svobodní;Horák;0.15789473684210525
Svobodní;Lega;0.22857142857142856
Svobodní;MBA;0.16666666666666666
Svobodní;Schubert;0.16666666666666666
Svobodní;Úřad práce ČR;0.16666666666666666
Svobodní;FPÖ;0.16666666666666666
Svobodní;Pupavová;0.17142857142857143
Svobodní;DICKFELD;0.17142857142857143
Svobodní;Lukeš;0.17142857142857143
Svobodní;Pošarová;0.17142857142857143
Svobodní;Liga;0.05128205128205128
Svobodní;Dopita;0.17647058823529413
Svobodní;Běrsko;0.17647058823529413
Svobodní;Hahnová;0.17647058823529413
Svobodní;Henner;0.17647058823529413
Svobodní;Městská část Praha 11;0.17647058823529413
Svobodní;Paul;0.17647058823529413
Svobodní;SPD 10 Bc;0.17647058823529413
Svobodní;Vašíček;0.17647058823529413
Svobodní;Vostenak;0.17647058823529413
Svobodní;gšt;0.17647058823529413
Svobodní;Mitterwald;0.17647058823529413
Svobodní;NOS;0.17647058823529413
Svobodní;Schmeidler;0.17647058823529413
Úřad vlády;Ministerstvo zdravotnictví;0.05172413793103448
Úřad vlády;Ministerstvo vnitra;0.06
Úřad vlády;Dzurilla;0.10869565217391304
Úřad vlády;Nacher;0.07317073170731707
Úřad vlády;Svaz průmyslu a dopravy;0.05128205128205128
Úřad vlády;Národní sportovní agentura;0.07692307692307693
Úřad vlády;ČEZu;0.05128205128205128
Úřad vlády;Ministerstvo spravedlnosti;0.05128205128205128
Úřad vlády;Kněžínek;0.07894736842105263
Úřad vlády;Infocz;0.05555555555555555
Úřad vlády;Bartha;0.1875
Staněk;Staňka;0.09803921568627451
Ministerstvo zdravotnictví;Ministerstvo životního prostředí;0.0625
Ministerstvo zdravotnictví;Světová zdravotnická organizace;0.05128205128205128
Ministerstvo zdravotnictví;Svaz průmyslu a dopravy;0.05263157894736842
Ministerstvo zdravotnictví;Úřad pro zastupování státu ve věcech majetkových;0.05263157894736842
Ministerstvo zdravotnictví;Ministerstvo spravedlnosti;0.05263157894736842
Ministerstvo zdravotnictví;Národní rozvojový fond;0.08108108108108109
Ministerstvo zdravotnictví;Mátl;0.05405405405405406
Ministerstvo zdravotnictví;Arajma;0.05405405405405406
Ministerstvo zdravotnictví;Bartha;0.05714285714285714
Ministerstvo zdravotnictví;Ministerstvo školství;0.058823529411764705
Ministerstvo zdravotnictví;Zažímalová;0.058823529411764705
Ministerstvo zdravotnictví;Správa železniční dopravní cesty;0.06060606060606061
Ministerstvo zdravotnictví;Českého zahrádkářského svazu;0.058823529411764705
