Source;Target;Weight
EU;SPD;0.1876205786227572
EU;Evropský parlament;0.1887621954633543
EU;Evropská unie;0.21948686149826332
EU;Evropská komise;0.15013591113907046
EU;NATO;0.11966217270556366
EU;Evropská rada;0.1107448413200492
EU;komise;0.11185691466530971
EU;V 4;0.11185691466530971
EU;Salvini;0.13458796110999308
EU;Unie;0.12825100104468412
EU;Le Pen;0.1187766130912454
EU;Juncker;0.10925237721961155
EU;David;0.11366240895564216
EU;Svobodní;0.1253688133819239
EU;Wilderse;0.10185010546583882
EU;Brusel;0.10698859228084664
EU;Rada EU;0.13511943387532518
EU;Bruselská elita;0.12556924326749683
EU;ENF;0.10864011249689474
EU;Blaško;0.10185010546583882
Babiš;SPD;0.12763918649594194
Babiš;ANO;0.16039530634679733
Babiš;ČSSD;0.1435858983492554
Babiš;Zeman;0.14585857970899507
Babiš;Evropská komise;0.11788715288221219
Babiš;KSČM;0.11005086955973986
SPD;ANO;0.24393035734316285
SPD;ČSSD;0.24037923712594825
SPD;Evropský parlament;0.1815091265272277
SPD;Sněmovna;0.21481313927097617
SPD;Evropská unie;0.19300261249894704
SPD;ODS;0.13735044375563796
SPD;KSČM;0.27996914287939495
SPD;TOP 09;0.13285107736405935
SPD;KDU ČSL;0.1397286658528335
SPD;Okamura;0.15436241610738244
SPD;Hamáček;0.10186040857263191
SPD;Salvini;0.2108988867952955
SPD;STAN;0.11059630927007043
SPD;Le Pen;0.19869292589280085
SPD;Merkelová;0.16134476568728137
SPD;Macron;0.1363284321197649
SPD;Fiala;0.11006404480906355
SPD;Juncker;0.13144698283344508
SPD;Soros;0.16835112262694157
SPD;David;0.1616170777218639
SPD;Nejvyšší kontrolní úřad;0.10537283645444673
SPD;Svobodní;0.17113196688964696
SPD;Islámský stát;0.10861583369315483
SPD;Wilderse;0.15930322274996045
SPD;Brusel;0.10648928396835321
SPD;Hrnčíř;0.15570795240755375
SPD;Bruselská elita;0.15975298841765553
SPD;Volný;0.10620214849997356
SPD;ENF;0.1641305931363228
SPD;Blaško;0.1641305931363228
SPD;Evropa národů a svobody;0.1589543407142408
SPD;Národní sdružení;0.1269148633940705
SPD;Svoboda a přímá demokracie;0.14768913479641196
SPD;ID;0.10642134821409048
SPD;Lega;0.11657874603393897
SPD;Identita a demokracie;0.10362555203016798
SPD;MBA;0.10923092273587208
SPD;Schubert;0.10923092273587208
SPD;Pupavová;0.10137477811361115
SPD;DICKFELD;0.11585688927269845
SPD;Lukeš;0.10137477811361115
SPD;Pošarová;0.11585688927269845
SPD;Čermák;0.10137477811361115
SPD;Liga;0.10137477811361115
ANO;ČSSD;0.3661973980211418
ANO;Sněmovna;0.16045855074091583
ANO;ODS;0.16343143539500968
ANO;Piráti;0.10737771912735905
ANO;KSČM;0.32707456029889836
ANO;TOP 09;0.1252085458860306
ANO;KDU ČSL;0.11902794012872324
ANO;STAN;0.1163105262998089
ANO;Nejvyšší kontrolní úřad;0.11170370790654759
ANO;Charanzová;0.11641162195235817
ANO;Dlabajová;0.10152415064552876
ČSSD;Sněmovna;0.12102447846603767
ČSSD;ODS;0.11898807046880647
ČSSD;KSČM;0.36987362739046353
ČSSD;TOP 09;0.1317721848005833
ČSSD;KDU ČSL;0.1390164623679794
ČSSD;Hamáček;0.2436183055111944
ČSSD;Maláčová;0.11528942152984296
ČSSD;STAN;0.11177914387982939
ČSSD;Petříček;0.10309736778948
ČSSD;Staněk;0.11526636133928723
ČSSD;Šmarda;0.11652282562700973
Evropský parlament;Evropská unie;0.2103014241524731
Evropský parlament;Evropská komise;0.16475089420958292
Evropský parlament;komise;0.11331154474650627
Evropský parlament;Salvini;0.18428129573995267
Evropský parlament;Le Pen;0.2000816826662604
Evropský parlament;Merkelová;0.12765694770084512
Evropský parlament;Orbán;0.10096535805580477
Evropský parlament;Juncker;0.12377054955105517
Evropský parlament;Soros;0.13174732390966187
Evropský parlament;David;0.17049653682426824
Evropský parlament;Svobodní;0.16412198797244368
Evropský parlament;Wilderse;0.16666666666666666
Evropský parlament;Svoboda;0.12943004578588685
Evropský parlament;Charanzová;0.12778302866757751
Evropský parlament;Dlabajová;0.10286889997472794
Evropský parlament;Hrnčíř;0.105409255338946
Evropský parlament;Bruselská elita;0.20548046676563256
Evropský parlament;ENF;0.18888888888888883
Evropský parlament;Blaško;0.15555555555555553
Evropský parlament;Evropa národů a svobody;0.1829318241520094
Evropský parlament;Armáda ČR;0.10289915108550532
Evropský parlament;Národní sdružení;0.1460593486680443
Evropský parlament;ID;0.12247448713915893
Evropský parlament;Lega;0.1341640786499874
Evropský parlament;Identita a demokracie;0.10434983894999018
Evropský parlament;MBA;0.1257078722109418
Evropský parlament;Schubert;0.1257078722109418
Evropský parlament;Úřad práce ČR;0.1257078722109418
Evropský parlament;Pupavová;0.11666666666666665
Evropský parlament;DICKFELD;0.13333333333333333
Evropský parlament;Lukeš;0.11666666666666665
Evropský parlament;Pošarová;0.11666666666666665
Evropský parlament;Čermák;0.11666666666666665
Sněmovna;KSČM;0.11994153388062372
Sněmovna;NKÚ;0.10206207261596574
Evropská unie;Evropská komise;0.15981626961845982
Evropská unie;NATO;0.10025094142341717
Evropská unie;Schillerová;0.10084945982391677
Evropská unie;Havlíček;0.13373752248677556
Evropská unie;Evropská rada;0.11824603317773223
Evropská unie;Salvini;0.17683321604017713
Evropská unie;Le Pen;0.2005940040935264
Evropská unie;Merkelová;0.14191043529673683
Evropská unie;Orbán;0.1389347455605294
Evropská unie;Vojtěch;0.12194026862680356
Evropská unie;Macron;0.16682765063800023
Evropská unie;Juncker;0.1389194758246353
Evropská unie;Dostálová;0.11208395991555513
Evropská unie;Svobodní;0.15706304001306381
Evropská unie;Wilderse;0.19494233137729236
Evropská unie;Svoboda;0.11796496305555025
Evropská unie;Dzurilla;0.1312592935895408
Evropská unie;Bruselská elita;0.20699228968081146
Evropská unie;ENF;0.177220301252084
Evropská unie;Evropa národů a svobody;0.1823581855395696
Evropská unie;Národní sdružení;0.15530809062980389
Evropská unie;Wilder;0.10128983903031573
Evropská unie;Lega;0.1426595906133543
Evropská unie;MBA;0.1002509414234171
Evropská unie;Schubert;0.1002509414234171
Evropská unie;Úřad práce ČR;0.1002509414234171
Evropská unie;Pupavová;0.10633218075125038
Evropská unie;DICKFELD;0.10633218075125038
Evropská unie;Lukeš;0.10633218075125038
Evropská unie;Pošarová;0.10633218075125038
Evropská unie;Čermák;0.10633218075125038
Senát;Kubera;0.17052337204298626
Senát;Senát parlamentu;0.14865882924943327
Senát;Jarolím;0.11149412193707496
ODS;Piráti;0.15604287508525155
ODS;KSČM;0.12126198975329545
ODS;TOP 09;0.2130252057799388
ODS;KDU ČSL;0.1286053303208037
ODS;STAN;0.14902896271545782
ODS;Klaus;0.10453109730372505
ODS;Fiala;0.20323168096364508
ODS;Skopeček;0.15490642551732825
ODS;Občanská demokratická strana;0.160478296176311
ODS;Stanjura;0.12419080226288157
Evropská komise;Havlíček;0.12664951737226068
Evropská komise;Evropská rada;0.15535367517988022
Evropská komise;komise;0.14738035516781114
Evropská komise;V 4;0.11903797917400133
Evropská komise;Le Pen;0.11896650634908039
Evropská komise;Agrofert;0.11320835321293152
Evropská komise;Brabec;0.10122940617842466
Evropská komise;Vojtěch;0.1256071167868347
Evropská komise;Jourová;0.11081832770072808
Evropská komise;Ministerstvo financí;0.1074783991714074
Evropská komise;Juncker;0.1341533468114988
Evropská komise;Kreml;0.1084829563310219
Evropská komise;Dostálová;0.10968169942141637
Evropská komise;von der Leyen;0.20617982795969603
Evropská komise;David;0.10079948648840405
Evropská komise;Svobodní;0.1067338589917677
Evropská komise;Svoboda;0.14429582107316455
Evropská komise;Ministerstvo pro místní rozvoj;0.1176495717636005
Evropská komise;Dzurilla;0.10703837846647932
Evropská komise;Bruselská elita;0.12659743037956947
Evropská komise;ENF;0.14451832825401997
Evropská komise;Blaško;0.14451832825401997
Evropská komise;Evropa národů a svobody;0.13383731964271547
Evropská komise;Armáda ČR;0.10409569305544537
Evropská komise;Rada pro výzkum vývoj a inovace;0.1266495173722607
Evropská komise;Národní sdružení;0.1266495173722607
Evropská komise;Doležal;0.11092107999698034
Evropská komise;Horák;0.11092107999698034
