Source,Target,Weight
Babiš,Zeman,51
Babiš,Zemana,41
Babiš,Okamura,12
Babiš,Hamáček,20
Babiš,Schillerová,13
Babiš,Maláčová,5
Babiš,Salvini,6
Babiš,Salvinim,6
Babiš,Klause,9
Babiš,Juncker,5
Babiš,Kalousek,12
Babiš,Klaus,3
Babiš,Trumpa,7
Babiš,Macron,5
Babiš,Merkelová,4
Babiš,Havlíček,3
Babiš,Fiala,13
Babiš,Zemanovi,10
Babiš,Havel,3
Babiš,Orbán,3
Babiš,Staněk,5
Babiš,Hamáčka,8
Babiš,Schillerovou,5
Babiš,Hřib,3
Babiš,Zemanem,6
Babiš,Dostálová,3
Babiš,Salviniho,4
Babiš,Trump,4
Babiš,Jourová,10
Babiš,Staňka,5
Babiš,Kalouska,11
Babiš,Hitler,3
Babiš,Erdogan,8
Babiš,Ťok,5
Babiš,Petříček,5
Babiš,Kremlík,3
Babiš,Okamury,4
Babiš,Benešová,7
Babiš,Benešové,5
Babiš,Schillerové,4
Babiš,Klaus ml,3
Babiš,Sorose,10
Babiš,Jourové,5
Babiš,Dlabajová,4
Babiš,Brabec,4
Babiš,Charanzová,6
Babiš,Šmarda,5
Babiš,Plaga,5
Babiš,Jourovou,5
Babiš,Johnsona,4
Babiš,Dostálové,3
Babiš,Brabcem,3
Babiš,Skopeček,3
Babiš,Bartoš,3
Babiš,Mynáře,3
Babiš,Fialy,4
Babiš,Kovanda,5
Babiš,Němcová,3
Babiš,Sobotka,5
Babiš,Sobotky,3
Babiš,Novákovou,3
Babiš,Kněžínek,4
Babiš,Telička,5
Babiš,Stanjura,4
Babiš,Šmardy,3
Babiš,š,3
Babiš,Macronem,3
Babiš,Ježek,4
Babiš,Šaroch,3
Babiš,Pikal,4
Zeman,Zemana,30
Zeman,Hamáček,5
Zeman,Havla,3
Zeman,Klause,3
Zeman,Havlíček,3
Zeman,Zemanovi,9
Zeman,Staněk,4
Zeman,Schillerovou,3
Zeman,Zemanem,4
Zeman,Staňka,4
Zeman,Polčák,4
Zeman,Šmarda,3
Zeman,Zaorálka,3
Zeman,Válková,3
Zeman,Šmardy,3
Zeman,Válkovou,3
Zemana,Okamura,5
Zemana,Hamáček,4
Zemana,Schillerová,3
Zemana,Salvini,3
Zemana,Havla,6
Zemana,Klause,7
Zemana,Juncker,4
Zemana,Trumpa,3
Zemana,Masaryka,3
Zemana,Fiala,4
