;EU;ČR;Praha;Česká republika;SPD;Babiš;Česko;Praze;ANO;ČSSD;Evropský parlament;ODS;Brno;Bruselu;Sněmovně;Senátu;Babiše;KSČM;KDU ČSL;Evropské unie;České republice;TOP 09;USA;Zeman;NATO;Evropské komise;Zemana;EP;Německu;Sněmovny;V 4;Okamura;Brusel;ČT;Francie;Německo;Německa;Piráti;Schillerová;Poslanecké sněmovny;STAN;Komise;Ukrajina;Poslanecké sněmovně;Pirátů;EK;Číny;EET;Číně;Hamáček;Senát;Evropská unie;Ostravě;Babišovi;Havlíček;Evropské unii;Ostrava;Francii;Československa;OSN;Sýrie;Unie;nan;Sýrii;ČT 24;Agrofert;Senát Parlamentu ČR;Czech Republic;Piráty;Rusku;Polsko;Rusko;Evropské rady;UK;Havla;Evropskou unii;Turecka;Ruska;HDP;Maláčová;Polska;Čína;Sněmovna;ŘSD;Slovensko;Havlíčkem;Rakousku;Británie;Pražském hradě;Maďarsko;České televize;Evropská komise;Itálie;Turecko;CO 2;Parlamentu;Plzni;Salvini;Trikolóra;Českou republikou;MPO;Le Pen;České;Salvinim;Olomouci;Polsku;PS;Slovensku;Masaryka;NKÚ;Německem;Ústavní soud;New Yorku;Karlovy Vary;Schillerovou;Macron;Čapí hnízdo;Agrofertu;Maďarsku;Juncker;Trumpa;Afghánistánu;republiky;Merkelová;Plzeň;Klause;AB;Fiala;Itálii;MPSV;Klaus;Čínou;ČEZ;Schillerové;Maďarska;Olomouc;FB;Rakousko;TV Barrandov;Brabec;Slovenska;Vojtěch;Evropské radě;Dostálová;Kalousek;Poslanecká sněmovna Parlamentu České republiky;Wildersem;Johnson;Ostravy;Štrasburku;Události komentáře;Zlíně;Trump;Pardubice;BIS;Karlových Varech;Británii;Orbán;Švédsku;Izrael;Turecku;Pražský hrad;Zemanovi;Maláčové;Velké Británie;OECD;Havel;Unii;Huawei;Parlamentu České;Ředitelství silnic a dálnic;Hamáčka;Moravce;Kremlík;Velká Británie;Velké Británii;Prague;Hřib;Gotta;Zlín;Ministerstvo financí;Sněmovnou;Soukupa;David;MF;Hrad;Evropskou komisi;Iráku;Komisi;Putin;Mac;Mae;Staněk;SSSR;Sokolově;Jourová;Kladno;Ústavního soudu;ČNB;Zemanem;KSČ;Palacha;Brabcem;Ruskem;OKD;Evropské komisi;WHO;Staňka;Charanzová;Soros;Benešová;OZE;Salviniho;Toman;Starostové a nezávislí;D 1;Ministerstvo dopravy;SŽDC;Rady;Rakouska;Paříži;Vojtěchem;Šojdrová;Ústí nad Labem;Moskvě;Scheinherr;Československu;ENF;Bruselskou elitou;Pardubicích;Hradci Králové;Úřadu vlády;Association for Accessible Medicines;Dlabajová;Izraeli;von der Leyen;Gott;LIVE;Coelho;USAF;Macrona;Ředitelství silnic a dálnic ŘSD;Varšavské smlouvy;Kladně;Belgie;Islámského státu;Česká televize;Evropa národů a svobody;Svobodnými;Zahradil;Poslanecká sněmovna;Hlaváček;StB;Španělsko;Ministerstva financí;UNESCO;Ministerstvo pro místní rozvoj;Lánech;Olomouce;ČVUT;ČTK;Indie;Rumunska;Vídni;Česká pošta;BBQGuys NewYearsEve;Čaputová;Evropskou radu;Ťok;České televizi;Kyjev;IT;Škoda Auto;Masaryk;Petříček;Událostech komentářích;Hradě;Washingtonu;Nejvyšší kontrolní úřad;Hitler;Radě;Pellegrini;Zdechovský;MMR;Erdogan;Partii;New York;Českých Budějovicích;Pražského hradu;Švýcarsko;Kalouska;Pekingu;Švédsko;Bratislavě;Havlíčka;Maláčovou;Vídeň;Čaputové;Jourovou;Jihlavy;Liberec;Most;Anderson Land Use;Niskanen;MŽP;Tureckem;Benešové;islámu;Berlíně;Bratislava;Český rozhlas;Švédska;Radě EU;Izraele;Kramářova;vila;Kubera;Hamáčkem;Plaga;Československo;Znojmě;Jakla;Senátem;Řecku;Mladé Boleslavi;Parlament;PSP;Jourové;Kladna;AfD;Íránu;Nejvyššího kontrolního úřadu;Okamury;Litoměřicích;Vondráček;Spojené státy;Orbánem;Orbána;Estonska;Michálka;Polčák;Schwarzenberg;Evropská rada;Nováková;PS PČR;Parlamentní listy;EPP;Londýně;Litoměřice;Hnutí ANO;Ministerstvo průmyslu a obchodu;Svoboda;Makedonie;Svoboda a přímá demokracie;Právu;Slovenské republiky;Francií;Primě;Ministerstvo životního prostředí;Singapuru;Plzně;Šumperk;Spojených států;Trumpem;Davosu;Varšava;Dostálovou;Dánsko;SFDI;Michálek;Dánska;Vystrčil;Liberci;Lega;Finsku;HAPPIEST MOMS IN THE;Jihlava;Hřiba;Merkelové;Budapešti;Dzurilla;Srbska;Pirátům;Sorose;Horákové;Kroměříži;Hradu;Novákovou;eurozóny;Tomanem;Evropskou komisí;Lucemburku;Akademie věd;Kremlíka;Rada;Řecko;Japonska;Chebu;Čínu;KDU
EU;0;202;64;144;168;83;92;53;70;71;143;54;27;136;31;17;33;37;36;128;56;32;62;12;57;62;20;33;35;21;47;23;24;12;43;38;35;21;22;7;18;34;14;8;13;28;14;15;13;15;12;51;9;6;26;37;8;19;5;19;26;37;0;29;4;14;7;10;8;14;23;12;28;19;7;37;20;7;24;9;13;10;7;4;10;26;17;28;7;21;11;28;26;18;13;17;5;27;3;26;3;31;1;35;5;7;3;12;2;8;20;4;10;10;13;17;5;5;12;23;11;6;1;20;3;10;1;12;18;2;10;10;9;19;11;0;0;16;3;12;8;15;19;11;2;2;24;8;2;7;0;0;4;0;3;1;14;13;7;7;18;2;1;3;15;7;3;16;4;1;8;7;6;10;16;10;1;2;2;0;10;5;3;17;0;3;11;4;13;3;0;0;2;3;0;6;2;4;5;4;0;1;12;11;8;11;2;4;11;10;7;4;14;6;2;4;5;1;7;7;6;12;7;2;0;1;0;19;21;2;3;11;0;9;5;8;1;0;0;0;9;2;2;0;10;11;2;17;20;3;2;2;2;12;7;3;8;4;3;2;2;1;9;3;5;0;1;7;3;3;0;7;6;3;4;2;0;1;6;2;7;4;3;5;10;1;3;2;4;12;3;3;9;4;8;3;0;1;10;8;9;1;0;0;3;12;8;1;5;3;1;4;16;5;0;0;1;5;2;2;3;0;3;4;2;5;1;3;2;3;6;6;5;3;2;5;4;7;4;1;3;0;9;3;8;4;2;6;1;0;5;5;3;10;0;1;7;1;6;3;2;10;3;3;4;2;8;8;5;1;5;0;0;13;4;0;8;4;7;5;8;7;4;6;0;3;0;1;4;1;9;4;6;7;6;10;4;1;3;0
ČR;202;0;76;125;90;68;64;47;60;53;59;43;38;73;30;26;29;36;23;52;50;18;35;17;39;32;16;18;18;14;28;14;10;8;24;24;25;11;21;10;7;16;18;11;7;13;17;14;20;15;13;19;6;9;22;12;10;9;4;13;13;16;0;12;3;6;62;16;3;6;14;10;14;5;9;17;8;6;11;10;18;17;6;11;11;21;10;6;6;16;8;15;8;6;7;18;7;10;3;14;8;15;5;14;5;8;1;9;4;10;8;6;9;12;9;5;6;6;8;4;5;7;4;3;7;5;4;5;3;3;2;10;11;11;9;1;4;8;2;10;7;15;16;7;3;3;12;3;4;6;0;2;4;5;14;7;1;5;0;7;5;2;1;2;5;7;1;5;7;2;8;7;3;8;9;6;3;5;2;2;7;7;5;5;2;2;7;3;9;2;0;0;3;1;1;5;4;0;5;3;0;1;6;3;4;6;6;2;10;1;6;7;3;8;1;3;4;7;4;6;5;11;3;2;0;5;8;11;13;3;2;7;0;9;8;3;0;0;0;0;4;4;1;0;2;2;0;13;12;2;3;5;2;4;4;3;7;4;3;11;3;3;7;1;3;0;1;5;8;3;0;4;9;3;6;2;2;5;5;1;3;4;0;5;1;2;5;2;6;6;3;3;4;3;10;3;1;0;8;8;8;0;0;0;3;1;5;3;0;1;5;1;2;7;0;0;3;4;3;1;5;0;5;1;1;3;5;3;2;0;2;4;2;3;1;4;2;2;7;1;1;2;7;4;10;1;1;1;0;1;3;2;5;5;0;1;4;1;8;2;1;11;4;2;5;2;6;6;1;1;4;4;1;7;2;0;8;5;1;3;5;5;3;6;1;2;0;3;4;2;6;1;7;6;4;1;3;0;3;1
Praha;64;76;0;74;40;21;52;110;26;24;34;22;54;35;17;14;6;9;19;41;35;24;34;5;22;27;8;2;16;7;23;9;9;3;17;14;18;14;24;8;13;11;7;5;13;0;15;12;18;10;5;14;7;3;32;9;14;9;8;9;10;7;0;10;1;1;3;15;6;5;5;3;11;3;15;14;9;6;18;5;7;9;5;14;8;34;7;4;8;4;5;14;10;5;6;9;3;8;0;14;2;10;1;12;8;3;1;6;4;2;6;4;9;12;14;2;3;0;6;1;6;3;1;5;6;2;0;3;2;1;3;7;8;17;1;0;2;8;3;12;3;17;19;11;0;1;11;3;6;2;1;0;4;4;2;3;3;3;0;4;8;3;1;2;7;4;2;4;2;0;15;2;3;11;6;3;4;20;2;1;9;2;2;2;1;1;3;6;3;0;0;0;2;2;0;3;11;1;3;0;1;2;12;1;8;7;1;3;6;3;7;0;3;6;2;10;9;7;4;3;6;17;3;2;0;11;0;8;11;2;5;13;0;5;3;3;1;0;0;0;3;6;1;2;2;3;1;8;10;1;2;6;2;5;7;6;7;4;4;3;1;5;6;4;4;0;0;3;2;2;0;8;6;4;4;2;0;2;4;1;5;4;0;1;3;2;4;2;6;4;0;0;4;4;10;2;2;0;8;9;9;1;0;0;2;4;4;0;4;4;0;1;2;4;0;0;0;4;5;0;7;0;1;0;0;4;2;2;5;0;2;3;2;4;2;2;3;2;3;3;1;0;6;3;8;0;0;4;2;0;5;2;2;4;1;0;2;1;7;6;3;11;5;2;9;2;6;8;2;3;5;0;0;7;3;0;9;9;1;6;8;6;4;2;1;2;0;3;1;3;7;2;9;8;1;3;6;1;1;0
Česká republika;144;125;74;0;121;60;69;44;58;68;69;50;38;66;45;15;28;30;32;86;55;28;44;27;35;51;24;4;23;26;31;16;14;9;26;19;24;18;24;11;16;16;9;14;12;4;11;16;15;12;10;23;5;7;30;19;11;8;9;15;14;16;0;17;3;14;5;11;7;6;11;12;14;1;11;27;9;3;18;6;14;14;11;8;9;30;13;9;10;12;9;20;12;9;6;19;4;12;3;27;1;26;3;27;5;6;0;7;7;8;11;5;12;13;18;4;7;2;8;5;4;5;3;3;4;5;0;9;4;3;7;8;8;17;7;1;0;7;3;12;5;17;21;12;2;6;21;3;3;3;0;1;5;2;5;4;5;10;1;8;10;5;3;4;12;4;4;7;6;2;9;6;1;11;9;8;0;5;2;0;13;8;4;6;0;0;11;5;5;0;0;0;4;1;2;6;3;2;6;6;1;2;12;2;7;9;2;4;7;3;8;1;5;8;1;6;6;3;6;7;6;17;2;4;2;0;5;18;21;1;2;8;0;7;6;4;4;0;0;0;3;4;2;0;4;7;1;17;20;2;3;4;3;7;7;5;9;4;3;2;1;4;6;2;6;0;0;8;2;4;0;7;9;3;8;1;2;5;8;1;7;3;0;2;5;0;4;3;6;6;3;4;4;4;11;5;0;0;8;8;9;2;0;0;1;6;8;3;3;2;3;1;3;4;0;0;2;7;4;4;4;0;2;0;1;4;3;3;2;2;4;4;2;3;2;5;4;2;4;1;1;1;7;3;8;6;1;4;1;0;2;2;2;10;1;2;5;0;6;5;1;10;5;4;5;2;7;8;0;1;5;0;0;11;3;0;8;4;4;2;6;4;3;4;0;3;0;4;6;6;8;6;6;7;4;4;4;2;5;1
SPD;168;90;40;121;0;81;38;34;132;138;98;66;15;80;81;9;35;105;52;70;47;51;29;14;21;30;29;8;44;41;5;36;14;18;28;35;40;28;5;14;29;11;6;9;22;1;3;5;3;23;6;30;1;5;0;24;0;21;2;8;28;7;0;16;5;3;0;0;12;6;13;5;2;0;4;36;15;2;4;6;13;5;13;0;2;0;7;7;2;19;19;7;21;13;8;10;1;31;2;23;0;32;3;36;0;9;1;0;0;12;10;6;1;8;1;20;1;2;9;21;8;17;2;24;3;9;1;20;12;2;5;2;4;1;11;0;3;6;9;0;1;0;1;1;7;3;25;0;0;2;2;0;1;0;6;0;4;14;3;10;9;0;7;5;4;0;3;0;2;2;0;10;3;0;7;11;0;1;0;0;2;10;1;16;0;3;7;8;3;2;0;0;2;3;10;3;0;2;5;3;0;0;0;5;3;3;1;1;4;15;1;0;17;1;0;0;0;0;1;7;4;0;2;2;1;0;6;20;19;0;2;0;0;4;2;4;0;0;0;0;9;0;3;8;2;11;4;19;19;0;1;0;1;2;0;0;2;0;0;0;3;1;2;0;1;0;0;0;2;2;0;1;2;1;5;0;0;6;7;4;0;0;1;0;8;0;1;0;0;6;8;1;3;1;0;0;0;0;1;8;9;0;0;0;0;5;4;14;4;0;4;10;1;3;0;0;1;2;0;2;4;7;2;2;0;0;0;1;8;6;5;8;6;0;2;8;4;3;0;2;3;2;0;0;8;6;1;0;0;0;0;2;0;15;0;0;7;0;0;0;1;8;1;1;0;0;0;0;0;3;1;1;1;13;1;0;8;2;6;3;0;1;4;12;0;0;1;0;3;0;1;2;1;0;0;6;0;0;0;2
Babiš;83;68;21;60;81;0;33;28;78;72;33;35;9;29;33;5;46;42;17;21;19;15;19;35;12;25;22;9;17;17;8;9;7;9;14;16;18;11;14;5;8;7;8;3;8;8;4;9;5;15;4;9;1;11;10;11;3;8;4;10;10;12;0;12;5;16;0;1;7;6;7;3;4;2;4;7;7;1;5;6;6;2;7;3;1;5;7;0;3;7;10;12;8;6;5;6;1;6;2;4;0;2;0;6;1;7;3;0;2;5;3;0;6;2;4;5;14;7;5;3;6;7;0;2;3;7;3;12;2;0;4;0;3;6;7;0;1;4;2;6;2;5;8;6;11;0;2;2;0;1;1;0;3;0;2;2;2;2;1;2;8;1;8;0;3;0;3;4;2;0;6;9;1;5;4;5;1;4;4;0;4;5;0;1;4;4;4;4;5;1;0;0;4;1;0;7;3;4;1;6;1;1;5;3;1;4;0;3;8;2;6;0;4;1;0;1;1;1;3;2;2;3;1;1;0;1;5;1;2;1;2;3;0;6;2;2;2;0;0;0;2;1;2;0;2;4;2;2;2;1;0;2;4;3;3;1;3;3;1;0;2;1;2;2;2;0;0;4;6;1;0;3;1;1;5;1;3;3;3;1;5;0;1;2;7;2;1;0;1;1;5;0;3;0;3;0;1;0;5;0;0;0;0;0;1;2;3;6;1;0;2;2;1;1;0;0;0;4;5;1;1;0;0;0;0;2;0;1;0;2;1;2;1;1;3;2;2;0;3;2;0;1;2;1;0;3;0;0;0;2;2;0;0;4;0;0;1;1;1;2;1;0;2;2;0;1;3;3;0;2;2;0;0;0;2;0;0;2;2;2;2;1;1;10;0;1;0;3;0;0;4;2;2;1;5;1;0;0;0;1
Česko;92;64;52;69;38;33;0;47;33;31;37;25;24;41;17;6;14;13;10;40;42;7;28;7;23;25;9;1;28;12;27;1;6;4;20;20;19;7;28;7;1;17;9;5;2;0;6;14;9;9;6;15;6;6;31;17;8;8;5;6;9;10;0;8;1;6;1;15;0;7;15;8;11;1;7;8;3;2;18;7;15;10;8;5;9;29;13;6;5;13;5;19;9;3;7;6;5;1;2;4;2;2;0;2;5;9;0;13;4;3;5;5;10;3;14;4;5;0;8;1;5;7;0;4;5;4;2;5;5;3;4;7;12;16;8;1;0;12;0;15;10;17;19;13;1;0;0;3;4;3;1;0;3;3;5;1;3;4;1;2;6;2;1;3;6;7;5;4;5;0;11;6;4;13;7;3;0;2;2;0;10;5;2;0;0;1;4;3;4;0;0;0;2;1;0;5;3;2;8;2;0;1;13;1;4;7;1;4;9;0;7;1;1;5;2;6;3;3;3;4;6;16;4;4;0;0;0;2;1;3;3;9;0;7;7;5;1;0;0;0;5;2;1;0;5;1;2;2;1;1;1;1;2;7;6;3;9;6;4;2;2;6;5;2;6;0;0;5;3;3;0;8;10;3;4;1;0;7;5;0;5;4;0;2;0;2;2;1;4;4;2;0;5;6;11;3;0;0;8;0;0;2;0;0;1;3;6;0;4;2;2;1;2;3;0;0;0;4;4;0;3;0;1;0;4;4;0;3;2;0;3;4;0;3;2;3;3;3;5;1;1;0;6;3;0;2;1;4;1;0;3;3;2;5;1;0;2;1;8;8;1;2;2;3;6;2;8;9;0;1;5;0;0;0;3;0;0;4;0;3;10;5;3;1;0;3;0;2;4;2;4;2;7;8;1;2;6;0;1;0
Praze;53;47;110;44;34;28;47;0;34;25;19;21;27;20;18;13;11;9;17;23;28;18;18;4;14;12;7;1;19;10;17;3;4;6;9;10;15;15;13;4;11;6;4;1;12;0;6;7;8;7;3;6;7;1;24;6;3;5;6;10;7;5;0;10;1;0;0;11;9;5;2;2;6;4;6;3;3;1;10;4;4;4;5;7;1;17;7;3;6;2;9;5;2;0;7;5;4;0;1;3;0;1;1;1;5;4;1;6;7;0;3;2;5;3;9;2;4;0;3;1;5;5;1;1;1;2;0;5;4;0;4;3;5;10;6;0;0;5;2;8;2;10;10;8;0;1;1;2;2;2;1;1;2;2;3;1;2;1;0;3;1;2;3;2;4;2;3;2;2;1;6;6;2;8;1;3;1;8;2;1;6;5;0;0;0;0;6;3;4;1;0;0;0;0;0;0;1;2;2;1;2;2;9;1;4;3;1;2;8;1;7;0;0;5;1;4;2;2;2;1;2;13;3;2;2;4;1;2;1;2;6;10;0;7;3;2;3;0;0;0;2;2;2;0;2;0;1;1;1;1;1;4;3;5;2;2;9;2;2;3;2;1;4;2;4;0;0;2;2;3;0;6;2;2;1;3;0;2;2;1;3;1;0;1;0;2;0;1;2;0;1;1;1;2;6;2;0;0;3;1;1;1;0;0;1;0;4;2;3;1;2;1;0;3;0;0;0;5;4;1;2;1;2;0;0;4;0;0;1;0;2;2;0;1;0;1;2;1;5;4;2;0;5;2;1;1;0;5;1;0;4;2;1;2;1;1;1;2;7;1;2;1;2;1;3;2;6;4;0;5;5;0;0;1;2;0;1;5;0;2;6;2;4;6;0;2;1;2;0;3;4;0;3;6;0;1;3;0;0;1
ANO;70;60;26;58;132;78;33;34;0;179;37;74;12;28;52;16;45;109;41;23;24;42;26;5;11;18;15;11;12;27;10;7;9;9;7;10;14;22;18;6;25;7;2;12;22;3;1;18;1;14;8;13;9;11;13;4;4;9;0;12;9;5;0;14;4;6;0;4;8;2;10;2;5;1;5;4;5;1;12;7;4;4;10;1;3;11;8;2;4;11;8;10;10;5;2;7;1;7;3;3;0;3;0;8;3;10;1;2;1;8;5;6;4;1;7;0;2;0;8;3;5;6;0;2;1;2;2;8;7;4;3;2;3;11;6;0;1;5;2;5;4;6;9;4;6;1;3;0;1;0;2;0;1;0;3;0;1;0;1;1;6;1;2;3;2;1;2;3;1;0;3;7;3;4;4;3;0;3;1;1;2;11;2;5;1;0;7;5;5;1;0;0;1;0;0;5;0;2;1;2;0;0;3;0;4;5;0;1;12;1;8;0;6;3;1;1;2;0;1;2;2;5;3;1;0;0;3;3;3;0;1;8;0;10;2;2;0;0;0;0;1;1;0;0;1;5;2;2;3;1;2;1;3;3;1;1;3;1;2;0;4;1;7;0;1;0;0;3;5;2;0;5;3;1;5;1;2;1;7;0;4;1;0;0;4;4;3;0;3;3;3;0;1;0;5;1;0;0;4;1;1;0;0;0;1;1;6;2;1;0;0;1;2;2;0;0;1;4;2;1;3;2;2;0;1;1;0;3;0;0;1;7;1;2;3;1;1;1;1;0;3;0;3;1;1;1;1;2;0;1;2;1;0;5;1;0;2;1;4;1;2;3;0;1;1;0;0;3;0;3;1;0;0;3;0;0;1;1;2;1;3;3;2;8;2;1;1;2;0;0;2;2;5;2;0;0;1;0;1;2
ČSSD;71;53;24;68;138;72;31;25;179;0;34;57;9;30;45;7;42;126;46;31;28;45;28;17;10;17;24;6;24;24;11;9;8;4;11;18;22;24;12;5;26;4;2;14;18;0;1;13;3;50;8;16;6;5;11;14;5;6;1;7;11;3;0;9;4;2;0;3;9;3;10;3;4;1;4;9;4;2;10;14;3;5;9;0;6;9;9;3;4;9;6;8;11;6;3;5;3;8;2;5;1;5;1;11;2;7;2;3;0;5;6;8;4;1;5;2;0;1;8;4;6;7;1;5;1;3;1;10;7;3;3;3;2;10;3;0;0;4;2;3;4;6;7;1;3;1;4;0;1;1;1;3;1;0;1;0;2;1;1;2;6;1;6;10;4;1;3;3;0;1;2;19;2;3;5;3;0;0;0;0;4;7;3;4;1;3;6;5;3;1;0;0;10;1;0;5;0;1;0;2;0;0;2;0;7;4;0;8;4;1;4;0;7;3;0;1;0;0;2;2;4;5;3;2;0;0;6;2;4;1;0;6;0;4;2;1;0;0;0;0;1;2;2;0;2;4;1;2;4;1;3;2;1;2;2;1;3;3;1;0;3;0;7;0;2;0;0;4;1;3;0;4;3;1;10;4;1;1;8;0;3;2;0;0;4;0;3;0;3;4;3;0;1;1;4;5;0;1;3;1;2;1;0;0;0;1;6;2;1;0;1;2;2;3;0;0;1;6;0;1;5;2;3;0;1;0;0;2;0;1;1;4;2;2;2;1;1;1;0;0;2;1;3;1;1;3;0;1;1;3;2;3;0;6;0;0;2;0;2;1;0;3;0;1;0;0;1;2;0;0;1;1;0;3;0;0;1;0;3;0;1;3;3;5;0;2;0;1;0;1;2;2;2;1;0;1;1;0;1;1
