;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Hřib;Toman;Juncker;Kreml;Benešová;Dostálová;Petříček;Palach;von der Leyen;Plaga;Kubera;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Nováková;Wilderse;Sobotka;Zahradil;Michálek;Šmarda;Koněv;Bartoš;Pellegrini;Erdogan;Hitler;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Čunek;Blaško;Mynář;Kramář;Zaorálek;Jaklo;Mayová;Novotný;Skopeček;Komenský;Duka;Polčák;Svoboda;Ondráček;Válková;Pospíšil;Smoljak;Metnar;Klaus ml;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Jágr;Foldyna;Opat;Bakala;Doležal;Horák;Němec;Stalin;Veselý;Juříček;Jerman;Peksa;Cook;Lasvignes;Hlubuček;Kobza;Kovanda;M;Heydrich;Koudelka;Středula;Morawieckiego;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;Výborný;Mátl;Bárta;B;Bettel;Rozner;Farage;Baxa;Gottem;Benda;Pavel;P;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Trestík;Adamowicz;Bělobrádek;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Jakl;Nečas;Poche;Ovčáček;Gregorová;Bartha;Szijjártó;Opletal;Sáblíková;Hilšer;Jelínek;Zažímalová;Arajma;May;Janda;Rath;Zelenský;Konečná;Špidlík;Vondra;Plenković;Špidla;Kuciak;Albright;Schäuble;Navrátil;Brežněv;Balda;Šarocha;Gazdík;Zikmund;Farský;Lukl;Kovář;Stehlík;Šaroch;Brada;Paroubek;Jakeš;Závodský;Giuliani;Jílková;Vorlíček;Vestager;Guaidó;Winton;Michel;Adamová;Pekarová;Vildumetzová;Štětina;Kraus;Kundera;Čunka;Poc;Kroupa;Burešová;Topolánek;Kretschmer;Hus;Šefčovič;Majerová;Suchý;H;Palacký;Bartošek;Farewell;kurz;Juchelka;Tesař;Václavec;Lhoťan;Luzar;Reagan;Dlouhý;Macháčkem;Fico;Lux;Pithart;Charanzov;Erdoğan;Zaeva;Pokorný;Horská;Pík;Seluckou;Verhofstadt;Hanuš;Ćwioro;Dobšík;Gross;Krutílek;Míle;Fajt;Onderka;Diallo;Cimrman;Grospič;Charvát;Mrázek;Chauhan;Mitrofanova;Strache;Bradáčová;Benešův;Fridrich;Stránský;Švejk;Vrecion;Čapka;Koněvovi;Polák;Dancilaovou;Dienstbier;Růžička;Burlac;Zelenskym;Bezděk;Fraňkovou;Gerlocha
Babiš;0;88;26;20;30;14;10;8;8;13;12;5;7;6;19;10;8;19;4;3;2;5;9;16;6;2;6;9;12;9;5;1;4;7;0;0;11;2;7;0;3;6;4;2;10;2;3;6;1;7;2;7;3;1;3;2;5;5;2;2;0;8;2;0;1;3;4;6;1;1;2;2;0;1;2;1;0;1;1;0;4;0;0;0;3;1;2;0;0;1;2;1;0;3;3;0;0;1;1;5;3;0;1;0;0;0;1;0;0;3;0;0;0;0;1;2;0;0;0;1;2;0;1;0;1;1;0;0;5;1;0;1;0;0;3;5;4;0;0;0;0;2;2;1;1;0;1;0;0;1;0;0;3;0;0;0;0;0;0;1;0;0;0;2;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;1;4;0;2;0;0;1;2;0;0;1;1;0;0;0;1;1;0;0;0;0;2;0;2;2;0;0;2;1;0;3;0;1;1;2;0;1;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;2;0;0;3;2;0;1;0;1;2;0;1;0;0;1;0;1;2;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0
Zeman;88;0;7;10;11;7;5;3;8;5;12;2;8;4;0;3;1;4;0;2;2;2;3;4;2;3;4;4;10;3;1;2;1;3;6;1;1;2;1;1;3;6;1;0;7;1;0;6;1;0;1;2;0;2;5;0;7;0;1;1;0;1;1;2;1;3;2;1;0;1;1;0;0;1;0;1;0;1;3;0;4;0;0;0;0;0;0;4;0;0;3;1;0;1;0;0;0;1;0;3;3;0;0;0;0;1;0;0;0;1;0;0;5;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Schillerová;26;7;0;0;12;34;0;16;8;3;4;0;2;5;3;17;20;7;2;0;5;3;5;4;6;6;1;16;9;15;2;1;5;8;0;0;0;1;2;0;0;4;4;0;4;0;1;1;0;1;7;0;0;1;2;3;4;4;4;0;0;2;2;0;0;1;8;2;0;0;0;2;0;0;1;0;1;0;0;0;3;0;0;0;0;1;1;0;1;0;2;1;0;6;0;0;0;0;3;1;5;0;2;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;1;2;0;3;0;1;0;0;1;0;0;2;0;4;0;1;0;0;0;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;3;3;0;0;1;2;0;0;0;1;1;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;3;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0
Okamura;20;10;0;0;2;0;13;2;0;4;4;15;4;3;2;0;0;0;0;2;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;2;8;0;6;1;1;0;8;1;1;0;0;0;0;0;1;0;4;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;5;0;0;0;0;0;2;0;6;2;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;5;5;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Hamáček;30;11;12;2;0;11;1;11;5;1;3;1;2;2;4;5;6;4;3;0;2;3;1;5;3;3;0;7;6;5;4;0;1;3;0;0;3;1;2;0;0;6;1;1;5;0;1;4;0;2;3;0;0;0;0;2;6;2;2;0;0;3;0;0;2;1;2;3;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;2;0;1;0;0;0;0;3;1;0;0;2;2;0;3;0;1;0;0;0;1;0;0;1;0;0;0;1;0;4;0;0;0;0;2;0;1;0;0;0;0;0;1;1;0;1;1;0;1;2;0;1;0;0;0;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Havlíček;14;7;34;0;11;0;0;10;9;5;4;0;3;6;1;23;24;7;2;1;6;3;6;4;7;9;1;20;13;18;5;1;6;10;0;0;0;1;4;0;2;4;9;0;6;1;1;1;0;0;8;0;0;2;2;4;4;4;4;0;0;6;1;0;2;1;15;5;0;0;1;2;0;0;0;0;2;0;0;0;1;0;1;0;0;1;1;1;2;0;2;2;0;6;0;0;0;0;5;1;9;0;1;1;0;0;0;2;0;1;0;0;1;0;1;2;0;0;2;0;1;0;3;0;6;1;1;0;0;1;0;0;1;0;4;1;1;1;0;0;0;2;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;2;0;0;3;3;0;0;1;2;1;0;0;1;1;0;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;2;0;0;3;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;1;0;4;0;0;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
Salvini;10;5;0;13;1;0;0;0;0;3;0;45;17;16;0;0;0;2;0;3;0;1;9;0;0;0;12;0;0;0;0;0;2;0;0;0;11;10;0;0;1;1;0;24;0;1;0;0;1;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;3;0;0;0;1;0;9;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;6;6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maláčová;8;3;16;2;11;10;0;0;4;2;3;0;0;2;1;4;4;3;2;0;3;1;2;1;0;2;0;6;2;7;5;0;1;3;0;0;0;0;1;0;2;3;0;0;7;0;0;1;0;0;2;0;0;0;0;2;3;1;1;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;1;0;2;0;1;0;1;0;1;0;2;1;0;0;0;0;1;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Havel;8;8;8;0;5;9;0;4;0;2;8;0;2;3;0;2;6;0;2;0;3;0;4;1;2;0;0;3;3;3;3;3;1;4;1;1;0;0;0;0;1;1;0;0;2;1;0;0;0;0;2;0;0;0;1;3;1;1;2;0;0;1;1;0;1;3;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;1;1;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
Trump;13;5;3;4;1;5;3;2;2;0;0;1;2;3;1;3;4;0;0;4;3;2;5;0;0;2;2;2;1;1;0;0;1;1;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;1;6;0;1;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
