;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Toman;Hřib;Juncker;Kreml;Dostálová;Benešová;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Wilderse;Nováková;Sobotka;Zahradil;Michálek;Šmarda;Koněv;Bartoš;Erdogan;Hitler;Pellegrini;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Klaus ml;Čunek;Blaško;Mynář;Kramář;Zaorálek;Jaklo;Novotný;Mayová;Skopeček;Duka;Komenský;Polčák;Svoboda;Ondráček;Válková;Pospíšil;Smoljak;Metnar;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Bakala;Foldyna;Opat;Doležal;Horák;Němec;Jágr;Stalin;Veselý;Juříček;Jerman;Peksa;Lasvignes;Hlubuček;Cook;Kovanda;Kobza;M;Koudelka;Heydrich;Morawieckiego;Středula;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;B;Bárta;Výborný;Mátl;Bettel;Rozner;Farage;Baxa;Gottem;Benda;Pavel;P;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Adamowicz;Trestík;Jakl;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Bělobrádek;Poche;Ovčáček;Nečas;Gregorová;Szijjártó;Opletal;Bartha;Hilšer;Sáblíková;Jelínek;Zažímalová;Arajma;Janda;Rath;May;Zelenský;Konečná;Špidlík;Vondra;Špidla;Kuciak;Plenković;Albright;Navrátil;Schäuble;Balda;Šarocha;Brežněv;Gazdík;Farský;Zikmund;Lukl;Kovář;Brada;Paroubek;Šaroch;Stehlík;Giuliani;Jakeš;Jílková;Vestager;Závodský;Winton;Guaidó;Vorlíček;Adamová;Pekarová;Vildumetzová;Michel;Štětina;Kraus;Kundera;Poc;Čunka;Kroupa;Burešová;Suchý;Šefčovič;Majerová;Kretschmer;Hus;Topolánek;H;Palacký;Bartošek;Farewell;Lhoťan;kurz;Juchelka;Luzar;Václavec;Tesař;Erdoğan;Charanzov;Macháčkem;Reagan;Dlouhý;Pokorný;Pithart;Zaeva;Seluckou;Gross;Verhofstadt;Hanuš;Fico;Ćwioro;Míle;Dobšík;Lux;Fajt;Onderka;Krutílek;Chauhan;Mitrofanova;Horská;Grospič;Cimrman;Diallo;Mrázek;Strache;Pík;Charvát;Bradáčová;Benešův;Fridrich;Stránský;Švejk;Vrecion;Čapka;Polák;Semína;Robinson;Zelenskym;Koněvovi;Dancilaovou;Gerlocha;Dienstbier;Růžička;Burlac
Babiš;0;0,14586;0,0667;0,05431;0,08528;0,03994;0,03161;0,02626;0,02721;0,0462;0,0434;0,02025;0,02856;0,02506;0,07999;0,0421;0,03396;0,08131;0,01741;0,01353;0,00919;0,02299;0,04178;0,07501;0,00947;0,02841;0,02901;0,04399;0,04447;0,0593;0,02621;0,00524;0,02123;0;0,03764;0;0,05995;0,0109;0,03815;0;0,01681;0,03516;0,01172;0,02344;0,05954;0,01253;0,01914;0,03828;0,0065;0,04551;0,04641;0,01989;0,01326;0,00677;0,0203;0,01353;0,03383;0,03383;0,01382;0,01382;0;0,0553;0,01414;0;0,00723;0,0217;0,02894;0,0434;0,00741;0,00741;0,01482;0,01521;0;0,00761;0,01521;0,00781;0,03125;0;0,00781;0,00781;0;0,03216;0;0;0;0,02412;0,01657;0,00829;0;0;0,00856;0,01712;0,00856;0;0,02658;0;0;0,00886;0,00886;0,0443;0,02658;0;0,00886;0;0;0;0,00919;0;0;0,02871;0;0;0,01999;0;0,01;0;0;0;0;0,01;0,01999;0;0,01;0;0,01048;0;0,01048;0,05241;0;0,01048;0,01048;0;0;0;0,03145;0,05241;0,0442;0;0;0;0,01105;0,0221;0;0,0221;0,01105;0;0,01105;0;0;0,01105;0;0;0,03516;0;0;0;0;0;0;0,01172;0;0;0;0,02344;0,04688;0,02344;0;0;0;0,02506;0;0;0;0;0;0;0;0;0;0;0,01253;0;0;0,02506;0,01253;0,05012;0;0,01253;0;0,02506;0;0,01253;0,02506;0;0,01253;0;0,01253;0;0;0;0,01353;0;0,01353;0;0;0;0;0,02707;0,02707;0,02707;0;0;0,02707;0,01353;0;0,01353;0,0406;0;0;0,01353;0,01353;0,01353;0,02707;0;0;0;0;0;0,02707;0,02707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01482;0;0;0;0;0;0,04447;0;0;0;0;0,02965;0;0;0,02965;0,02965;0;0;0;0,01482;0,04447;0;0;0,01482;0;0,01482;0;0;0,01482;0;0,02965;0;0,01482;0;0;0,02965;0,01482;0,01482;0;0,01482;0,01482;0;0;0;0;0;0;0;0;0;0;0
Zeman;0,14586;0;0,02708;0,04096;0,04716;0,03012;0,02384;0,01485;0,04104;0,0268;0,06547;0,01222;0,04924;0,0252;0;0,01905;0,0064;0,02582;0;0,01361;0,01387;0,01387;0,021;0,02828;0,02143;0,01429;0,02917;0,02949;0,02236;0,07454;0,00791;0,01581;0,00801;0,04867;0,02433;0,00811;0,00822;0,01644;0,00822;0,00845;0,02535;0,05303;0;0,00884;0,06286;0,00945;0;0,05774;0,00981;0;0,02;0;0,01;0,02041;0,05103;0;0,07144;0;0,01043;0,01043;0;0,01043;0,01066;0,02132;0,01091;0,03273;0,02182;0,01091;0;0,01118;0,01118;0;0;0,01147;0;0,01179;0,01179;0;0,01179;0,03536;0;0,04851;0;0;0;0;0;0;0,05;0;0;0,03873;0,01291;0;0,01336;0;0;0,01336;0;0,04009;0,04009;0;0;0;0;0,01387;0;0;0;0,01443;0;0;0,03015;0;0;0;0;0;0,07538;0,01508;0,01508;0;0,01508;0;0;0;0;0,01581;0;0;0;0;0;0;0,03162;0;0;0;0;0;0;0;0;0;0,01667;0;0,01667;0,03333;0;0,01667;0,01667;0;0;0;0;0;0;0;0;0;0,01768;0;0;0;0;0,01768;0;0;0;0,0189;0;0;0;0;0;0;0;0;0;0;0,0189;0,0189;0,0378;0,0189;0;0;0;0,0189;0,0189;0;0;0;0;0;0,0189;0;0;0;0;0;0,02041;0;0,02041;0,02041;0;0;0;0,02041;0,02041;0;0;0;0;0;0,02041;0,02041;0,04082;0;0;0;0,02041;0;0;0;0;0;0;0;0;0,02041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02236;0;0,02236;0,02236;0;0;0,02236;0;0;0;0;0,02236;0;0;0;0;0;0;0;0;0,02236;0;0;0;0;0;0;0;0;0,04472;0;0;0;0;0;0,04472;0,02236;0,06708;0;0,02236;0;0,025;0;0;0;0;0;0;0;0;0;0
Schillerová;0,0667;0,02708;0;0;0,07963;0,22644;0;0,12259;0,06351;0,02489;0,03377;0;0,01905;0,04875;0,02948;0,16707;0,19816;0,06993;0,02032;0;0,05365;0,03219;0,05418;0,04377;0,06633;0,06633;0,01129;0,18255;0,17303;0,10382;0,02447;0,01224;0,06196;0;0,10042;0;0;0,01272;0,02544;0;0;0,05472;0;0,05472;0,05559;0;0,01489;0,01489;0;0,01518;0;0;0,10834;0,0158;0,03159;0,04739;0,06318;0,06318;0,06454;0;0;0,03227;0,033;0;0;0,01689;0,13509;0,03377;0;0;0;0,03551;0;0;0,01775;0;0;0,01824;0;0;0;0,0563;0;0;0;0;0,01935;0,01935;0;0,01935;0;0,03996;0,01998;0;0,12409;0;0;0;0,06204;0,02068;0,10341;0;0,04136;0;0;0;0;0;0;0,02234;0;0,02234;0,02333;0;0,02333;0;0;0;0;0;0,02333;0,02333;0,04666;0;0;0,02447;0,07341;0;0;0,02447;0;0;0;0,04894;0,09788;0;0,02579;0;0;0;0,02579;0,07738;0;0,05159;0,02579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05472;0;0;0;0,10944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02925;0;0;0;0;0;0;0,08774;0;0,0585;0;0,08774;0,08774;0;0,02925;0;0,0585;0;0;0;0,03159;0;0,03159;0;0;0,06318;0;0;0;0;0;0,03159;0,03159;0;0;0;0;0;0;0;0,06318;0,03159;0;0;0;0;0;0;0,09477;0,06318;0;0;0;0;0;0;0;0;0;0;0,03461;0;0;0;0;0;0;0;0,03461;0,03461;0;0;0;0,03461;0;0;0;0,03461;0;0;0;0;0;0;0;0;0;0,10382;0,13843;0;0,06921;0;0;0,03461;0;0;0;0;0;0;0;0;0;0,03461;0;0;0;0,03461;0;0;0;0;0;0;0;0;0;0;0,03869;0
Okamura;0,05431;0,04096;0;0;0,01405;0;0,10154;0,01622;0;0,03513;0,03575;0,15013;0,04034;0,03096;0,02081;0;0;0;0;0,0223;0;0;0,01147;0,01159;0;0;0,03585;0;0;0;0;0;0;0;0;0;0,02694;0,10774;0;0,08309;0,01385;0,01448;0,11586;0;0,01471;0,01548;0;0;0;0;0,01638;0;0;0,06689;0;0;0;0,01672;0;0;0;0;0,0524;0;0;0,01788;0;0;0;0,09159;0;0;0;0;0;0,03862;0,03862;0;0,11586;0,03862;0;0;0;0,09935;0;0;0,02048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02365;0,16554;0;0;0;0;0,1235;0,1235;0;0;0,0247;0,0247;0;0;0;0;0;0;0;0;0;0,02591;0;0;0;0,02591;0;0;0;0,13654;0;0,02731;0;0;0;0;0;0,02731;0;0;0;0;0;0;0;0,14482;0,14482;0,14482;0,14482;0,14482;0;0;0;0;0;0;0;0;0;0;0,06193;0,15482;0,15482;0,15482;0,15482;0,15482;0,15482;0,15482;0,15482;0,15482;0,15482;0;0;0;0,03096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03664;0;0;0;0,03664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03664;0;0;0;0,03664;0,07327;0;0,03664;0;0;0,04096;0;0;0;0;0;0;0;0;0
Hamáček;0,08528;0,04716;0,07963;0,01405;0;0,08118;0,00818;0,09339;0,04399;0,00919;0,02807;0,01048;0,02111;0,02161;0,04356;0,05445;0,06587;0,04428;0,03378;0;0,02378;0,03567;0,01201;0,06063;0,03675;0,03675;0;0,0885;0,06391;0,0767;0,05423;0;0,01373;0;0,04173;0;0,04229;0,0141;0,02819;0;0;0,09095;0,01516;0,01516;0,07701;0;0,0165;0,06601;0;0,03363;0;0;0,05145;0;0;0,03501;0,10502;0,03501;0,03576;0;0;0,05364;0;0;0,03742;0,01871;0,03742;0,05614;0;0;0,03835;0;0;0;0;0;0,02021;0;0;0;0;0,04159;0,0208;0;0;0;0,04287;0,02144;0;0,02144;0;0;0;0;0,06875;0;0;0,04583;0,04583;0;0,06875;0;0,02292;0;0;0;0,02378;0;0;0,02475;0;0;0,10342;0,02585;0;0;0;0;0;0;0,05171;0;0,02585;0;0;0;0;0,02712;0;0,02712;0,02712;0;0;0,02712;0,02712;0,05423;0;0,02858;0;0;0,02858;0,05717;0;0,05717;0;0;0;0;0,02858;0;0;0;0;0;0;0;0;0;0;0,06063;0;0;0;0;0,06063;0,03032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03241;0,03241;0;0,03241;0;0,03241;0;0,06482;0;0,03241;0;0,06482;0,03241;0;0;0;0;0;0;0;0;0;0;0,03501;0;0,03501;0;0;0;0,07001;0,03501;0,03501;0,03501;0;0;0;0;0;0;0;0,03501;0;0;0;0;0;0,03501;0,03501;0,03501;0;0;0;0;0,03835;0;0;0;0;0;0;0;0;0,03835;0,03835;0;0;0;0;0,03835;0;0;0;0;0;0,03835;0;0;0;0;0;0;0;0,03835;0,03835;0;0,03835;0;0;0;0;0,03835;0,03835;0;0,03835;0;0;0;0;0,0767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Havlíček;0,03994;0,03012;0,22644;0;0,08118;0;0;0,08522;0,07947;0,04614;0,03756;0;0,03178;0,06506;0,01093;0,2514;0,26447;0,07778;0,0226;0,01171;0,07161;0,03581;0,07231;0,04869;0,11066;0,08607;0,01255;0,2538;0,23094;0,16679;0,06804;0,01361;0,08269;0;0,13962;0;0;0,01415;0,0566;0;0,0291;0,06086;0;0,13693;0,09275;0,01627;0,01656;0,01656;0;0;0;0;0,13771;0,03514;0,03514;0,07027;0,07027;0,07027;0,07178;0;0;0,10768;0,01835;0;0,03756;0,01878;0,28172;0,09391;0;0;0,01925;0,03949;0;0;0;0;0;0,04057;0;0;0;0,02087;0;0;0,02087;0;0,02152;0,02152;0,02152;0,04303;0;0,04444;0,04444;0;0,13801;0;0;0;0,11501;0,023;0,20702;0;0,023;0,02387;0;0;0;0,04774;0;0,02485;0;0;0,0519;0;0,02595;0;0;0,0519;0,02595;0;0,02595;0;0,07785;0;0,02722;0,02722;0,1633;0;0;0,02722;0;0;0;0,02722;0,10887;0,02722;0,02869;0,02869;0;0;0,02869;0,08607;0;0,05738;0,02869;0;0;0;0;0;0;0;0;0,03043;0;0;0;0;0;0,06086;0;0;0;0,12172;0,03043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03253;0,03253;0;0;0;0;0;0,16265;0;0,06506;0;0,09759;0,09759;0;0,03253;0;0,06506;0,03253;0;0;0,03514;0;0,03514;0;0;0,07027;0;0;0;0;0;0,03514;0,03514;0,03514;0;0;0;0;0;0;0,07027;0,03514;0;0;0;0;0;0;0,10541;0,07027;0,03514;0;0,03514;0,03849;0;0;0;0;0;0;0,03849;0;0,03849;0;0;0;0;0;0,07698;0,03849;0;0;0;0,03849;0,07698;0;0;0,03849;0,03849;0;0;0;0;0;0,03849;0;0;0,15396;0,15396;0;0,11547;0;0;0,03849;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03849;0;0;0;0;0;0;0;0;0;0;0;0
Salvini;0,03161;0,02384;0;0,10154;0,00818;0;0;0;0;0,03067;0;0,52418;0,19952;0,1922;0;0;0;0,02462;0;0,03892;0;0,01322;0,12016;0;0;0;0,16689;0;0;0;0;0;0,03054;0;0;0;0,17242;0,15675;0;0;0,01612;0,01685;0,40452;0;0;0,01802;0;0;0,0187;0;0,05721;0;0;0,01946;0;0;0;0,01946;0;0;0;0;0;0;0;0;0;0;0;0,12792;0;0,06562;0;0;0;0,02247;0;0;0,20226;0;0;0;0;0,13875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24772;0;0,02875;0;0;0,17249;0,17249;0;0;0,02875;0;0;0;0;0;0;0;0;0,03015;0;0;0;0;0;0;0;0;0;0,19069;0;0;0;0;0;0;0;0,06356;0;0;0;0;0;0;0;0,20226;0,20226;0,20226;0,20226;0,20226;0;0;0;0;0;0;0;0;0;0;0,03604;0,21622;0,21622;0,21622;0,21622;0,21622;0,21622;0,21622;0,21622;0,21622;0,21622;0;0;0;0;0;0,03604;0;0;0;0;0;0;0;0;0;0;0;0,03604;0;0;0;0;0;0;0;0;0;0;0,03892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03892;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08528;0;0;0;0,04264;0,04264;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maláčová;0,02626;0,01485;0,12259;0,01622;0,09339;0,08522;0;0;0,04063;0,02123;0,03241;0;0;0,02495;0,01257;0,0503;0,05071;0,03835;0,026;0;0,04119;0,01373;0,02773;0,014;0,02829;0;0;0,08759;0,10332;0,02952;0,07828;0;0,01586;0;0,04819;0;0;0;0,01628;0;0,03347;0,05251;0;0;0,12449;0;0;0,01906;0;0;0;0;0,03961;0;0;0,04042;0,06063;0,02021;0,02065;0;0;0;0;0;0;0;0,06482;0;0;0;0,02214;0,02272;0;0;0;0;0;0;0;0;0;0,02401;0;0;0;0;0,02475;0;0;0,02475;0;0;0;0;0,05293;0;0;0,02646;0,02646;0;0,05293;0;0,02646;0;0,02746;0;0,02746;0;0,05492;0,02858;0;0;0;0;0,02985;0;0;0;0;0;0,05971;0;0,02985;0;0,03131;0;0,03131;0;0;0;0;0;0;0,03131;0;0;0;0,033;0;0;0;0,06601;0;0;0;0;0;0;0,033;0;0;0;0,03501;0;0;0;0;0;0;0,03501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03742;0,03742;0;0,03742;0;0;0;0,07485;0;0,03742;0;0,03742;0;0;0,03742;0;0,03742;0;0;0;0,04042;0;0;0;0;0,08085;0;0;0;0;0;0,04042;0;0;0;0,04042;0;0;0;0;0;0;0;0;0;0;0;0;0,04042;0;0;0,04042;0;0,04428;0;0;0;0;0;0;0,04428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04428;0,04428;0;0;0,04428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Havel;0,02721;0,04104;0,06351;0;0,04399;0,07947;0;0,04063;0;0,022;0,08955;0;0,02526;0,03878;0;0,02606;0,07882;0;0,02694;0;0,04268;0;0,05747;0,01451;0;0,02931;0;0,04538;0,04588;0,04588;0,04867;0,04867;0,01643;0,01664;0,06657;0,01664;0;0;0;0;0,01734;0,01814;0;0;0,03685;0,01939;0;0;0;0;0;0;0,04104;0;0,02094;0,06283;0,02094;0,02094;0,04279;0;0;0,02139;0,02187;0;0,02239;0,06717;0,06717;0,02239;0;0;0;0,04708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02565;0,07695;0,02565;0;0,02649;0,02649;0;0;0;0;0;0,02742;0,02742;0,05484;0;0,02742;0;0;0;0;0,02846;0;0;0;0;0,03093;0,03093;0;0;0;0;0;0;0,03093;0;0;0;0,03244;0;0;0;0;0,03244;0;0;0;0;0,03244;0,03244;0;0,0342;0;0;0,0342;0;0;0,0342;0,0342;0;0;0;0;0;0;0;0;0,03627;0;0;0;0;0;0,07255;0;0;0;0,03627;0,03627;0;0;0,03878;0;0;0;0;0;0;0;0;0;0;0;0;0,03878;0,03878;0;0;0;0;0;0,11634;0;0,03878;0;0,03878;0,03878;0;0;0;0;0,03878;0,03878;0;0;0;0,04189;0,04189;0;0,08377;0;0;0;0;0;0,04189;0,04189;0;0;0;0;0;0;0;0,04189;0;0;0;0;0;0;0;0;0,04189;0,04189;0;0,04189;0,04588;0;0;0;0;0;0;0,04588;0;0;0,04588;0;0;0;0;0;0;0;0;0;0;0,04588;0;0;0;0;0,04588;0;0;0;0;0;0;0;0;0,04588;0;0,04588;0;0;0,04588;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04588;0;0;0;0;0;0;0;0;0;0;0;0
Trump;0,0462;0,0268;0,02489;0,03513;0,00919;0,04614;0,03067;0,02123;0,022;0;0;0,0131;0,02639;0,04052;0,01362;0,04085;0,05491;0;0;0,05836;0,0446;0,02974;0,07506;0;0,03063;0;0,03128;0,03161;0,01598;0,01598;0;0;0,01717;0;0,01739;0;0,01763;0;0;0;0,03624;0,01895;0;0,01895;0;0;0;0;0;0;0,12865;0;0,02144;0,02188;0;0,02188;0;0;0,02236;0;0;0;0;0;0;0;0,07019;0;0;0;0;0,09838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05731;0;0,05731;0;0,02865;0;0;0;0;0,02974;0;0;0;0;0,03233;0;0;0;0;0;0,03233;0,03233;0,03233;0;0;0;0,0339;0;0,06781;0;0;0;0;0;0;0;0,0339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0379;0;0;0,0379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04052;0;0;0;0;0,04052;0;0,04052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04377;0;0;0;0;0;0;0;0;0;0;0;0;0,04377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04795;0;0;0,04795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04795;0;0;0;0;0,05361;0;0;0;0;0;0;0;0;0
