;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Hřib;Toman;Juncker;Kreml;Dostálová;Benešová;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Nováková;Wilderse;Sobotka;Zahradil;Michálek;Šmarda;Koněv;Bartoš;Erdogan;Pellegrini;Hitler;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Blaško;Čunek;Mynář;Kramář;Zaorálek;Jaklo;Mayová;Novotný;Skopeček;Duka;Komenský;Polčák;Svoboda;Ondráček;Válková;Smoljak;Pospíšil;Metnar;Klaus ml;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Bakala;Foldyna;Opat;Jágr;Doležal;Horák;Němec;Stalin;Veselý;Juříček;Jerman;Peksa;Lasvignes;Cook;Hlubuček;Kovanda;Kobza;M;Heydrich;Koudelka;Středula;Morawieckiego;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;Bettel;Bárta;B;Výborný;Mátl;Rozner;Farage;Baxa;Gottem;Benda;Pavel;P;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Trestík;Adamowicz;Bělobrádek;Jakl;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Poche;Ovčáček;Nečas;Bartha;Szijjártó;Gregorová;Opletal;Hilšer;Sáblíková;Jelínek;Zažímalová;Arajma;May;Janda;Rath;Zelenský;Konečná;Špidlík;Vondra;Špidla;Plenković;Kuciak;Albright;Schäuble;Navrátil;Brežněv;Balda;Šarocha;Gazdík;Farský;Zikmund;Lukl;Brada;Paroubek;Kovář;Šaroch;Stehlík;Jakeš;Závodský;Giuliani;Jílková;Vestager;Vorlíček;Winton;Guaidó;Michel;Adamová;Pekarová;Vildumetzová;Štětina;Kraus;Kundera;Čunka;Poc;Kroupa;Burešová;Kretschmer;Hus;Topolánek;Šefčovič;Suchý;Majerová;H;Palacký;Bartošek;kurz;Juchelka;Farewell;Tesař;Václavec;Lhoťan;Macháčkem;Luzar;Dlouhý;Reagan;Fico;Lux;Pithart;Erdoğan;Charanzov;Zaeva;Pokorný;Seluckou;Horská;Pík;Gross;Verhofstadt;Hanuš;Ćwioro;Dobšík;Fajt;Krutílek;Míle;Onderka;Grospič;Cimrman;Diallo;Chauhan;Mrázek;Charvát;Mitrofanova;Strache;Bradáčová;Stránský;Benešův;Fridrich;Švejk;Vrecion;Čapka;Polák;Semína;Robinson;Koněvovi;Zelenskym;Gerlocha;Dancilaovou;Dienstbier;Růžička;Burlac
Babiš;0;0,00024;0,00017;0,00015;0,00024;0,00011;0,0001;9E-05;9E-05;0,00016;0,00016;8E-05;0,00012;0,0001;0,00034;0,00018;0,00014;0,00035;8E-05;6E-05;4E-05;0,00011;0,00019;0,00035;0,00013;4E-05;0,00014;0,00022;0,00022;0,00029;0,00014;3E-05;0,00011;0;0,0002;0;0,00033;6E-05;0,00021;0;9E-05;0,00021;0,00014;7E-05;0,00035;8E-05;0,00012;0,00024;4E-05;0,0003;0,00031;9E-05;0,00013;5E-05;0,00014;9E-05;0,00023;0,00023;0,0001;0,0001;0;0,00038;0,0001;0;5E-05;0,00016;0,00021;0,00031;5E-05;5E-05;0,00011;0,00012;0;6E-05;0,00012;6E-05;6E-05;0;6E-05;0;0,00026;0;0;0;0,00019;0,00014;7E-05;0;0;7E-05;0,00015;0;7E-05;0,00024;0,00024;0;0;8E-05;8E-05;0,00039;0,00024;0;8E-05;0;0;0;8E-05;0;0;0,00027;0;0;0,0002;0;0,0001;0;0;0;0;0,0001;0,0002;0;0,0001;0;0,00011;0,00011;0;0,00055;0;0,00011;0;0,00011;0;0;0,00033;0,00055;0,00049;0;0;0;0,00012;0,00024;0,00012;0;0,00024;0;0,00012;0;0;0,00012;0;0;0,00041;0;0;0;0;0;0;0,00014;0;0;0;0,00027;0,00055;0,00027;0;0;0;0,00016;0,00031;0;0;0;0;0;0;0;0;0;0;0;0;0,00031;0,00016;0,00063;0,00016;0;0;0,00031;0;0,00016;0,00031;0;0;0,00016;0,00016;0;0;0;0,00018;0,00018;0;0;0;0;0,00037;0;0,00037;0,00037;0;0;0,00037;0;0,00018;0,00018;0,00055;0;0,00018;0,00037;0;0,00018;0,00018;0;0;0;0,00037;0;0;0,00037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00022;0;0;0;0;0;0;0;0;0;0;0;0,00044;0;0,00066;0;0;0;0;0;0,00044;0,00044;0;0;0,00066;0;0;0,00022;0,00022;0,00022;0;0,00044;0,00022;0;0;0;0,00022;0,00044;0;0,00022;0,00022;0,00022;0,00022;0;0;0;0;0;0;0;0;0;0;0
Zeman;0,00024;0;0,0001;0,00017;0,0002;0,00013;0,00011;7E-05;0,00021;0,00014;0,00036;7E-05;0,0003;0,00016;0;0,00012;4E-05;0,00017;0;9E-05;0,0001;0,0001;0,00015;0,0002;0,0001;0,00015;0,00021;0,00022;0,00017;0,00056;6E-05;0,00012;6E-05;0,00039;0,0002;7E-05;7E-05;0,00014;7E-05;7E-05;0,00021;0,00047;8E-05;0;0,00056;9E-05;0;0,00056;0,0001;0;0,0002;0,0001;0;0,00021;0,00052;0;0,00073;0;0,00011;0,00011;0;0,00011;0,00011;0,00023;0,00012;0,00036;0,00024;0,00012;0;0,00012;0,00012;0;0;0,00013;0;0,00014;0,00014;0;0,00042;0;0,00059;0;0;0;0;0;0;0,00062;0;0;0,0005;0;0,00017;0,00018;0;0;0;0,00018;0;0,00054;0,00054;0;0;0;0;0,00019;0;0;0;0,00021;0;0;0,00045;0;0;0,00114;0;0;0;0,00023;0,00023;0;0,00023;0;0;0;0;0,00025;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,00028;0;0;0;0;0;0,00028;0,00056;0;0,00028;0,00028;0;0;0;0;0;0;0;0;0;0,00031;0;0;0;0;0,00031;0;0;0;0,00036;0,00036;0;0;0;0;0;0;0;0;0;0;0,00036;0,00071;0,00036;0,00036;0;0;0;0,00036;0;0;0;0;0;0;0,00036;0;0;0;0;0,00042;0,00042;0;0,00042;0;0;0,00042;0;0,00042;0;0;0;0;0,00042;0,00042;0;0,00083;0;0;0;0;0,00042;0;0;0;0;0,00042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0,0005;0;0;0,0005;0;0;0;0;0,0005;0;0,0005;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,001;0;0;0;0;0;0;0,001;0;0,0005;0,0015;0,0005;0;0,00062;0;0;0;0;0;0;0;0;0;0
Schillerová;0,00017;0,0001;0;0;0,00053;0,00151;0;0,00094;0,0005;0,00021;0,00029;0;0,00018;0,00048;0,00029;0,00164;0,00196;0,0007;0,00021;0;0,00058;0,00035;0,00059;0,00048;0,00073;0,00073;0,00013;0,00208;0,002;0,0012;0,0003;0,00015;0,00077;0;0,00126;0;0;0,00016;0,00032;0;0;0,00075;0,00075;0;0,00077;0;0,00022;0,00022;0;0,00023;0;0,00168;0;0,00025;0,0005;0,00075;0,001;0,001;0,00104;0;0;0,00052;0,00054;0;0;0,00029;0,00228;0,00057;0;0;0;0,00063;0;0;0,00032;0;0;0,00033;0;0;0,00106;0;0;0;0;0,00037;0,00037;0;0,00037;0;0,0008;0;0,0004;0,00257;0;0;0;0;0,00128;0,00043;0,00214;0;0,00086;0;0;0;0;0;0;0,0005;0;0,0005;0,00054;0;0,00054;0;0;0;0;0;0,00054;0,00054;0,00109;0;0;0,0018;0,0006;0;0;0,0006;0;0;0,0012;0;0,0024;0;0,00067;0;0;0;0,00067;0,002;0,00067;0;0,00133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0015;0;0;0;0,00299;0;0;0;0;0;0,00086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00257;0;0;0;0;0,00171;0;0,00257;0,00257;0;0;0,00086;0,00171;0;0;0;0,001;0,001;0;0;0,002;0;0;0;0;0;0;0,001;0,001;0;0;0;0;0;0;0;0;0,002;0,001;0;0;0;0,002;0;0;0,00299;0;0;0;0;0;0;0;0,0012;0;0;0;0;0;0;0;0;0,0012;0,0012;0;0;0;0;0;0;0,0012;0;0;0;0;0,0012;0;0;0;0;0;0;0;0;0;0;0,00479;0,0024;0;0,00359;0;0;0;0;0,0012;0;0;0;0;0,0012;0;0;0;0,0012;0;0;0;0;0;0;0;0;0;0;0,0015;0
Okamura;0,00015;0,00017;0;0;0,0001;0;0,00079;0,00013;0;0,00031;0,00032;0,0015;0,00041;0,00032;0,00022;0;0;0;0;0,00025;0;0;0,00013;0,00013;0;0;0,00043;0;0;0;0;0;0;0;0;0;0,00036;0,00145;0;0,00115;0,00019;0,00021;0;0,00168;0,00022;0,00024;0;0;0;0;0,00027;0;0;0,00112;0;0;0;0,00028;0;0;0;0;0,00092;0;0;0,00032;0;0;0;0,00168;0;0;0;0;0;0,00075;0,00224;0;0,00075;0;0;0;0;0,00197;0;0,00042;0;0;0;0;0;0;0;0;0,00048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00056;0,00391;0;0;0;0;0;0,00305;0,00305;0;0,00061;0,00061;0;0;0;0;0;0;0;0;0;0;0,00067;0;0;0,00067;0;0;0;0,00373;0;0;0;0,00075;0;0;0;0,00075;0;0;0;0;0;0;0;0,00419;0,00419;0,00419;0,00419;0,00419;0;0;0;0;0;0;0;0;0;0;0;0,00192;0,00479;0,00479;0,00479;0,00479;0,00479;0,00479;0,00479;0,00479;0,00479;0,00479;0;0;0,00096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00134;0;0,00134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00134;0;0;0,00134;0,00268;0,00134;0;0;0,00168;0;0;0;0;0;0;0;0;0
Hamáček;0,00024;0,0002;0,00053;0,0001;0;0,0006;7E-05;0,00079;0,00039;8E-05;0,00026;0,00011;0,00022;0,00023;0,00047;0,00059;0,00072;0,00049;0,00038;0;0,00028;0,00042;0,00014;0,00074;0,00045;0,00045;0;0,00112;0,00082;0,00098;0,00074;0;0,00019;0;0,00058;0;0,0006;0,0002;0,0004;0;0;0,00138;0,00023;0,00023;0,00119;0;0,00027;0,00109;0;0,00057;0;0,00088;0;0;0;0,00061;0,00184;0,00061;0,00064;0;0;0,00096;0;0;0,0007;0,00035;0,0007;0,00105;0;0;0,00074;0;0;0;0;0;0;0;0;0;0,00087;0,00043;0;0;0;0,00092;0,00046;0;0,00046;0;0;0;0;0,00158;0,00053;0;0;0,00105;0,00105;0;0,00158;0;0,00053;0;0;0;0,00057;0;0;0,00061;0;0;0,00267;0,00067;0;0;0;0;0;0;0,00134;0;0,00067;0;0;0;0;0,00074;0;0,00074;0;0,00074;0,00074;0;0,00074;0,00147;0;0,00082;0;0;0;0,00163;0,00082;0;0,00163;0;0;0;0,00082;0;0;0;0;0;0;0;0;0;0;0,00184;0;0;0;0;0,00184;0,00092;0;0;0;0,00105;0;0;0;0;0;0;0;0;0;0;0;0,00105;0;0,00105;0,0021;0,00105;0;0;0;0,00105;0;0,0021;0,00105;0;0;0;0;0;0;0;0;0;0;0,00123;0,00123;0;0;0;0;0,00245;0,00123;0,00123;0,00123;0;0;0;0;0;0;0;0;0,00123;0;0;0;0;0;0,00123;0,00123;0,00123;0;0;0;0;0,00147;0;0;0;0;0,00147;0;0;0;0,00147;0;0;0,00147;0;0;0;0;0;0;0;0;0;0,00147;0;0;0;0,00147;0;0;0;0;0;0,00147;0,00147;0;0;0;0,00147;0;0;0,00147;0;0;0,00294;0,00147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Havlíček;0,00011;0,00013;0,00151;0;0,0006;0;0;0,00073;0,0007;0,00043;0,00035;0;0,00034;0,00071;0,00012;0,00275;0,00291;0,00086;0,00026;0,00014;0,00085;0,00043;0,00087;0,00059;0,00106;0,00136;0,00016;0,00322;0,00296;0,00214;0,00093;0,00019;0,00114;0;0,00195;0;0;0,0002;0,0008;0;0,00042;0,00093;0,00208;0;0,00143;0,00026;0,00027;0,00027;0;0;0;0,00237;0;0,00062;0,00062;0,00123;0,00123;0,00123;0,00129;0;0;0,00193;0,00034;0;0,00071;0,00035;0,00529;0,00176;0;0;0,00037;0,00078;0;0;0;0;0;0,00082;0;0;0,00044;0;0,00044;0;0;0,00046;0,00046;0,00046;0,00093;0;0,00099;0;0,00099;0,00317;0;0;0;0;0,00265;0,00053;0,00476;0;0,00053;0,00057;0;0;0;0,00114;0;0,00062;0;0;0,00135;0;0,00067;0,00067;0;0;0,00135;0;0,00067;0;0,00202;0;0,00074;0,00444;0,00074;0;0;0,00074;0;0;0,00074;0;0,00296;0,00074;0,00082;0,00082;0;0;0,00082;0,00247;0,00082;0;0,00165;0;0;0;0;0;0;0;0;0,00093;0;0;0;0;0;0,00185;0;0;0;0,0037;0,00093;0;0;0;0;0,00106;0;0;0;0;0;0;0;0;0;0;0;0,00106;0;0;0,00529;0;0;0;0;0,00212;0;0,00317;0,00317;0;0;0,00106;0,00212;0,00106;0;0;0,00123;0,00123;0;0;0,00247;0;0;0;0;0;0;0,00123;0,00123;0;0;0,00123;0;0;0;0;0;0,00247;0,00123;0;0;0;0,00247;0;0;0,0037;0,00123;0;0,00123;0;0,00148;0;0;0,00148;0;0,00148;0;0;0;0;0;0;0,00296;0,00148;0;0;0;0;0;0;0,00148;0;0;0;0;0,00148;0,00296;0;0,00148;0;0;0;0;0;0,00148;0;0,00593;0,00444;0;0,00593;0;0;0;0;0,00148;0;0;0;0;0;0;0;0;0,00148;0;0;0;0;0;0;0;0;0;0;0;0
Salvini;0,0001;0,00011;0;0,00079;7E-05;0;0;0;0;0,00031;0;0,00611;0,00234;0,00231;0;0;0;0,0003;0;0,00051;0;0,00017;0,0016;0;0;0;0,00232;0;0;0;0;0;0,00047;0;0;0;0,0027;0,00246;0;0;0,00026;0,00028;0;0,00682;0;0,00032;0;0;0,00035;0;0,00109;0;0;0,00038;0;0;0;0,00038;0;0;0;0;0;0;0;0;0;0;0;0,00273;0;0,00144;0;0;0;0,00051;0,00455;0;0;0;0;0;0;0,00321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00682;0;0,00083;0;0;0;0,00496;0,00496;0;0,00083;0;0;0;0;0;0;0;0;0,00091;0;0;0;0;0;0;0;0;0;0,00606;0;0;0;0;0;0;0;0,00202;0;0;0;0;0;0;0;0,00682;0,00682;0,00682;0,00682;0,00682;0;0;0;0;0;0;0;0;0;0;0;0,0013;0,00779;0,00779;0,00779;0,00779;0,00779;0,00779;0,00779;0,00779;0,00779;0,00779;0;0;0;0;0,0013;0;0;0;0;0;0;0;0;0;0;0;0,0013;0;0;0;0;0;0;0;0;0,00152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00152;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00364;0;0;0,00182;0,00182;0;0;0;0;0;0;0;0;0;0;0;0;0
Maláčová;9E-05;7E-05;0,00094;0,00013;0,00079;0,00073;0;0;0,00041;0,00023;0,00035;0;0;0,00031;0,00016;0,00063;0,00064;0,00049;0,00034;0;0,00057;0,00019;0,00038;0,0002;0;0,0004;0;0,00128;0,00153;0,00044;0,00123;0;0,00025;0;0,00077;0;0;0;0,00026;0;0,00056;0,00092;0;0;0,00221;0;0;0,00036;0;0;0;0,00078;0;0;0;0,00082;0,00123;0,00041;0,00043;0;0;0;0;0;0;0;0,0014;0;0;0;0,00049;0,00052;0;0;0;0;0;0;0;0;0,00058;0;0;0;0;0,00061;0;0;0,00061;0;0;0;0;0,0014;0;0;0;0,0007;0,0007;0;0,0014;0;0,0007;0;0,00075;0;0,00075;0;0,00151;0,00082;0;0;0;0;0,00089;0;0;0;0;0;0,00178;0;0,00089;0;0,00098;0,00098;0;0;0;0;0;0;0,00098;0;0;0;0;0,00109;0;0;0;0,00218;0;0;0;0;0;0;0,00109;0;0;0;0,00123;0;0;0;0;0;0;0,00123;0;0;0;0;0;0;0;0;0;0,0014;0;0;0;0;0;0;0;0;0;0;0;0,0014;0;0,0014;0,0028;0;0;0;0;0,0014;0;0,0014;0;0;0;0,0014;0,0014;0;0;0;0,00163;0;0;0;0,00327;0;0;0;0;0;0;0,00163;0;0;0,00163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00163;0;0,00163;0;0;0,00196;0;0;0,00196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00196;0;0;0,00196;0,00196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Havel;9E-05;0,00021;0,0005;0;0,00039;0,0007;0;0,00041;0;0,00024;0,001;0;0,00032;0,0005;0;0,00034;0,00104;0;0,00036;0;0,00061;0;0,00083;0,00021;0,00043;0;0;0,00069;0,0007;0,0007;0,00079;0,00079;0,00027;0,00028;0,00111;0,00028;0;0;0;0;0,0003;0,00033;0;0;0,00068;0,00038;0;0;0;0;0;0,00084;0;0;0,00044;0,00132;0,00044;0,00044;0,00092;0;0;0,00046;0,00048;0;0,0005;0,0015;0,0015;0,0005;0;0;0;0,00111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00066;0,00197;0,00066;0;0,0007;0;0,0007;0;0;0;0;0;0,00075;0,00075;0,0015;0;0,00075;0;0;0;0;0,00081;0;0;0;0;0,00096;0,00096;0;0;0;0;0;0;0,00096;0;0;0;0,00105;0;0;0;0;0,00105;0;0;0;0;0,00105;0,00105;0;0,00117;0;0;0,00117;0;0,00117;0;0,00117;0;0;0;0;0;0;0;0;0,00132;0;0;0;0;0;0,00263;0;0;0;0,00132;0,00132;0;0;0;0,0015;0,0015;0;0;0;0;0;0;0;0;0;0;0;0,0015;0;0;0,00451;0;0;0;0;0,0015;0;0,0015;0,0015;0;0;0;0;0,0015;0,0015;0;0;0,00175;0;0,00175;0,00351;0;0;0;0;0;0;0,00175;0,00175;0;0;0;0;0;0;0;0;0,00175;0;0;0;0;0,00175;0;0;0;0,00175;0;0,00175;0;0,00211;0;0;0,00211;0;0;0;0;0;0,00211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00211;0;0,00211;0;0;0;0;0;0;0;0;0;0,00211;0,00211;0;0;0;0;0;0;0,00211;0;0;0;0;0;0;0;0;0,00211;0;0;0;0;0;0;0;0;0;0;0;0
Trump;0,00016;0,00014;0,00021;0,00031;8E-05;0,00043;0,00031;0,00023;0,00024;0;0;0,00017;0,00035;0,00055;0,00019;0,00056;0,00075;0;0;0,00085;0,00066;0,00044;0,00113;0;0;0,00047;0,00049;0,0005;0,00026;0,00026;0;0;0,00029;0;0,0003;0;0,00031;0;0;0;0,00066;0,00036;0,00036;0;0;0;0;0;0;0;0,00276;0,00046;0;0,00048;0;0,00048;0;0;0,0005;0;0;0;0;0;0;0;0,00164;0;0;0;0;0,00242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00164;0;0,00164;0;0,00082;0;0;0;0;0,00088;0;0;0;0;0,00104;0;0;0,00104;0;0;0;0,00104;0,00104;0;0;0;0,00115;0,0023;0;0;0;0;0;0;0;0;0,00115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00144;0;0;0,00144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00164;0;0,00164;0;0;0;0;0,00164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00192;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0023;0;0;0;0;0,0023;0;0;0;0;0;0;0;0;0;0;0;0;0,0023;0;0;0;0,00287;0;0;0;0;0;0;0;0;0
