;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Hřib;Toman;Juncker;Kreml;Benešová;Dostálová;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Nováková;Wilderse;Sobotka;Zahradil;Šmarda;Michálek;Koněv;Bartoš;Erdogan;Pellegrini;Hitler;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Čunek;Blaško;Mynář;Kramář;Mayová;Zaorálek;Jaklo;Novotný;Skopeček;Duka;Komenský;Polčák;Svoboda;Ondráček;Válková;Pospíšil;Smoljak;Metnar;Klaus ml;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Jágr;Foldyna;Opat;Bakala;Doležal;Horák;Němec;Stalin;Veselý;Juříček;Jerman;Peksa;Lasvignes;Cook;Hlubuček;Kovanda;Kobza;M;Heydrich;Koudelka;Středula;Morawieckiego;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;Bárta;B;Bettel;Výborný;Mátl;Rozner;Farage;Baxa;Gottem;Benda;P;Pavel;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Adamowicz;Bělobrádek;Trestík;Jakl;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Poche;Ovčáček;Nečas;Bartha;Szijjártó;Gregorová;Opletal;Sáblíková;Hilšer;Jelínek;Zažímalová;Arajma;May;Rath;Janda;Konečná;Špidlík;Zelenský;Vondra;Plenković;Špidla;Kuciak;Albright;Schäuble;Brežněv;Navrátil;Balda;Šarocha;Gazdík;Zikmund;Farský;Lukl;Brada;Paroubek;Kovář;Stehlík;Šaroch;Jakeš;Závodský;Michel;Giuliani;Vorlíček;Jílková;Winton;Vestager;Guaidó;Adamová;Pekarová;Vildumetzová;Štětina;Kraus;Kundera;Poc;Čunka;Kroupa;Burešová;Kretschmer;Hus;Suchý;Topolánek;Šefčovič;Majerová;Palacký;H;Bartošek;Farewell;Tesař;kurz;Juchelka;Lhoťan;Václavec;Luzar;Macháčkem;Dlouhý;Reagan;Fico;Lux;Pithart;Erdoğan;Charanzov;Pokorný;Zaeva;Ćwioro;Krutílek;Míle;Onderka;Dobšík;Gross;Fajt;Horská;Pík;Diallo;Mrázek;Chauhan;Seluckou;Cimrman;Mitrofanova;Hanuš;Grospič;Charvát;Strache;Bradáčová;Verhofstadt;Benešův;Stránský;Fridrich;Švejk;Vrecion;Čapka;Zelenskym;Koněvovi;Gerlocha;Polák;Dancilaovou;Dienstbier;Růžička;Burlac;Adámek;Semína;Robinson;Janků;Bezděk;Fraňkovou;Kučera;Janeček;Halík;Danko;Fajta;Vácha;Rafaje;Bureš;Webera;Conte;Výbornému;Pavlem;Matýse;Rinnem;Klause ml;Dušek;Pavlík;Steinmeierem;Timmermansem;Boček;Hitlera;Lenina;Neumann;Valachové;Valachová;Barnierem;Schwarzenbergem;Petružálkovi;Valčík;Trachtové;Herrmannem;Smoljakovi;Sagana;Fischerová;Brnabić;Asad;Zajíček;Jermanové;Výborného;Jiránek;Jágra;Jágrovi;Procházka;Bašárem;F;Zaev;Kováčik;Sorosem;Hoferem;Hanák;Timmermanse;Kiska;von der Leyenové;Červenková;Juříčka;LEE;Keller;Abe;Zdechovskému;Šojdrové;Pikal;Kněžínka;Vaněk;Nachera;Netanjahu;Šmardou;Gabriel;Goulard;Koudelku;Kotek;Gerloch;Marvanová;Bohdalová;Wagenknecht;Hřebejk;Michálkem;Stránského;Šimral;Kryla;Matićem;Mogherini;Bartoška;Píka;Fialová;Janečka;Prchal;Chabr;Sassoli;Knotek;Hrabánek;Kučerou;Johnsonem;Fischer;Lucemburského;Štěpánek;Žigou
Babiš;0;0,00348;0,00426;0,00425;0,00549;0,00556;0,00339;0,00111;0,00906;0,00228;0,00113;0,00116;0,00579;0,00116;0,01771;0,00469;0,00355;0,00586;0,00234;0,00352;0,00235;0,00118;0,00353;0,00235;0,00473;0,00118;0,00474;0,00477;0,00237;0,00355;0,00598;0,00119;0,00239;0;0,00845;0;0,01329;0,00239;0,0024;0;0,0036;0,00723;0,00481;0,0024;0,0012;0,00241;0,00732;0,00121;0,00121;0,00851;0,00243;0,00121;0,00363;0,00121;0,00121;0,00121;0,00608;0,00242;0,00121;0,00242;0;0,00977;0,00243;0;0,00121;0,00122;0,00122;0,00733;0,00122;0,00122;0,00122;0,00244;0;0,00122;0,00244;0,00122;0;0,00122;0,00122;0;0;0,0049;0;0;0,00367;0,00122;0,00122;0;0;0,00122;0,00245;0,00122;0;0,00246;0,00122;0;0;0,00122;0,00122;0,00615;0,00123;0;0,00122;0;0;0;0,00123;0;0;0,00369;0;0;0;0;0,00123;0,00123;0;0;0;0,00123;0,00246;0;0,00123;0;0,00123;0,00123;0;0,00123;0;0,00123;0;0,00123;0;0;0,0037;0,00123;0,00494;0;0;0;0,00247;0,00123;0,00123;0;0,00247;0;0,00123;0;0;0,00123;0;0;0,00371;0;0;0;0;0;0;0,00123;0;0;0;0,00247;0,00495;0,00247;0;0;0,00123;0;0,00123;0;0;0;0;0;0;0;0;0;0;0;0;0,00247;0,00123;0,00496;0,00123;0;0,00247;0;0;0,00124;0,00247;0;0,00123;0;0;0;0,00123;0;0,00124;0,00124;0;0;0;0,00248;0;0;0,00248;0,00248;0;0;0,00248;0;0,00124;0,00124;0;0,00248;0,00124;0,00248;0,00124;0;0;0,00124;0;0,00124;0;0;0;0,00248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00124;0;0;0;0;0;0;0;0;0;0,00248;0;0,00372;0;0;0;0;0,00124;0,00124;0,00124;0,00248;0;0;0;0,00248;0;0,00124;0;0;0;0;0,00124;0;0,00124;0,00248;0,00248;0,00124;0;0,00124;0,00124;0,00124;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00124;0,00124;0;0;0;0;0;0;0;0,00124;0,00124;0;0;0;0;0,00124;0,00373;0;0;0;0;0;0;0;0;0;0;0;0;0,00124;0;0;0;0;0,00124;0;0;0;0;0,00124;0;0;0;0;0;0,00124;0,00124;0,00124;0;0,00248;0;0;0,00124;0;0;0,00124;0;0;0;0;0;0;0,00248;0,00124;0,00124;0;0;0,00248;0;0;0,00124;0;0;0,00124;0,00124;0;0,00248;0;0;0;0;0;0;0;0;0;0;0,00248;0;0;0,00124;0;0;0,00124;0;0,00124;0;0
Zeman;0,00348;0;0,00615;0,01653;0,00434;0,00445;0,00231;0,00225;0,00229;0,00471;0,00465;0,00246;0,00242;0,00245;0;0,00249;0,00254;0,00746;0;0,00249;0,00503;0,00252;0,0025;0,00504;0,00253;0,00252;0,01023;0,00515;0,00769;0,0051;0,00258;0,00517;0,00259;0,01571;0,00262;0,00258;0,0026;0,0026;0,00262;0,00262;0,00789;0,01592;0,00262;0;0,00528;0,00265;0,01635;0;0,0027;0;0,00269;0,00267;0;0,00268;0,01355;0;0,01902;0;0,00269;0,00268;0;0,00268;0,0027;0,0027;0,0027;0,00542;0,0027;0,0027;0;0,0027;0,0027;0;0;0,00272;0;0,00273;0;0,00272;0,00826;0;0;0,00824;0;0;0;0;0;0,00273;0;0;0,00275;0,00275;0;0,00276;0;0;0;0,00275;0;0,00551;0,00275;0;0;0;0;0,00276;0;0;0;0,00276;0;0;0,00277;0;0;0,0028;0;0;0;0,00279;0,00277;0;0,00277;0;0;0;0;0,00278;0;0;0;0;0;0;0,00557;0;0;0;0;0;0;0;0,00279;0;0;0;0,00279;0,00559;0;0,00279;0;0,00279;0;0;0;0;0;0;0;0;0,0028;0;0;0;0;0,00279;0;0;0,0028;0;0,0028;0;0;0;0;0;0;0;0;0;0;0,0028;0,0028;0,0028;0,0028;0;0;0;0;0,0028;0;0;0;0;0,0028;0;0;0;0;0;0,00281;0,00281;0;0,00281;0;0,00281;0;0;0,00281;0;0;0;0;0,00281;0,00281;0;0;0,00281;0;0;0,00282;0;0;0,00281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00282;0;0;0,00282;0,00282;0;0;0;0;0;0,00282;0;0,00282;0;0;0;0;0;0;0,00282;0;0;0;0;0;0;0;0;0,00565;0;0;0;0;0;0,00565;0;0,00282;0;0,0085;0,00282;0;0,00282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00282;0;0;0,00282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00282;0;0;0,00282;0;0;0,00852;0,00282;0;0;0;0;0;0,00282;0;0,00282;0;0;0;0,00282;0,00282;0;0,00282;0,00282;0;0;0,00282;0,00567;0;0;0;0,00282;0;0;0;0;0;0;0;0;0,00567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00282;0;0
Schillerová;0,00426;0,00615;0;0;0,03279;0,06195;0;0,03982;0,00889;0,00465;0,01843;0;0,00493;0,02591;0,00508;0,02674;0,02235;0,00518;0,01047;0;0,01613;0,01081;0,01064;0,01075;0,00543;0,01081;0,00546;0,07186;0,02825;0,07647;0,01143;0,00565;0,01734;0;0,01786;0;0;0,00578;0,00585;0;0;0,01176;0,00585;0;0,0241;0;0,00621;0,00617;0;0,00606;0;0,03125;0;0,00617;0,00617;0,00617;0,00613;0,02516;0,00621;0;0;0,01242;0,01266;0;0;0,00629;0,03896;0,01258;0;0;0;0,00633;0;0;0,00633;0;0,00637;0;0;0;0;0,00645;0;0;0;0,00649;0,00649;0;0,00645;0;0,00654;0,00654;0;0,03401;0;0;0;0;0,00654;0,00654;0,01325;0;0,00654;0;0;0;0;0;0;0,00662;0;0,00662;0;0;0,00671;0,00685;0;0;0;0;0,00667;0,00667;0,01342;0;0;0,02083;0,00671;0;0;0,00671;0;0;0,01351;0;0,01351;0;0,00676;0;0;0;0,01361;0,00676;0,00676;0;0,00676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0137;0;0;0;0,02778;0;0;0;0;0,00685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00685;0;0;0;0,01379;0;0;0,02098;0,02083;0;0,00685;0;0;0;0,01379;0;0,0069;0,0069;0;0;0,01389;0;0;0;0;0;0,0069;0;0,0069;0;0;0;0;0;0;0;0,00694;0;0;0,0069;0;0,0069;0;0;0;0,02098;0;0;0;0;0;0;0;0,00694;0;0;0;0;0;0;0;0;0;0;0,00694;0,00694;0;0;0;0;0,00694;0;0;0;0;0,00699;0;0;0;0;0;0,00694;0;0,00694;0;0,00694;0;0;0;0;0,00694;0;0;0;0;0;0;0;0,00694;0;0;0;0;0,00694;0;0;0;0;0;0;0;0;0,00699;0;0;0;0;0;0,00699;0,00699;0;0;0;0;0,00699;0;0;0;0;0;0;0;0;0,00699;0;0;0;0,00699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00699;0;0;0;0;0;0;0;0;0;0;0,01408;0,00699;0;0;0,00699;0;0;0,00699;0,00699;0;0;0;0,01408;0;0,00699;0;0,00699;0;0,00699;0,00704;0;0;0;0,00699;0;0;0;0,00699;0;0;0;0;0;0;0,00699;0,00699;0;0;0;0,00699;0;0;0;0;0;0;0,00699;0;0,00699;0;0,00699
Okamura;0,00425;0,01653;0;0;0,00797;0;0,00448;0,00426;0;0,01878;0,0137;0,06452;0,0049;0,01531;0,01015;0;0;0;0;0,01053;0;0;0,00526;0,00532;0;0;0,01093;0;0;0;0;0;0;0;0;0;0,01149;0,01156;0;0,00585;0,00581;0,00581;0;0,04908;0,00588;0,00595;0;0;0;0;0,00617;0;0;0,00613;0;0;0;0,00613;0;0;0;0;0,00625;0;0;0,00625;0;0;0;0,00625;0;0;0;0;0;0,00641;0;0,00633;0,01299;0;0;0;0;0,00637;0;0,00645;0;0;0;0;0;0;0;0;0,00649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00658;0,04795;0;0;0;0;0;0,03401;0,03401;0;0,00671;0,00662;0;0;0;0;0;0;0;0;0;0;0,00667;0;0;0,00667;0;0;0;0,03448;0;0;0,00671;0;0;0;0;0,00671;0;0;0;0;0;0;0;0,00676;0,00676;0,00676;0,03472;0,03472;0;0;0;0;0;0;0;0;0;0;0;0,0137;0,0068;0,0068;0,0068;0,0068;0,03497;0,03497;0,03497;0,03497;0,03497;0,03497;0;0;0,0068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0069;0;0;0;0,0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0069;0;0;0,0069;0;0,01389;0,0069;0;0;0;0;0;0,00694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00694;0;0;0;0;0;0;0,00694;0;0;0;0;0;0,00694;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hamáček;0,00549;0,00434;0,03279;0,00797;0;0,03415;0,00515;0,00485;0,01531;0,00535;0,01047;0,00595;0,00571;0,00592;0,0241;0,01235;0,00649;0,00606;0,01852;0;0,01258;0,01923;0,00621;0,00629;0,0129;0,01923;0;0,02027;0,01316;0,03333;0,01361;0;0,0068;0;0,02143;0;0,02083;0,0069;0,00699;0;0;0,00699;0,00699;0,00709;0,00709;0;0,00752;0,00746;0;0,01471;0;0,00735;0;0;0;0,01504;0,03817;0,00746;0,01515;0;0;0,00746;0;0;0,01527;0,00763;0,00763;0,00758;0;0;0,01538;0;0;0;0;0;0;0;0;0;0;0,00787;0,00781;0;0;0,00794;0,00794;0;0,00787;0;0;0;0;0,02479;0,008;0;0;0,01613;0,008;0;0,01626;0;0,008;0;0;0;0,00806;0;0;0,00813;0;0;0;0,0082;0;0,00847;0;0;0;0;0,01653;0;0,0082;0;0;0;0;0,00826;0;0,00826;0;0,00826;0,00826;0;0,00826;0,01667;0;0,00833;0;0;0,01681;0,00833;0;0;0,00833;0;0;0;0,00833;0;0;0;0;0;0;0;0;0;0;0,01695;0;0;0;0;0,01695;0,0084;0;0;0,00847;0;0;0;0;0;0;0;0;0;0;0;0;0,00847;0;0,00847;0,00847;0,00847;0;0;0,00847;0;0;0,01724;0,00847;0;0;0;0;0;0;0;0;0;0;0,00855;0,00855;0;0;0;0;0,01724;0,00855;0,00855;0,00855;0;0;0;0;0;0;0;0;0;0;0,00855;0;0;0;0,00855;0,00855;0,00855;0;0;0;0,00862;0;0;0;0;0;0;0,00862;0;0;0;0,00862;0;0;0;0,00862;0;0;0;0;0;0;0;0,0087;0;0;0;0,00862;0;0;0;0;0;0,00862;0;0,00862;0,00862;0;0;0,01739;0;0,00862;0;0;0;0;0;0;0;0;0,00862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0;0,0087;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0,02655;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0;0;0;0;0,0087;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0,0087;0;0;0,0087;0;0;0;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0087;0;0;0;0,0087
Havlíček;0,00556;0,00445;0,06195;0;0,03415;0;0;0,03723;0,02747;0,00571;0,00556;0;0,00613;0,01282;0,00637;0,04828;0,0916;0,04762;0,01325;0,00667;0,02759;0,01379;0,01351;0,02778;0,01399;0,02083;0,00699;0,112;0,05185;0,05147;0,00735;0,0073;0,02256;0;0,0315;0;0;0,00752;0,01538;0;0,00763;0,01538;0,00763;0;0,00775;0,00787;0,00826;0,0082;0;0;0;0,00806;0;0,01653;0,01653;0,0082;0,00813;0,01653;0,00826;0;0;0,025;0,0084;0;0,01681;0,0084;0,07143;0,01681;0;0;0,0084;0,01709;0;0;0;0;0,01724;0;0;0;0,0087;0,0087;0;0;0;0,00877;0,00877;0,0087;0,01754;0;0,00885;0,00885;0;0,04673;0;0;0;0;0,04587;0,00885;0,02727;0;0,00885;0,00901;0;0;0;0,01802;0;0,00901;0;0;0,00909;0;0,00917;0,01905;0;0;0,00917;0;0,00909;0;0,02778;0;0,00926;0,04902;0,00917;0;0;0,00917;0;0;0,00917;0;0,01852;0,00917;0,00926;0,00926;0;0;0,0283;0,00926;0,00926;0;0,00926;0;0;0;0;0;0;0;0;0,00935;0;0;0;0;0;0,00935;0;0;0;0,03846;0,00935;0;0;0;0,00943;0;0;0;0;0;0;0;0;0;0;0;0;0,00943;0;0;0,01905;0;0;0;0,00943;0;0;0,02913;0,00943;0;0,00943;0;0,00943;0;0,01905;0;0,00952;0,00952;0;0;0,01923;0;0;0;0;0;0,00952;0;0,00952;0;0;0,00952;0;0;0;0;0,00962;0;0;0,00952;0;0,00952;0;0;0;0,02913;0,00952;0;0,00952;0,00962;0;0;0;0,00962;0;0;0,00962;0;0;0;0;0;0;0;0,00962;0,00962;0;0;0;0;0,00962;0;0;0;0;0,00971;0,01942;0,00962;0;0;0;0,0396;0;0,00962;0;0,01942;0;0;0;0;0,00962;0;0;0;0,00962;0;0;0;0;0;0;0;0;0,00962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00971;0,00971;0;0;0;0;0,00971;0;0;0;0;0;0;0;0;0,00971;0;0;0;0,00971;0;0;0;0;0;0,00971;0,00971;0,00971;0;0;0;0;0,00971;0;0;0;0,00971;0;0;0,00971;0;0;0;0;0;0;0;0,00971;0,00971;0;0;0;0;0;0,00971;0,00971;0;0;0,00971;0,01961;0;0,00971;0;0,01961;0;0,00971;0,0098;0;0;0;0,00971;0;0;0;0,00971;0;0;0;0;0;0;0,00971;0,00971;0;0;0;0;0;0;0;0;0;0;0,00971;0;0,00971;0;0,00971
Salvini;0,00339;0,00231;0;0,00448;0,00515;0;0;0;0;0,01923;0;0,41414;0,02083;0,128;0;0;0;0,01481;0;0,0229;0;0,00775;0,01527;0;0;0;0,02419;0;0;0;0;0;0,00847;0;0;0;0,1028;0,02632;0;0;0,00877;0,00877;0;0,26966;0;0,00909;0;0;0,00971;0;0,00962;0;0;0,00952;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0,06186;0;0,02;0;0;0;0,0102;0;0,0202;0;0;0;0;0;0,06383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10465;0;0;0;0;0,01124;0,06818;0,06818;0;0,01099;0;0;0;0;0;0;0;0;0,01087;0;0;0;0;0;0;0;0;0;0,06977;0;0;0;0;0;0;0;0,02222;0;0;0;0;0;0;0;0,07059;0,07059;0,07059;0,07059;0,07059;0;0;0;0;0;0;0;0;0;0;0;0,01124;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0,07143;0;0;0;0;0,01124;0;0;0;0;0;0;0;0;0;0;0,01124;0;0;0;0;0;0;0;0;0,01136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01136;0;0;0;0;0;0;0;0;0;0;0;0;0,02326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02326;0;0;0,01149;0;0,01149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01163;0,02353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02353;0,02353;0;0;0,01163;0,01163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02353;0;0;0;0;0;0;0;0
Maláčová;0,00111;0,00225;0,03982;0,00426;0,00485;0,03723;0;0;0,01111;0,00588;0,01734;0;0;0,01325;0,00658;0,00685;0,02222;0,02055;0,0137;0;0,00699;0,00709;0,01399;0,00704;0;0,01429;0;0,01515;0,00735;0,03759;0,00763;0;0,00769;0;0,008;0;0;0;0,00794;0;0,00794;0,00794;0;0;0,01626;0;0,00862;0;0;0;0;0,0084;0;0;0;0,01724;0,01709;0,00855;0,00862;0;0;0;0;0;0;0;0,00877;0;0;0;0,00877;0,00885;0;0;0;0;0;0;0;0;0;0,00909;0;0;0;0,00917;0;0;0,00909;0;0;0;0;0,01905;0;0;0;0,00926;0,00926;0;0,01887;0;0,00926;0;0,00935;0;0,00935;0;0,01887;0,00943;0;0;0;0;0,00962;0;0;0;0;0;0,01923;0;0,00952;0;0,00971;0,0099;0;0;0;0;0;0;0,00962;0;0;0;0;0,00971;0;0;0,01961;0;0;0;0;0;0;0;0,00971;0;0;0;0,0098;0;0;0;0;0;0;0,0098;0;0;0;0;0;0;0;0;0,0099;0;0;0;0;0;0;0;0;0;0;0;0;0,0099;0;0,0099;0,0099;0;0;0;0,0099;0;0;0,01;0;0;0,0099;0;0;0;0,0099;0;0;0,01;0;0;0,0202;0;0;0;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0;0,0101;0;0;0;0,0101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0101;0,0101;0,0101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0102;0,0102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0102;0;0;0;0;0;0;0;0;0;0,0102;0,0102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0102;0;0;0;0,0102;0;0;0;0;0;0;0,0102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Havel;0,00906;0,00229;0,00889;0;0,01531;0,02747;0;0,01111;0;0,00617;0,00599;0;0,00667;0,00694;0;0,00725;0,00775;0;0,01449;0;0,02256;0;0,00735;0,00746;0,01538;0;0;0,01613;0,02381;0,00775;0,01639;0,00806;0,0082;0,00813;0,01724;0,00813;0;0;0;0;0,00847;0,00847;0;0;0,01739;0,00877;0;0;0;0;0;0,01818;0;0;0,00917;0,00917;0,00909;0,00917;0,01869;0;0;0,00917;0,00943;0;0,00935;0,02885;0,02885;0,00935;0;0;0;0,00952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0099;0,0098;0,0098;0;0,01;0,01;0;0;0;0;0;0;0,01;0,01;0,02041;0;0,01;0;0;0;0;0,0101;0;0;0;0;0;0,01031;0;0,01075;0;0;0;0;0,01031;0;0;0;0,01053;0;0;0;0;0,01042;0;0;0;0;0,01042;0,01042;0;0,01053;0;0;0;0,01053;0,01053;0;0,01053;0;0;0;0;0;0;0;0;0,01064;0;0;0;0;0;0,01064;0;0;0;0,01064;0,01064;0;0;0,01075;0,01075;0;0;0;0;0;0;0;0;0;0;0;0;0,01075;0;0;0,01075;0;0;0;0,01075;0;0;0,01087;0,01075;0;0;0;0,01075;0,01087;0;0;0,01087;0;0;0,01087;0,01087;0;0;0;0;0;0,01087;0;0,01087;0;0;0;0;0;0;0;0,01099;0;0;0,01087;0;0;0;0;0;0;0,01087;0;0,01087;0,01099;0;0;0;0,01099;0;0;0;0;0;0;0,01099;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01099;0;0,01099;0;0;0;0;0;0;0,01099;0;0,01099;0;0;0;0;0,01099;0;0;0;0;0;0;0;0;0;0;0;0;0,01099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01111;0,01111;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01111;0;0;0;0;0;0;0;0;0;0;0;0;0,02247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01111;0;0;0;0;0;0;0;0;0;0;0,01111;0;0;0;0;0,01111;0,01111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01111;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01111;0;0
Trump;0,00228;0,00471;0,00465;0,01878;0,00535;0,00571;0,01923;0,00588;0,00617;0;0;0,00758;0,00719;0,01515;0,00752;0,00787;0,00847;0;0;0,03252;0,01626;0,01653;0,02439;0;0;0,01653;0,01695;0,0177;0,00855;0,00847;0;0;0,00901;0;0,00943;0;0,00909;0;0;0;0,01887;0,00935;0,00935;0;0;0;0;0;0;0;0,06522;0,01;0;0,0102;0;0,0102;0;0;0,01031;0;0;0;0;0;0;0;0,01053;0;0;0;0;0,02151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02273;0;0,02299;0;0,01124;0;0;0;0;0,01136;0;0;0;0;0,01163;0;0;0,0122;0;0;0;0,0119;0,01163;0;0;0;0,0119;0,0122;0;0;0;0;0;0;0;0;0,01176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01205;0;0;0,01205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0122;0;0,0122;0;0;0;0,0122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0125;0;0;0;0;0;0;0;0;0;0;0;0;0,0125;0;0;0;0;0;0;0;0,0125;0;0;0;0;0;0;0,01266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01266;0;0;0;0;0;0;0;0,01266;0;0,01266;0;0;0;0;0;0;0;0,01266;0;0;0;0;0;0,01266;0;0;0;0;0,01282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
