;jaromir-soukup;klara-dostalova;stanislav-polcak;jaroslav-faltynek;michael-kocab;michal-hasek;jan-hamacek;andrej-babis;ivan-david;petr-dvorak;ondrej-kolar-8;milos-krcmar;miloslav-rozner;tomas-petricek;miroslav-toman;vaclav-havel;jaroslav-kubera;dominik-feri;jiri-mihola;pavel-jelinek;stanislav-kovar;martin-kolovratnik;petr-fiala;ludek-niedermayer;marta-kubisova;adam-vojtech-1;pavel-poc;milos-zeman;miroslav-kalousek;vaclav-krasa;marie-benesova;ivo-vondrak;tomas-czernin;milos-petera;zdenek-ondracek;miroslava-nemcova;petr-kajnar;pavel-kovacik;ivan-bartos;ivan-bartos-11;alena-schillerova;jiri-kobza-2;katerina-konecna;pavel-fischer;jan-jarolim;frantisek-nesetril;milos-babis;karla-slechtova;marketa-pekarova-1;marcel-kolaja;radim-fiala;jaroslav-zverina;jiri-janecek;josef-janecek;josef-janecek-1;karel-janecek;milos-janecek;petr-necas;frantisek-lukl;martin-stropnicky;lubomir-zaoralek;dalibor-zeleny;petr-cibulka;jan-rakusan;vit-rakusan;pavel-tigrid;roman-hanak;ivan-pilip;dan-tok;vaclav-klaus;vaclav-klaus-2;frantisek-blaha;jan-blaha;jiri-blaha-82;ivo-rittig
milos-vystrcil;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vladimir-kremlik;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0
tomio-okamura;0,16;0;0,05;0;0;0;0,11;0,16;0,05;0,05;0,05;0;0;0,05;0;0;0;0;0;0;0;0,05;0;0;0;0,05;0;0,05;0;0;0;0;0;0;0;0,05;0;0;0,05;0,05;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
marketa-adamova;0,06;0;0;0,06;0,06;0;0;0,25;0;0;0;0;0;0;0;0,06;0,06;0;0;0;0;0;0;0,06;0;0;0;0,19;0,06;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0;0;0;0;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0,06;0,06;0,06;0
jakub-michalek;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25
miroslav-kalousek;0,14;0;0;0,05;0,05;0;0;0,14;0;0;0;0,05;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,05;0;0,1;0;0;0;0;0;0;0;0,05;0,05;0,05;0,05;0;0,05;0,05;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0,05;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0
radek-rozvoral;0;0;0;0;0;0,33;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0
jan-hamacek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radovan-vich-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0,33;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0,33;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jan-zahradil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17;0;0;0;0;0;0;0;0,17;0;0;0,17;0;0;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17;0;0;0;0,17;0;0;0;0;0;0;0;0
alexandra-udzenija;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vlastimil-valek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lubomir-metnar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radek-vondracek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33;0,33;0;0;0;0
jana-vildumetzova;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jan-bartosek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
petr-hladik-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
martin-kupka;0;0;0;0;0;0;0;0,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pavel-nalezeny;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tomas-czernin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jan-jakob;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0;0;0
sarka-jelinkova;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
