;jaromir-soukup;klara-dostalova;stanislav-polcak;jaroslav-faltynek;michael-kocab;michal-hasek;jan-hamacek;andrej-babis;ivan-david;petr-dvorak;ondrej-kolar-8;milos-krcmar;miloslav-rozner;tomas-petricek;miroslav-toman;vaclav-havel;jaroslav-kubera;dominik-feri;jiri-mihola;pavel-jelinek;stanislav-kovar;martin-kolovratnik;petr-fiala;ludek-niedermayer;marta-kubisova;adam-vojtech-1;pavel-poc;milos-zeman;miroslav-kalousek;vaclav-krasa;marie-benesova;ivo-vondrak;tomas-czernin;milos-petera;zdenek-ondracek;miroslava-nemcova;petr-kajnar;pavel-kovacik;ivan-bartos;ivan-bartos-11;alena-schillerova;jiri-kobza-2;katerina-konecna;pavel-fischer;jan-jarolim;frantisek-nesetril;milos-babis;karla-slechtova;marketa-pekarova-1;marcel-kolaja;radim-fiala;jaroslav-zverina;jiri-janecek;josef-janecek;josef-janecek-1;karel-janecek;milos-janecek;petr-necas;frantisek-lukl;martin-stropnicky;lubomir-zaoralek;dalibor-zeleny;petr-cibulka;jan-rakusan;vit-rakusan;pavel-tigrid;roman-hanak;ivan-pilip;dan-tok;vaclav-klaus;vaclav-klaus-2;frantisek-blaha;jan-blaha;jiri-blaha-82;ivo-rittig
milos-vystrcil;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vladimir-kremlik;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0
tomio-okamura;27;0;41;0;0;0;81;100;43;43;43;0;0;46;0;0;0;0;0;0;0;38;0;0;0;43;0;38;0;0;0;0;0;0;0;43;0;0;41;41;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
marketa-adamova;21;0;0;45;29;0;0;148;0;0;0;0;0;0;0;43;40;0;0;0;0;0;0;45;0;0;0;125;35;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;52;52;52;0
jakub-michalek;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
miroslav-kalousek;98;0;0;28;27;0;0;103;0;0;0;35;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;26;0;41;0;0;0;0;0;0;0;40;40;40;40;0;42;43;0;0;0;0;47;34;34;34;34;34;28;0;44;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0
radek-rozvoral;0;0;0;0;0;11;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
jan-hamacek;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;21;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radovan-vich-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;43;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jan-zahradil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;23;0;0;36;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;38;0;0;0;0;0;0;0;0
