Osoba ID,Politik
jana-pastuchova,jiri-dusek-49
vlastimil-valek,miroslav-kalousek
andrej-babis,adam-vojtech-1
andrej-babis,klara-dostalova
tomio-okamura,david-rath
milos-vystrcil,jaromir-soukup
tomio-okamura,andrej-babis
tomio-okamura,tomas-petricek
petr-fiala,andrej-babis
tomio-okamura,ivan-david
tomio-okamura,milos-zeman
miroslav-kalousek,jan-zahradil
miroslav-kalousek,jan-zahradil-2
miroslav-kalousek,milos-zeman
tomio-okamura,martin-kolovratnik
jan-farsky,vit-rakusan
vladimir-kremlik,klara-dostalova
tomio-okamura,stanislav-polcak
tomio-okamura,vera-jourova
petr-fiala,milan-uhde
marketa-adamova,jaroslav-faltynek
vladimir-kremlik,jitka-volfova
milos-vystrcil,jiri-dienstbier
milos-vystrcil,jiri-dienstbier-1
milos-vystrcil,jiri-ruzicka
tomio-okamura,andrej-babis
tomio-okamura,jan-hrncir
petr-fiala,andrej-babis
marketa-adamova,michael-kocab
jakub-michalek,michal-hasek
tomio-okamura,andrej-babis
zdenek-hrib,andrej-babis
zdenek-hrib,petr-hlubucek-1
tomio-okamura,andrej-babis
tomio-okamura,andrej-babis
tomio-okamura,lubomir-zaoralek
andrej-babis,alena-schillerova
tomio-okamura,jan-hamacek
tomio-okamura,jan-chvojka
jana-vildumetzova,jaroslav-bradac
jana-vildumetzova,milos-zeman
tomio-okamura,andrej-babis
tomio-okamura,karel-schwarzenberg
tomio-okamura,milos-zeman
tomio-okamura,mirek-topolanek
tomio-okamura,vaclav-havel
tomio-okamura,michal-hasek
tomio-okamura,milos-zeman
tomio-okamura,miroslav-poche
tomio-okamura,vaclav-havel
tomio-okamura,vaclav-laska
tomio-okamura,milos-zeman
tomio-okamura,jan-hamacek
milos-vystrcil,jaroslav-kubera
tomio-okamura,ivan-david
tomio-okamura,jan-hrncir
tomio-okamura,jaroslav-horak
tomio-okamura,andrej-babis
tomio-okamura,milos-babis
tomio-okamura,petr-dvorak
tomio-okamura,ivan-bartos
