id,Zmínil n-krát,Zmíněn n-krát
stanislav-blaha,0,1
karel-schwarzenberg,0,23
ondrej-profant,0,0
adam-vojtech-1,23,38
miroslav-poche,0,6
vera-adamkova-1,0,1
stepan-matek,0,0
ondrej-kolar,24,0
radek-vondracek,27,2
tomio-okamura,1073,7
marian-jurecka,0,2
martin-kupka,29,2
petr-gazdik,0,0
jiri-dolejs,0,0
lukas-semerak,0,0
lumir-kantor,0,0
tomas-prouza,0,0
jana-vildumetzova,26,0
stanislav-juranek,0,0
olga-sehnalova,0,8
pavel-poc,0,5
jan-kobza-1,0,0
jan-hamacek,23,84
ivan-bartos,0,19
vojtech-munzar,0,1
karel-havlicek-30,0,0
karel-karika,0,0
katerina-valachova,0,6
miroslav-hajdusik,0,0
jan-zahradil,11,9
dita-charanzova,8,23
lubomir-metnar,1,9
dominik-feri,0,4
milos-vystrcil,35,1
stanislav-polcak,0,8
jan-cizinsky,0,2
zdenek-nytra,0,0
alena-schillerova,26,68
vojtech-pikal,0,7
jan-bartosek,10,9
rostislav-kostial,0,0
evzen-tosenovsky,3,0
martina-dlabajova,0,23
michal-kucera,0,0
petr-bendl,0,0
vit-rakusan,0,10
ludek-niedermayer,0,14
radovan-vich-1,5,3
milos-zeman,39,100
frantisek-elfmark-1,0,0
jiri-ventruba,0,0
mikulas-peksa,0,3
tomas-martinek-10,0,0
katerina-konecna,0,8
andrej-babis,368,308
radim-fiala,0,12
tomas-vymazal-7,0,0
petr-fiala,161,34
petr-mach,0,0
martin-kolovratnik,0,6
lubomir-zaoralek,0,15
karel-havlicek-3,0,0
renata-chmelova,0,1
vera-jourova,0,21
filip-dechterenko,0,0
alexandra-udzenija,18,0
robert-plaga,0,3
lubomir-volny-1,0,11
miroslav-antl,0,0
zuzana-majerova-zahradnikova,0,0
jindrich-cermak-1,0,0
vaclav-klaus-2,0,25
marek-hilser,0,0
marek-vyborny,80,19
lukas-otys,1,0
ondrej-kotas,0,0
radek-koten,0,1
vaclav-laska,0,3
lukas-wagenknecht,0,0
veronika-vrecionova,0,2
marketa-adamova,21,0
robert-pelikan,0,4
jaroslav-foldyna,0,5
alena-gajduskova,0,2
jan-skopecek,0,0
michaela-sojdrova,0,14
jiri-drahos,0,0
marek-zenisek,0,0
zdenek-fink,0,0
hana-trestikova,0,0
pavel-fischer,0,3
ladislav-oklestek,5,1
premysl-sobotka,0,0
zbynek-linhart,0,1
miroslav-kalousek,111,22
pavel-belobradek,0,16
augustin-karel-andrle-sylor,0,0
jan-hrncir,0,32
richard-brabec,0,36
jaromir-kohlicek,0,3
martin-komarek,0,0
miluse-horska,0,1
vlastimil-valek,28,0
petr-hladik-11,7,0
sarka-jelinkova,34,1
milan-hnilicka-1,0,0
barbora-koranova-1,0,1
alexandr-vondra,0,1
patrik-kuncar,0,0
jan-farsky,19,3
mikulas-ferjencik-1,0,4
olga-richterova,0,1
josef-rihak,0,0
roman-kubicek,0,0
pavel-havir,0,0
tomas-golan-3,0,0
zdenek-hrib,54,0
radim-holecek,0,0
petr-holecek,0,2
josef-hajek,0,0
tomas-macura,0,3
radim-srsen,0,1
radka-maxova,0,1
martin-kuba,0,0
frantisek-kopriva-20,0,0
ondrej-liska,0,0
jan-zahradnik,0,0
jana-cernochova,0,1
ladislav-chlupac,0,1
andrea-hoffmannova-3,0,0
michaela-matouskova-7,0,0
tomas-czernin,19,13
vera-kovarova,0,0
petr-hlubucek-1,0,13
jiri-strycek,0,0
pavel-nalezeny,1,0
jaroslav-polacek-19,0,0
jiri-cienciała,0,0
milan-sarapatka,0,0
jan-lipavsky,0,0
ladislav-vaclavec,0,0
zbynek-stanjura,0,6
jan-jakob,3,0
raduan-nwelati,0,1
vladimir-kremlik,43,0
jiri-blaha-82,0,1
tomas-tesar,0,0
jaroslav-bzoch-1,0,1
magdalena-davis,0,0
michael-canov,0,0
dana-balcarova-3,0,2
martin-jiranek-1,0,0
jana-pastuchova,11,2
jiri-dusek-49,0,3
marketa-gregorova-4,0,2
veslav-michalik,0,0
milan-hnilicka-4,0,7
vojtech-filip,0,2
jiri-masek-50,0,0
klara-dostalova,9,25
vladimir-vlach-13,0,0
jakub-janda,0,5
petr-beitl,0,0
helena-langsadlova,0,0
tomas-kladivko,0,0
petr-beitl-1,0,0
lumir-palyza,0,0
petr-jezek,0,9
david-rath,0,5
jaromir-soukup,0,26
radek-holomcik,16,1
david-smoljak,0,0
marek-novak-12,0,0
zdenek-papousek,0,1
tatana-mala-2,0,1
vaclav-hampl,0,1
zdenek-hraba-1,0,0
martin-baxa,0,3
martin-cervicek,0,0
zdenek-ondracek,0,8
vit-kankovsky,0,3
milan-krajca-2,0,0
petr-tresnak-12,0,0
patrik-nacher,0,13
klara-liptakova,0,0
antonin-stanek,0,14
tomas-petricek,0,20
michal-uhl-1,0,0
petr-stepanek-2,0,0
roman-sklenak,0,1
miloslava-vostra,0,2
pavel-telicka,0,11
hana-zakova-15,0,0
zdenka-nemeckova-crkvenjas,0,0
leo-luzar,0,0
radovan-auer,0,0
radek-rozvoral,3,0
tomas-zdechovsky,0,10
petr-michalek-29,0,0
lukas-barton,0,0
marek-fiser-2,0,0
petr-dolinek,0,2
robert-nedved-1,0,0
petr-vrana-2,0,0
michal-pilar-2,1,0
marek-benda,0,5
jitka-chalankova,0,0
mikulas-bek,0,0
jiri-pospisil-1,0,9
ivo-pojezny,0,0
karla-slechtova,0,2
karel-krejza,0,0
zbynek-sykora-1,0,0
lukas-blazej-1,0,0
marketa-cervinkova-2,0,0
petr-silar,9,0
jiri-stabl-1,0,0
jiri-mihola,0,4
jiri-ruzicka,0,2
jan-vitula,0,0
tomas-zmuda,0,0
miroslav-nenutil,0,0
jakub-michalek,4,10
jaroslav-holik,0,0
marketa-pekarova-adamova,0,0
ivan-david,0,70
petr-vokral,1,2
mikulas-ferjencik,0,0
robert-strzinek,0,0
ondrej-vesely,0,2
petr-adam,0,0
jan-zahradil-2,0,9
petr-scholz-5,0,0
ondrej-polansky,0,2
jiri-knotek-17,0,0
jan-posvar-3,0,0
herbert-pavera,13,1
jaromir-stetina,0,5
rostislav-vyzula,0,0
marcel-kolaja,0,6
premysl-rabas,0,0
david-stolpa,0,1
jiri-vosecky,0,0
jaroslava-jermanova,4,0
pavel-cizek,0,0
martin-stepanek-1,0,0
roman-pasek-4,0,0
lukas-cernohorsky,0,0
filip-mezera,0,0
martin-svadlenka,0,0
pavel-svoboda-2,0,14
milan-stech,0,0
lucie--safrankova,0,13
robert-kralicek,0,0
bohuslav-svoboda,0,0
michaela-marksova-tominova,0,4
pavel-stanek-1,0,6
peter-harvanek-1,0,0
lukas-kolarik-1,0,0
ivan-adamec,0,0
michal-horinek,0,0
pavel-kovacik,0,3
milan-uhde,0,2
jaroslav-faltynek,0,4
simona--luftova,0,0
jitka-volfova,0,2
josef-knot-1,0,0
rom-kostrica,0,0
karla-marikova,0,20
pavel-ruzicka-19,0,0
tomas-huner,0,0
ondrej-babka,0,0
jiri-dienstbier,0,1
jiri-dienstbier-1,0,1
zuzana-bajgarova,0,0
jaromira-vitkova,0,0
michael-kocab,0,2
tomas-portlik,0,0
michal-hasek,0,4
jiri-snizek-4,0,0
zurek-jan,0,0
milan-brazdil,0,0
jan-birke,0,2
jiri-cunek,0,4
pavel-stohl,0,0
monika-oborna,0,3
jan-chvojka,0,4
jiri-payne,0,0
petr-danek-26,0,0
jaroslav-bradac,0,2
dan-tok,0,8
miroslava-nemcova,0,6
ondrej-karas-6,0,0
ondrej-benesik,0,0
petr-halada-4,0,0
pavel-pavlik,0,0
michaela-krausova-6,0,0
mirek-topolanek,0,5
vaclav-havel,0,50
frantisek-vacha,0,1
martin-puta,0,4
svatopluk-nemecek,0,3
jaromir-horky-9,0,0
nina-novakova,0,0
tomas-murnak-1,0,0
jakub-zach-1,0,0
jaroslav-kubera,0,14
jana-krutakova,0,0
jaroslav-horak,0,26
tomas-vlach-6,0,0
milos-babis,0,17
petr-dvorak,0,18
ivan-bartos-11,0,19
jan-tecl,0,0
ladislav-faktor-2,0,0
zdenek-zajicek,0,6
tomas-jan-podivinsky,0,2
renata-zajickova,0,0
michal-zuna,0,0
marta-novakova-29,0,5
simon-heller,0,1
petr-orel,0,0
jan-skacel-5,0,1
vaclav-klaus,0,25
jan-maly,0,1
jaroslav-maly,0,1
josef-maly,0,1
milos-maly,0,1
jiri-kobza-2,0,8
jiri-behounek,0,3
marek-houser,0,0
milan-chovanec,0,3
pavel-stanek,0,6
pavel-svagr,0,0
milena-johnova,0,0
pavel-plzak,0,0
hana-kordova-marvanova,0,0
marcel-chladek,0,0
michal-smarda-1,0,0
martin-tesarik,0,0
jiri-valenta,0,0
karel-kratochvile,0,0
miloslav-ludvik,0,0
lumir-aschenbrenner,0,0
jiri-nantl,0,0
michael-kohajda,0,0
petr-springinsfeld-1,0,0
jan-volny,0,8
jaromir-volny,0,8
jiri-burian,0,0
zdenka-hamousova,0,0
ivo-slavotinek,0,1
premysl-malis-1,0,0
jiri-cienciala,0,0
jan-bauer,0,3
jaroslav-bauer,0,3
jiri-pospisil,0,9
oliver-pospisil,0,2
eva-horakova-41,0,0
tomas-rieger,0,0
emilie-triskova-2,0,1
milan-pour,0,1
ondrej-kolar-8,0,20
pavel-svoboda,0,14
pavel-svoboda-1,0,14
pavel-svoboda-3,0,14
roman-cely,0,3
pavel-cizinsky,0,0
jiri-paroubek,0,5
olga-sehnalova-1,0,8
sarka-korkesova-1,0,0
ludvik-sulda-1,0,0
jana-pupavova,0,0
marta-semelova,0,1
ilona-mauritzova,0,1
leos-heger,0,1
miloslav-rozner,0,5
