server,osobaid,datum,id,pocetSlov,Sentiment,ethos,pathos,logos,neg,neu,pos,manipulation,populism,topics,entities
Twitter,andrej-babis,14.05.2020 0:00:00,0003ba97d3c4614ea9222b21c09e770b,46,0.6369,0.5,0.4,0.7,0,0.907,0.093,0.2,0.3,"epidemiologická situace","Českou radou dětí a mládeže"
Twitter,andrej-babis,04.03.2020 0:00:00,000c266a901fbd36669454232f05da52,41,0.7184,0.6,0.5,0.7,0,0.867,0.133,0.3,0.4,"spolupráce v4;zdravotnické prostředky","V 4"
Facebook,andrej-babis,18.04.2020 0:00:00,0014b608fe7c3a710bd8a04cbf5fbc13,21,0.7088,0.5,0.6,0.4,0,0.731,0.269,0.3,0.2,"chytrá karanténa;vzdělávání;zábava",""
Facebook,andrej-babis,21.04.2017 0:00:00,00173A833FDADEDD947581671DF9E65A,45,0.6588,0.3,0.5,0.2,0,0.897,0.103,0.4,0.2,"dárek;vzdělání;studenti",""
Facebook,andrej-babis,27.10.2019 0:00:00,0023daf698b5d348e50cd73706d47f5c,35,0.6249,0.6,0.4,0.5,0,0.892,0.108,0.3,0.5,"","Liftago"
Twitter,andrej-babis,20.07.2020 0:00:00,002516f87af3f9cbe656a420a27141c1,19,0.5423,0.5,0.6,0.2,0.091,0.697,0.213,0.3,0.4,"týmová spolupráce;politická činnost",""
Twitter,andrej-babis,15.09.2020 0:00:00,0028c58b8910b88923b2bd34548924e0,11,0.4019,0.4,0.5,0.7,0,0.816,0.184,0.2,0.6,"školství;infrastruktura;podpora sportu",""
Twitter,andrej-babis,24.09.2019 0:00:00,002b73bec8cc766ad41ae5143470e9ec,41,0.9001,0.6,0.3,0.7,0,0.755,0.245,0.2,0.1,"podpora startupů;logistika","CzechInvestu"
Facebook,andrej-babis,03.02.2017 0:00:00,003F585883541954A1A094FCBD9978F1,56,0.3699,0.8,0.4,0.7,0.088,0.803,0.109,0.3,0.2,"",""
Facebook,andrej-babis,09.09.2020 0:00:00,0040637fffdfaac8795ca62580649426,9,0.34,0.4,0.6,0.2,0.152,0.618,0.23,0.5,0.7,"politické vyjádření","Schillerová"
Twitter,andrej-babis,26.11.2020 0:00:00,004508b0c8c66bcc6d1481aa3a4491ae,28,0.0772,0.6,0.5,0.7,0,0.961,0.039,0.4,0.3,"otevření obchodů;rozvolňování opatření;systém pes","PES"
Twitter,andrej-babis,22.07.2021 0:00:00,0045dd56362f753972ff9e1a4d974424,40,0.5106,0.5,0.2,0.7,0.052,0.793,0.155,0.1,0.1,"urgentní příjem","Pracovní komisi pro systémové řešení urgentních příjmů"
Twitter,andrej-babis,06.11.2020 0:00:00,0047e9f647858d18451c18359178d700,40,-0.6908,0.5,0.7,0.6,0.128,0.872,0,0.4,0.6,"modernizace armády;vojenská technika;historie armády",""
Facebook,andrej-babis,06.12.2020 0:00:00,004d2214e3dc0fa3aca3006d60bed530,31,0.5514,0.6,0.4,0.5,0,0.912,0.088,0.3,0.2,"daně;úspory;ekonomika;politika;financování","ANO;Schillerová;Švihlíková"
Twitter,andrej-babis,15.01.2020 0:00:00,004f964e4f3fe1cec1b4226e98383d37,27,0,0.6,0.2,0.8,0,1,0,0.1,0.1,"","Masarykova univerzita"
Facebook,andrej-babis,11.10.2019 0:00:00,0053BE6A807035E24D92024329DBEF32,6,-0.296,0.3,0.5,0.2,0.268,0.732,0,0.1,0,"zdravotnictví;vzdělávání","Fakultní Nemocnice"
Facebook,andrej-babis,06.12.2019 0:00:00,005635109ffae2d4b09cdbf1708c4391,25,-0.0772,0.7,0.5,0.2,0.076,0.857,0.067,0.3,0.4,"","Hejdukem;Holubovou;Sdružení pro obnovu hasičských tradic"
Twitter,andrej-babis,08.01.2021 0:00:00,005682d169584e3b72f246c87508214e,28,0.296,0.7,0.3,0.8,0.078,0.778,0.144,0.4,0.2,"nasazení vojáků",""
Twitter,andrej-babis,23.05.2021 0:00:00,00570dbe21e37169a07c75920d79ff2e,37,0,0.6,0.5,0.7,0,1,0,0.4,0.3,"očkování;zdravotní politika",""
Twitter,andrej-babis,06.02.2020 0:00:00,0060343747db47301630251e09beb273,47,0.5255,0.6,0.5,0.7,0,0.927,0.073,0.4,0.3,"podpora restaurací",""
Twitter,andrej-babis,21.06.2021 0:00:00,006298311e12124ebf17923eb7296dd5,49,0.8176,0.7,0.5,0.8,0,0.826,0.174,0.3,0.4,"zdravotnictví;financování zdravotní péče;pandemie",""
Twitter,andrej-babis,29.02.2020 0:00:00,006e30be52b146e7bb4f2b395a6afb7d,41,0.508,0.7,0.4,0.6,0.085,0.769,0.146,0.5,0.3,"","Erdogan;Evropská rada;V 4"
Facebook,andrej-babis,24.12.2020 0:00:00,006e6bedaa1f9087405306dcd1c78a06,18,0.9246,0.5,0.8,0.2,0,0.593,0.407,0.3,0.2,"vánoční svátky;dárky;přátelství",""
Facebook,andrej-babis,20.12.2019 0:00:00,0079f71e24118881a11c07d4b83c53aa,6,0,0.4,0.7,0.5,0,1,0,0.3,0.2,"památka;tragédie",""
Twitter,andrej-babis,21.02.2022 0:00:00,007f8dc361a9029531476c1bd58dff8a,41,-0.8939,0.5,0.8,0.6,0.231,0.769,0,0.4,0.7,"rakovina;vláda;evropské peníze","Evropské peníze;Národní onkologické centrum"
Twitter,andrej-babis,01.12.2020 0:00:00,00848f5cf55c6009641894bc7e170f81,31,0.6369,0.5,0.6,0.7,0,0.864,0.136,0.3,0.4,"",""
Twitter,andrej-babis,07.03.2020 0:00:00,0089b9d975e367de2b39c1c41b68f05c,42,-0.128,0.7,0.6,0.8,0.057,0.896,0.047,0.5,0.4,"",""
Twitter,andrej-babis,09.10.2020 0:00:00,008e0a8fe90f0996683092076febead5,40,0.5423,0.7,0.6,0.8,0.049,0.82,0.131,0.4,0.5,"výsadba stromů",""
Twitter,andrej-babis,17.05.2020 0:00:00,009154eb511c7fe05ce7d08879dda1b3,41,0.8515,0.6,0.4,0.7,0.037,0.726,0.237,0.3,0.5,"rovné podmínky",""
Facebook,andrej-babis,11.06.2016 0:00:00,00930DD3802961DE85D557800240CA59,47,-0.7003,0.5,0.8,0.7,0.112,0.888,0,0.6,0.4,"ochrana životního prostředí","Diamo"
Twitter,andrej-babis,17.01.2020 0:00:00,0094291d10cce23256d0e0aa801da974,33,0.5106,0.7,0.3,0.8,0,0.882,0.118,0.2,0.5,"podpora zdravotní péče;financování zdravotnictví",""
Twitter,andrej-babis,10.12.2019 0:00:00,009473d89746396e6aa9922bf78f11e6,44,-0.2483,0.5,0.8,0.6,0.1335,0.746,0.121,0.4,0.3,"krizový štáb;památka obětí;vláda",""
Facebook,andrej-babis,27.04.2021 0:00:00,009aa6f31e522d7e758802e20f47713a,20,0.8221,0.3,0.5,0.2,0,0.689,0.311,0.1,0.4,"koalice;podpora",""
Facebook,andrej-babis,23.06.2017 0:00:00,009e4290dedf82f579655d492630f94c,9,0.34,0.5,0.4,0.3,0,0.714,0.286,0.2,0.1,"",""
Twitter,andrej-babis,23.10.2019 0:00:00,00a090e8caf43f2fccef3579f97a9161,36,-0.193,0.6,0.3,0.8,0.096,0.844,0.06,0.2,0.4,"investice do dopravní infrastruktury;školství;věda a výzkum;ekonomika;úspory",""
Facebook,andrej-babis,18.09.2019 0:00:00,00A610983FDEFC6D7B30D13E874AC5E3,6,0,0,0,0,0,1,0,0,0,"příroda",""
Twitter,andrej-babis,29.07.2020 0:00:00,00abfe8ab235f8b6278a117d12ccea65,41,0,0.7,0.2,0.8,0,1,0,0.1,0.3,"",""
Facebook,andrej-babis,29.04.2021 0:00:00,00af9a639195a2189d7e531c7fbc1a15,23,0.4215,0.5,0.6,0.4,0,0.906,0.094,0.3,0.7,"","Blesk"
Twitter,andrej-babis,17.01.2020 0:00:00,00b0bbd1a5b254ddfacd6c3e28d0c73c,42,0.2732,0.6,0.3,0.7,0,0.963,0.037,0.2,0.1,"","Antićem"
Facebook,andrej-babis,20.07.2016 0:00:00,00baa7549c43a2c9382f952cba686eec,18,-0.2023,0.5,0.4,0.6,0.125,0.781,0.094,0.7,0.5,"církevní restituce",""
Twitter,andrej-babis,13.12.2021 0:00:00,00ccca5eb64d77b55e77e3ac47a76b5b,44,0.2869,0.6,0.3,0.8,0.034,0.91,0.056,0.2,0.4,"očkování","Asociací obchodních center;Kotvě"
Twitter,andrej-babis,04.02.2020 0:00:00,00d011a9d7572e51e1ea1ed5d683d789,32,0,0.6,0.3,0.5,0,1,0,0.2,0.4,"národní sportovní agentura;tisková konference;podpora sportu","Agentury;Jansty;Moučkové;Národní sportovní agentura;Sokola;Štěpánka"
