Source,Target,Weight,AvgSentiment
tomio-okamura,david-rath,5,-0.20
tomio-okamura,andrej-babis,119,0.13
tomio-okamura,tomas-petricek,9,-0.02
petr-fiala,andrej-babis,85,0.17
tomio-okamura,ivan-david,67,0.12
tomio-okamura,milos-zeman,46,0.07
miroslav-kalousek,jan-zahradil,1,0.14
miroslav-kalousek,milos-zeman,8,0.14
tomio-okamura,martin-kolovratnik,4,-0.03
vladimir-kremlik,klara-dostalova,3,0.57
tomio-okamura,stanislav-polcak,6,0.33
tomio-okamura,vera-jourova,7,0.03
petr-fiala,milan-uhde,2,0.49
vladimir-kremlik,jitka-volfova,1,-0.51
milos-vystrcil,jiri-dienstbier,1,0.00
milos-vystrcil,jiri-ruzicka,1,0.00
tomio-okamura,jan-hrncir,31,0.09
marketa-adamova,michael-kocab,1,0.00
tomio-okamura,lubomir-zaoralek,4,0.30
andrej-babis,alena-schillerova,23,0.42
tomio-okamura,jan-hamacek,58,-0.06
tomio-okamura,jan-chvojka,3,-0.38
tomio-okamura,karel-schwarzenberg,13,-0.11
tomio-okamura,mirek-topolanek,4,-0.15
tomio-okamura,vaclav-havel,13,0.02
tomio-okamura,michal-hasek,2,0.14
tomio-okamura,miroslav-poche,6,0.19
tomio-okamura,vaclav-laska,2,0.14
tomio-okamura,jaroslav-horak,25,0.10
tomio-okamura,milos-babis,7,0.07
tomio-okamura,petr-dvorak,16,0.15
tomio-okamura,ivan-bartos,12,-0.02
milos-zeman,tomas-jan-podivinsky,1,0.30
miroslav-kalousek,andrej-babis,16,-0.01
tomio-okamura,jan-maly,1,0.35
tomio-okamura,jaroslav-maly,1,0.35
tomio-okamura,josef-maly,1,0.35
tomio-okamura,milos-maly,1,0.35
tomio-okamura,radim-fiala,10,0.35
tomio-okamura,tatana-mala,1,0.35
tomio-okamura,jiri-kobza,7,-0.15
miroslav-kalousek,karel-schwarzenberg,4,0.30
tomio-okamura,jan-birke,1,0.33
tomio-okamura,milan-chovanec,2,0.16
tomio-okamura,antonin-stanek,5,0.13
tomio-okamura,pavel-stanek,3,-0.15
radek-vondracek,andrej-babis,2,0.21
adam-vojtech,vaclav-havel,1,0.38
petr-fiala,lubomir-zaoralek,1,0.01
alena-schillerova,jaromir-soukup,2,0.14
tomio-okamura,tomas-zdechovsky,5,0.31
petr-fiala,jan-volny,1,0.25
petr-fiala,jaromir-volny,1,0.25
petr-fiala,lubomir-volny,1,0.25
andrej-babis,milan-hnilicka,6,0.60
miroslav-kalousek,mirek-topolanek,1,0.62
tomio-okamura,jan-bauer,3,0.01
tomio-okamura,jaroslav-bauer,3,0.01
tomio-okamura,lucie--safrankova,12,0.23
vlastimil-valek,miroslav-kalousek,1,-0.73
adam-vojtech,andrej-babis,4,0.29
milos-zeman,andrej-babis,7,0.35
milos-zeman,ivan-david,1,0.27
milos-zeman,jan-zahradil,1,0.27
milos-zeman,jiri-paroubek,1,0.27
milos-zeman,olga-sehnalova,1,0.27
milos-zeman,pavel-svoboda,1,0.27
tomio-okamura,jan-farsky,3,-0.01
milos-vystrcil,dana-balcarova,1,0.00
tomio-okamura,ondrej-kolar,8,-0.05
herbert-pavera,andrej-babis,1,0.42
petr-fiala,ladislav-chlupac,1,0.30
miroslav-kalousek,milos-krcmar,1,-0.20
tomio-okamura,jaromir-soukup,12,0.34
tomio-okamura,mikulas-ferjencik,2,0.02
tomio-okamura,miroslav-kalousek,14,-0.03
radek-rozvoral,miloslav-rozner,1,-0.78
petr-fiala,vaclav-klaus,2,0.50
petr-fiala,petr-necas,1,0.11
andrej-babis,jiri-cunek,3,0.38
miroslav-kalousek,jaromir-soukup,4,-0.00
andrej-babis,jan-hamacek,7,0.61
andrej-babis,vaclav-havel,7,0.72
jakub-michalek,dominik-feri,1,0.53
tomio-okamura,jan-cizinsky,1,0.13
tomio-okamura,jakub-janda,3,0.21
tomio-okamura,petr-kolar,1,-0.09
tomio-okamura,vaclav-klaus,15,-0.01
andrej-babis,milos-zeman,6,0.19
tomio-okamura,vladimir-franz,3,0.38
tomio-okamura,benjamin-kuras,2,-0.39
tomio-okamura,klara-samkova,3,0.12
tomio-okamura,martin-konvicka,1,0.10
vlastimil-valek,ludek-niedermayer,1,0.00
radek-vondracek,jaroslav-kubera,2,0.83
jana-vildumetzova,jaroslav-bradac,1,0.74
tomio-okamura,daniel-herman,5,-0.03
tomio-okamura,miloslav-rozner,2,0.35
andrej-babis,richard-brabec,18,0.40
alena-schillerova,vaclav-havel,2,0.05
andrej-babis,marie-benesova,8,0.57
andrej-babis,patrik-nacher,8,0.61
petr-fiala,milos-zeman,2,0.15
tomio-okamura,roman-pekarek,1,0.01
tomio-okamura,adam-vojtech,4,-0.08
jan-bartosek,karel-urbanek,1,0.99
jan-bartosek,petr-urbanek,1,0.99
andrej-babis,miroslav-toman,8,0.32
alena-schillerova,adam-vojtech,4,0.29
alena-schillerova,jana-malacova,1,0.18
alena-schillerova,marie-benesova,1,0.18
tomio-okamura,zdenek-podal,1,-0.05
klara-dostalova,jaromir-soukup,1,0.63
tomio-okamura,monika-jarosova,2,0.05
ladislav-oklestek,klara-dostalova,1,0.89
tomio-okamura,petr-fiala,24,0.12
milos-zeman,miloslava-vostra,1,0.59
milos-zeman,vojtech-filip,1,0.59
adam-vojtech,martina-dlabajova,1,0.32
tomio-okamura,dita-charanzova,11,0.37
tomio-okamura,jan-keller,3,0.37
tomio-okamura,jaromir-kohlicek,3,0.37
tomio-okamura,jaromir-stetina,5,0.21
tomio-okamura,jiri-mastalka,3,0.37
tomio-okamura,jiri-pospisil,4,0.31
tomio-okamura,katerina-konecna,7,0.38
tomio-okamura,ludek-niedermayer,3,0.37
tomio-okamura,martina-dlabajova,9,0.41
tomio-okamura,michaela-sojdrova,3,0.37
tomio-okamura,olga-sehnalova,3,0.37
tomio-okamura,pavel-svoboda,4,0.44
tomio-okamura,pavel-telicka,10,0.36
tomio-okamura,petr-jezek,9,0.41
tomio-okamura,viktor-dyk,4,0.15
miroslav-kalousek,vaclav-havel,3,0.15
miroslav-kalousek,vaclav-klaus,1,0.02
tomio-okamura,jan-nemec,1,0.09
tomio-okamura,marta-kubisova,1,0.09
petr-fiala,alena-schillerova,4,-0.10
tomio-okamura,marie-benesova,3,0.39
miroslav-kalousek,marie-benesova,3,0.23
petr-silar,vaclav-laska,1,0.96
andrej-babis,petr-dvorak,1,0.00
tomio-okamura,helena-valkova,4,0.08
tomio-okamura,vojtech-pikal,6,0.41
tomio-okamura,jaroslav-foldyna,3,0.19
miroslav-kalousek,jana-malacova,1,0.14
miroslav-kalousek,jan-hamacek,4,0.12
tomio-okamura,lubomir-volny,8,0.39
andrej-babis,jaromir-soukup,1,0.66
petr-fiala,marta-novakova,1,-0.15
petr-fiala,olga-richterova,1,0.09
miroslav-kalousek,vit-rakusan,1,0.33
tomio-okamura,jan-volny,5,0.21
tomio-okamura,jaromir-volny,5,0.21
milos-zeman,ivan-bartos,1,0.80
andrej-babis,alexandr-novak,1,0.97
andrej-babis,frantisek-novak,1,0.97
andrej-babis,jan-novak,1,0.97
andrej-babis,jaromir-novak,1,0.97
andrej-babis,jaroslav-novak-vecernicek,1,0.97
andrej-babis,jiri-novak,1,0.97
andrej-babis,josef-novak,1,0.97
andrej-babis,libor-novak,1,0.97
andrej-babis,miroslav-novak,1,0.97
andrej-babis,pavel-novak,1,0.97
petr-hladik,andrej-kiska,1,0.91
miroslav-kalousek,ivan-bartos,1,0.03
zdenek-hrib,petr-hlubucek,1,0.90
sarka-jelinkova,tomas-zdechovsky,1,0.78
miroslav-kalousek,jaroslav-faltynek,1,-0.24
tomio-okamura,daniela-kovarova,2,-0.04
vladimir-kremlik,dalibor-zeleny,1,0.92
jana-vildumetzova,richard-brabec,1,0.98
miroslav-kalousek,tomas-czernin,11,0.37
tomio-okamura,zdenek-koudelka,2,-0.09
andrej-babis,jaroslava-pokorna-jermanova,4,0.15
jan-hamacek,olga-sehnalova,1,0.97
jan-hamacek,pavel-poc,1,0.97
miroslav-kalousek,dominik-feri,1,-0.02
miroslav-kalousek,marketa-pekarova-adamova,2,0.64
petr-fiala,robert-kerndl,2,0.09
tomio-okamura,josef-bernard,1,0.08
zdenek-hrib,jakub-michalek,1,0.86
adam-vojtech,klara-dostalova,1,0.20
miroslav-kalousek,alena-schillerova,8,-0.11
petr-fiala,jakub-janda,1,0.48
marek-vyborny,michaela-sojdrova,1,0.98
marek-vyborny,tomas-zdechovsky,1,0.98
tomio-okamura,jaroslava-nemcova,1,0.07
tomio-okamura,miroslava-nemcova,5,0.15
tomio-okamura,tereza-hythova,2,0.09
petr-fiala,jaroslav-faltynek,1,0.08
petr-fiala,petr-rafaj,1,0.08
