Entity,Community
SPD,10
EU,9
Babiš,2
Sněmovna,3
ANO,4
Okamura,10
ČSSD,4
ODS,5
Poslanecká sněmovna,10
Zeman,2
Senát,3
TOP 09,5
KDU-ČSL,5
KSČM,4
Evropská komise,9
Piráti,5
NATO,9
Evropský parlament,6
STAN,5
Hamáček,4
Parlament,6
Sobotka,10
Fiala_p,5
ČT,7
Android,10
Kalousek,5
Česká televize,7
Schillerová,4
ČT 24,7
Agrofert,2
Salvini,6
V 4,9
Putin,9
Merkelová,9
Trump,9
Orbán,9
Le Pen,6
Evropská unie,9
EP,9
Fiala,10
Maláčová,4
Havel,2
Ústavní soud,3
EET,4
OSN,9
Klaus,2
Hrad,2
Evropská rada,9
TV Barrandov,10
Unie,9
HDP,9
Spolu,5
OSVČ,3
Havlíček,4
Komise,9
ČEZ,9
Vojtěch,4
Bělobrádek,10
Macron,9
Český rozhlas,7
Ministerstvo financí,9
Ministerstvo zdravotnictví,3
Masaryk,2
NKÚ,7
Trikolóra,5
Soros,9
SVOBODA,6
Čapí hnízdo,2
Petříček,4
Bartoš,5
Dukovany,9
David,6
Jourová,9
Juncker,9
Nejvyšší kontrolní úřad,7
Hitler,10
Události komentáře,7
Moravec,7
Brusel,9
ČNB,9
von der Leyen,9
Blatný,4
Islámský stát,9
Wilderse,6
Rada,9
BIS,2
Hnutí Svoboda a přímá demokracie,10
Pekarová Adamová,5
Schwarzenberg,2
Johnson,9
Hřib,5
Rakušan,5
OKD,10
Foldyna,6
TV Prima,0
Youtube,10
Volný,10
Pirát,5
Fiala_r,10
FB,10
Prymula,2
Beneš,10
Parlament České republiky,10
Ťok,4
Hnutí SPD,3
Partie,0
Dvořák,7
Svobodný,6
Koněv,5
Otázky Václava Moravce,7
Šafránková,10
Bakala,10
Erdogan,9
Jurečka,5
Šojdrová,1
Zaorálek,4
ENF,6
Gazdík,5
Polčák,1
Novák,3
Hrnčíř,6
Zdechovský,1
Rada EU,9
AFD,6
Evropa národů a svoboda,6
Ministerstvo vnitra,3
Varšavská smlouva,10
Feri,5
Policie,10
Starostové a nezávislí,5
Jakl,10
Pospíšil,1
Identita a demokracie,6
Michálek,5
Rada ČT,7
Google,9
Nos,6
Vláda,4
Facebook,9
Eurostat,9
Křeček,3
ID,6
Stanjura,5
Eurozóna,5
Wilder,6
Výborný,5
Farský,5
Novotný,6
Kovanda,2
Duka,10
Blaško,6
Kolář,5
Redl,5
Metnar,2
Rakoušan,5
Makron,9
Liga,6
EFTA,9
Armáda ČR,6
Zelený,10
Herman,5
ČRO,7
Doležal,6
Nejvyšší soud,3
Válek,5
Úřad práce,6
Charanzová,1
Česká národní banka,10
Bruselská elita,6
Jedlička,9
Klaus ml.,5
Úsvit,10
Televize,10
Ministerstvo práce a sociálních věcí,3
Národní sdružení,6
Niedermayer,1
Stropnický,4
Dlabajová,1
Maříková,4
CVVM,10
Palacký,9
Poche,1
PS PČR,6
Černochová,5
Agrární komora ČR,9
Pelikán,4
SPO,10
ČSÚ,9
FIDESZ,9
CDU,10
STEM,10
Národní fronta,10
Národní shromáždění,6
MPO,9
Senát Parlamentu ČR,3
Toman,9
Úřad vlády,3
EK,2
Dostál,4
UK,9
OECD,9
Benešová,2
Brabec,4
Biden,9
Zahradil,5
Česká pošta,9
Timmermans,9
kurz,9
Brexit,9
PS,3
Staněk,2
Prima,0
StB,2
Faltýnek,2
Filip,4
Plaga,4
Kreml,2
Šmarda,2
Sputnik,2
Vondráček,3
Ministerstvo dopravy,8
KDU,5
Dnešní aktuality,10
Soukup,10
Aréna,10
Svobodné rádio,10
MPSV,4
Vystrčil,3
Němcová,2
Občanská demokratická strana,5
Vondra,5
Mynář,2
Ovčáček,2
Kubera,3
Čižinský,5
Hlubuček,5
Lipovský,7
Interview,7
ŘSD,8
Ředitelství silnic a dálnic,8
Stalin,10
Koudelka,2
