Entity,Community
ČR,0
EU,1
SPD,2
Babiš,3
Česká republika,1
Praha,4
Evropa,1
Sněmovna,2
ANO,2
Okamura,0
ČSSD,2
KČ,0
ODS,2
Tomio Okamura,0
Tomio,0
Andrej Babiš,3
Brusel,1
Německo,1
Česko,1
Poslanecká sněmovna,0
Zeman,3
Senát,3
Rusko,1
2019,1
TOP 09,2
2020,1
KDU-ČSL,2
KSČM,2
Evropská komise,1
Brno,4
USA,1
Andrej,3
Piráti,2
NATO,1
2021,1
Evropský parlament,4
Jan,2
Ukrajina,1
Čína,1
Svoboda a přímá demokracie,0
STAN,2
Francie,1
Polsko,1
2018,1
Andreje,3
2017,1
Miloš Zeman,3
Hamáček,2
Velká Británie,1
Ostrava,4
Petr,2
Parlament,4
Maďarsko,1
září,1
Petra,2
Jana,4
Sobotka,0
Rakousko,1
Slovensko,1
Fiala_p,2
listopadu,1
ČT,2
Android,0
Česká televize,2
Kalousek,2
Itálie,1
května,4
Turecko,1
Miloš,3
Jiří,4
Schillerová,3
ledna,1
října,1
1989,1
Sýrie,1
2016,1
Pavel,4
říjnu,0
Morava,1
ČT 24,0
Pražský hrad,1
V 4,1
Agrofert,3
Československo,1
Salvini,4
Petra Fialy,2
Putin,1
Merkelová,1
Tomáš,4
Trump,1
března,1
Orbán,1
Řecko,1
června,1
Václava,2
2022,1
Le Pen,4
EP,1
2014,1
Evropská unie,1
Západ,1
David,4
Afrika,1
Václav,3
Fiala,0
Švédsko,1
Karel,4
Marine,4
Maláčová,2
Plzeň,4
Havel,3
Ústavní soud,2
Jaroslav,4
Olomouc,4
EET,2
Klaus,3
Vojtěch,3
2013,1
OSN,1
2015,1
Hrad,3
Afghánistán,1
Evropská rada,1
Ivan,4
Izrael,1
Martin,2
TV Barrandov,2
Unie,1
HDP,1
Spolu,2
února,0
OSVČ,0
dubna,1
Havlíček,3
Komise,1
ŘSD,1
Zlín,4
Tomia,0
Karlovarský kraj,1
prosince,1
Středočeský kraj,4
Berlín,1
srpna,1
Matteo Salvini,4
Vysočina,4
ČEZ,1
Karlovy Vary,4
Matteo,4
Václav Havel,3
Karla,3
Marine Le Pen,4
Španělsko,1
MPO,0
1968,1
Bělobrádek,0
Miloše,3
Miroslav,2
Česká,1
Zlínský kraj,4
Dukovany,1
Senát Parlamentu ČR,0
Jan Hamáček,2
Macron,1
Zdeněk,1
Petr Fiala,2
2010,1
Moskva,1
Český rozhlas,2
Adam,3
července,1
PS,2
Alena,3
Ministerstvo financí,1
Moravskoslezský kraj,4
Josef,4
Ministerstvo zdravotnictví,1
Čechy,1
Masaryk,1
NKÚ,2
Trikolóra,2
Čapí hnízdo,3
Soros,4
lednu,1
2030,1
Alena Schillerová,3
Ústecký kraj,2
Švýcarsko,1
Vít,2
Petříček,2
Vídeň,1
Jihomoravský kraj,2
AB,3
Bartoš,2
2012,1
Liberec,4
Jourová,1
květnu,1
Londýn,1
Juncker,4
Viktor Orbán,1
SVOBODA,4
Paříž,1
Nejvyšší kontrolní úřad,2
Hitler,1
Marek,2
Jiřího,2
Český,0
České Budějovice,4
Ministerstvo dopravy,1
Olomoucký kraj,4
Moravec,2
Irák,1
ČNB,1
Hradec Králové,4
Blatný,2
UK,1
Ústí nad Labem,2
březnu,1
Islámský stát,1
Michal,2
BIS,3
Pavla,3
Martina,2
2009,1
Wilderse,4
prosinci,1
Rada,1
Tomáše,4
Japonsko,1
1990,1
Viktor,1
von der Leyen,1
Vladimír,2
Pekarová Adamová,2
Hnutí Svoboda a přímá demokracie,0
červnu,1
Schwarzenberg,2
Toman,1
ANO ČSSD,2
Václav Moravec,2
únoru,1
1939,1
Radek,4
Peking,1
Václav Klaus,3
Donald Trump,1
Eurozóna,1
Lubomír,2
M,3
Filip,2
OKD,0
Lukáš,1
Úřad vlády,0
MF,0
Rakušan,2
Hřib,4
Plzeňský kraj,4
František,4
2023,1
republika,0
Foldyna,4
Srbsko,1
Ivan Bartoš,2
EK,3
StB,3
Markéta,2
Čech,1
2011,2
Kladno,4
Andreji,3
Dostál,3
Robert,4
dubnu,1
Finsko,1
srpnu,1
Lucie,2
Jaroslava,2
Marie,4
Karel Havlíček,3
TV Prima,2
Miroslava,2
A,3
1938,1
Pardubický kraj,0
George,4
Ředitelství silnic a dálnic,1
Volný,2
Pirát,2
Vystrčil,3
Fiala_r,0
Prymula,3
Kreml,1
2008,1
Kubera,3
OECD,1
2004,1
Josefa,4
Beneš,1
Andrejem,3
Parlament České republiky,0
Michaela,2
Adam Vojtěch,3
Jihlava,4
Dánsko,1
Stanislav,2
Liberecký kraj,4
Benešová,3
Ťok,2
Hana,2
Hnutí SPD,2
Jakub,2
Štrasburk,1
Milan,4
Daniel,1
Věra,1
Dvořák,2
Věra Jourová,1
Ondřej,2
Svobodný,4
Ivana,4
Janem,2
Brabec,3
PSP,0
New York,1
2000,1
Litoměřice,4
červenci,1
Jiřím,4
Šafránková,2
Jana Hamáček,2
Bakala,0
Miroslav Kalousek,2
Petrem,2
MPSV,2
Jana Maláčová,2
islám,1
Balkán,1
Erdogan,1
2025,1
Víta,2
Jurečka,2
Vít Rakušan,2
Matteem Salvinim,4
Geertem Wildersem,4
Radim,0
Šojdrová,2
Zaorálek,2
Tchaj-wan,3
2050,1
Asie,1
Visegrád,1
Belgie,1
J,0
Bohuslav,0
Třebíč,4
Norsko,1
Gazdík,2
Znojmo,4
Chorvatsko,1
ENF,4
Polčák,2
Aleš,0
MZ,0
12,1
EUR,1
Washington,1
Kateřina,2
George Soros,4
Nizozemsko,1
Plaga,1
Donald,1
Novák,4
Blízký východ,1
Miloš Vystrčil,3
Zdeňka,4
Finanční správa,0
2001,2
Hrnčíř,4
Karla IV,0
Zdechovský,2
Rada EU,1
Mnichov,1
Angela,1
Matteem,4
AFD,4
Richard,3
Evropa národů a svoboda,4
Zahradil,2
Radim Fiala,0
Česká pošta,1
Krym,1
Náchod,4
Jan Blatný,2
Václav Klaus ml,2
Ministerstvo vnitra,2
Írán,1
Dominik,2
Geertem,4
Huawei,1
2006,2
2027,1
Feri,2
Bohuslav Sobotka,0
Opava,4
Policie,0
Donalda,1
Mladá Boleslav,4
