Entity,Community
Sobotka,0
Bělobrádek,0
Le Pen,1
Svobodný,1
Dukovany,2
Temelín,2
David,5
Novotný,5
Prostějov,1
Opava,5
Šumperk,5
Hahnova,5
Dopita,5
HENNER,5
Paul,5
Schmeidler,1
Macron,6
Juncker,6
Svoboda,7
Národní sdružení,1
Národní shromáždění,7
Rassemblement national,7
Wilderse,7
TV Prima,8
Partie,8
Moravec,9
Otázky Václava Moravce,9
Trikolóra,10
Klaus ml.,10
Legum,1
ENF,11
Evropa národů a svoboda,11
Jihlava,1
Chomutov,5
Jihlavy,1
PS PČR,1
Horák,1
Opavy,5
Příbram,1
Blansko,1
Trutnov,5
Prostějova,1
Armáda ČR,5
Liberec,5
Doležal,1
Úřad práce,1
Polčák,12
Poche,12
Feri,13
Eurozóna,13
Eurostat,14
Hannan,14
Nos,1
Hrnčíř,1
Atkinson,15
Bárta,1
Šojdrová,12
Zdechovský,12
Ježek,12
Niedermayer,12
Teličko,12
Karlovy Vary,5
Blaško,5
Facebook,3
Google,3
Starostové a nezávislí,13
Pospíšil,12
Charanzová,12
Dlabajová,12
Zlín,5
Jakl,5
Jedlička,14
Konzervativní strana,14
Agrární komora ČR,4
Palacký,4
Jandejsek,4
SPO,15
Brichta,15
Mnichově,4
České Budějovice,5
Litoměřice,5
Teplice,5
