n-gram,frekvence
zdravotní péče,142
české republiky,110
ministerstvo zdravotnictví,109
více než,91
zdravotnictví české,82
příští rok,72
duševního zdraví,67
duševní zdraví,67
fakultní nemocnice,65
ministerstva zdravotnictví,62
praktických lékařů,57
právě teď,57
zdravotního pojištění,53
domácí péče,51
dobré ráno,50
zdravotní péči,50
zdravotních pojišťoven,49
české republice,49
mld kč,48
primární péče,48
vzácná onemocnění,41
veřejného zdravotního,41
zdravotní pojišťovny,40
chtěl bych,39
ochranných pomůcek,38
ministr zdravotnictví,37
miliard korun,37
novelu zákona,36
českého zdravotnictví,35
celé čr,34
světový den,34
veřejného zdraví,34
elektronizaci zdravotnictví,33
veřejném zdravotním,33
milionů korun,32
zdravotním pojištění,32
péče duševní,31
očkování proti,31
úhradová vyhláška,31
lékový záznam,31
center duševního,29
zákona veřejném,29
příštím roce,28
ode dneška,28
domácí péči,28
zdravotními pojišťovnami,28
nemocnice bulovce,28
ministra zdravotnictví,26
děkuji všem,26
péče pacienty,26
ministerstvu zdravotnictví,25
česká republika,25
psychiatrické péče,25
české zdravotnictví,25
nouzového stavu,25
fakultní nemocnici,25
lékařských fakult,24
000 kč,24
současné době,24
nošení roušek,24
ministrů zdravotnictví,24
příštího roku,24
rád bych,24
léčebné konopí,24
panem premiérem,23
novela zákona,23
duševním onemocněním,23
velmi rád,23
dostupnost zdravotní,23
paliativní péče,23
lokální ohniska,22
epidemiologická situace,22
naším cílem,22
šíření koronaviru,21
mimo jiné,21
českém zdravotnictví,21
tiskové konferenci,21
otevřených dveří,21
andrej babiš,20
zdravotnických prostředků,20
pozitivních případů,20
léčebného konopí,20
patří mezi,20
dohodovacího řízení,20
národní referenční,20
tisíc lidí,20
tomto směru,19
skvělá zpráva,19
sociálních věcí,19
preventivní prohlídky,19
adam vojtěch,19
naše občany,19
nového roku,18
praktického lékaře,18
mimořádné opatření,18
hygienické stanice,18
nových případů,18
porodní asistence,18
ochraně veřejného,18
víc než,18
zdravotnictví české republiky,81
ministerstvo zdravotnictví české,76
veřejného zdravotního pojištění,40
veřejném zdravotním pojištění,32
péče duševní zdraví,31
center duševního zdraví,29
zákona veřejném zdravotním,28
dostupnost zdravotní péče,22
ochraně veřejného zdraví,18
zákona ochraně veřejného,17
práce sociálních věcí,16
den otevřených dveří,16
reformě péče duševní,15
chtěl bych všechny,15
sdílený lékový záznam,15
dnes světový den,13
premiérem andrej babiš,12
národní referenční laboratoř,12
národní akční plán,12
dostupnosti zdravotní péče,12
centra duševního zdraví,12
léků vzácná onemocnění,12
počtu provedených testů,11
krajské hygienické stanice,11
očkování proti chřipce,11
novelu zákona veřejném,11
miliard korun navíc,11
státního zdravotního ústavu,11
státních hmotných rezerv,11
vlády duševní zdraví,11
reformy psychiatrické péče,10
world health organization,10
health organization who,10
jednání ministrů zdravotnictví,10
fakultní nemocnice motole,10
reformě primární péče,10
kvalitu zdravotní péče,9
vydat kompenzační vyhlášku,9
poskytovatele zdravotní péče,9
elektronický očkovací průkaz,9
fakultní nemocnice olomouc,9
fakultní nemocnice plzeň,9
lékový záznam pacienta,9
děláme maximum abychom,9
správy státních hmotných,9
zákon elektronizaci zdravotnictví,9
úhradách příští rok,9
systému veřejného zdravotního,9
poskytovatelů zdravotní péče,8
lékům lékům vzácná,8
lékům vzácná onemocnění,8
klade velký důraz,8
novela zákona veřejném,8
akcích 100 osob,8
run for help,8
léky vzácná onemocnění,8
posílení role praktických,7
role praktických lékařů,7
centra porodní asistence,7
již více než,7
centrum porodní asistence,7
všeobecná fakultní nemocnice,7
ministrů zdravotnictví zemí,7
tlustého střeva konečníku,7
síť urgentních příjmů,7
světová zdravotnická organizace,7
350 miliard korun,7
přeji všem krásný,7
000 kč měsíčně,7
čím dál více,7
ráno rád bych,7
platby státní pojištěnce,7
letišti václava havla,7
léčebné konopí pacienty,7
zdravotnické záchranné služby,7
centrum duševního zdraví,7
dárců kostní dřeně,7
celé české republice,7
historicky první den,7
léků léků vzácná,7
ochrany veřejného zdraví,7
prodloužení nouzového stavu,7
podíl pozitivních záchytů,6
pozitivních záchytů celkového,6
záchytů celkového počtu,6
celkového počtu provedených,6
dostupnost kvalitu zdravotní,6
reformě psychiatrické péče,6
reforma primární péče,6
národní zdravotnický informační,6
zdravotnický informační portál,6
ministrů zdravotnictví eu,6
pomocí dotačních programů,6
dotačních programů podporujeme,6
český červený kříž,6
setkání ministrů zdravotnictví,6
odborný seminář ereceptu,6
vysokým rizikem nákazy,6
můžeme vydat kompenzační,6
všeobecné fakultní nemocnici,6
ministerstvo zdravotnictví české republiky,76
zákona veřejném zdravotním pojištění,27
zákona ochraně veřejného zdraví,17
reformě péče duševní zdraví,15
novelu zákona veřejném zdravotním,11
world health organization who,10
správy státních hmotných rezerv,9
systému veřejného zdravotního pojištění,9
lékům lékům vzácná onemocnění,8
posílení role praktických lékařů,7
novela zákona veřejném zdravotním,7
léků léků vzácná onemocnění,7
podíl pozitivních záchytů celkového,6
pozitivních záchytů celkového počtu,6
záchytů celkového počtu provedených,6
dostupnost kvalitu zdravotní péče,6
národní zdravotnický informační portál,6
můžeme vydat kompenzační vyhlášku,6
reforma péče duševní zdraví,6
otevřených dveří ministerstvo zdravotnictví,6
dveří ministerstvo zdravotnictví české,6
chtěl bych všechny požádat,6
sdílený lékový záznam pacienta,6
emergentní systém objednávek léčiv,6
inovativních léků léků vzácná,6
celkového počtu provedených testů,5
pomocí dotačních programů podporujeme,5
světový den boje proti,5
ministr zdravotnictví adam vojtěch,5
hromadných akcích 100 osob,5
ráno rád bych zeptal,5
zvýšení platby státní pojištěnce,5
zdravotní péče naše občany,5
zvyšování kvality dostupnosti zdravotní,5
systému psychosociální intervenční služby,5
ministerstvo školství mládeže tělovýchovy,5
otevřených dveří ministerstva zdravotnictví,5
zdravotní péči tedy pacienty,5
dnes ministerstvo zdravotnictví české,5
historicky první den otevřených,5
první den otevřených dveří,5
léků vzácná onemocnění systému,5
národní akční plán prevence,5
akční plán prevence sebevražd,5
zemí extrémním rizikem nákazy,4
dnů jakékoliv lékárny čr,4
veřejném zdravotním pojištění přináší,4
úhradovou regulaci zdravotnických prostředků,4
úhradová vyhláška příští rok,4
síť urgentních příjmů celé,4
systém veřejného zdravotního pojištění,4
britské velvyslanectví praze british,4
velvyslanectví praze british embassy,4
praze british embassy prague,4
institutu klinické experimentální medicíny,4
jednání ministrů zdravotnictví zemí,4
den otevřených dveří ministerstvo,4
významně zvýší bezpečnost pacientů,4
vnitřních hromadných akcích 100,4
letošním roce 20 miliard,4
roce 20 miliard dalším,4
20 miliard dalším roce,4
miliard dalším roce 50,4
dalším roce 50 miliard,4
roce 50 miliard korun,4
50 miliard korun navíc,4
miliard korun navíc státního,4
korun navíc státního rozpočtu,4
stávající dostupnost kvalitu zdravotní,4
kvalitu zdravotní péče naše,4
ústavu péči matku dítě,4
fakultní nemocnice královské vinohrady,4
nové služby praktických lékařů,4
vyjádřit velké poděkování uznání,4
velké poděkování uznání práci,4
poděkování uznání práci kterou,4
dobré ráno rád bych,4
ústav hematologie krevní transfuze,4
národní akční plán duševní,4
akční plán duševní zdraví,4
kvality dostupnosti zdravotní péče,4
reformu péče duševní zdraví,4
státního ústavu kontrolu léčiv,4
fakultní nemocnici královské vinohrady,4
rady vlády duševní zdraví,4
novele zákona veřejném zdravotním,4
dnes světový den boje,4
náhradě újmy způsobené povinným,4
újmy způsobené povinným očkováním,4
léky léky vzácná onemocnění,4
inovativním lékům lékům vzácná,4
orgánů zaměstnaneckých zdravotních pojišťoven,4
nádorové onemocnění nejen včas,4
lékař již nebude odkázán,4
informace užívaných lécích mu,4
teď díky lékovému záznamu,4
díky lékovému záznamu můžeme,4
lékovému záznamu můžeme pustit,4
záznamu můžeme pustit hlavy,4
nemocnicích domácím prostředí pacienta,4
novelu zákona veřejném zdravotním pojištění,10
novela zákona veřejném zdravotním pojištění,7
podíl pozitivních záchytů celkového počtu,6
pozitivních záchytů celkového počtu provedených,6
otevřených dveří ministerstvo zdravotnictví české,6
dveří ministerstvo zdravotnictví české republiky,6
inovativních léků léků vzácná onemocnění,6
záchytů celkového počtu provedených testů,5
dnes ministerstvo zdravotnictví české republiky,5
historicky první den otevřených dveří,5
národní akční plán prevence sebevražd,5
zákona veřejném zdravotním pojištění přináší,4
britské velvyslanectví praze british embassy,4
velvyslanectví praze british embassy prague,4
den otevřených dveří ministerstvo zdravotnictví,4
vnitřních hromadných akcích 100 osob,4
letošním roce 20 miliard dalším,4
roce 20 miliard dalším roce,4
20 miliard dalším roce 50,4
miliard dalším roce 50 miliard,4
dalším roce 50 miliard korun,4
roce 50 miliard korun navíc,4
50 miliard korun navíc státního,4
miliard korun navíc státního rozpočtu,4
stávající dostupnost kvalitu zdravotní péče,4
dostupnost kvalitu zdravotní péče naše,4
kvalitu zdravotní péče naše občany,4
vyjádřit velké poděkování uznání práci,4
velké poděkování uznání práci kterou,4
národní akční plán duševní zdraví,4
zvyšování kvality dostupnosti zdravotní péče,4
novele zákona veřejném zdravotním pojištění,4
dnes světový den boje proti,4
náhradě újmy způsobené povinným očkováním,4
inovativním lékům lékům vzácná onemocnění,4
teď díky lékovému záznamu můžeme,4
díky lékovému záznamu můžeme pustit,4
lékovému záznamu můžeme pustit hlavy,4
čerpat dotaci výši milionu korun,4
zřízení praxí méně atraktivních oblastech,4
první den otevřených dveří ministerstva,4
léků léků vzácná onemocnění systému,4
meziskladu správy státních hmotných rezerv,4
ministrů zdravotnictví členských států eu,4
měli boji koronavirem naprosto klíčovou,3
boji koronavirem naprosto klíčovou roli,3
koronavirem naprosto klíčovou roli péči,3
naprosto klíčovou roli péči pacienty,3
klíčovou roli péči pacienty odběrech,3
roli péči pacienty odběrech vzorků,3
pracovník zzs dostane březen duben,3
zzs dostane březen duben květen,3
dostane březen duben květen celkem,3
březen duben květen celkem 120,3
systému aktuálně více než dostatečná,3
aktuálně více než dostatečná kvalita,3
více než dostatečná kvalita péče,3
než dostatečná kvalita péče naprosto,3
dostatečná kvalita péče naprosto shodná,3
kvalita péče naprosto shodná období,3
celkového počtu provedených testů stabilní,3
počtu provedených testů stabilní posledních,3
provedených testů stabilní posledních dnech,3
testů stabilní posledních dnech klesá,3
postupně daří vyplňovat prázdná místa,3
daří vyplňovat prázdná místa mapě,3
zaměstnanost sociální politiku zdraví ochranu,3
sociální politiku zdraví ochranu spotřebitele,3
posílení role praktických lékařů systému,3
roušky základní preventivní opatření nemá,3
dnes český den proti rakovině,3
umožní vydat kompenzační vyhlášku postará,3
vydat kompenzační vyhlášku postará dostatek,3
kompenzační vyhlášku postará dostatek financí,3
vyhlášku postará dostatek financí všechny,3
postará dostatek financí všechny poskytovatele,3
dostatek financí všechny poskytovatele zdravotní,3
financí všechny poskytovatele zdravotní péče,3
všechny poskytovatele zdravotní péče pomůže,3
poskytovatele zdravotní péče pomůže jim,3
zdravotní péče pomůže jim finančně,3
péče pomůže jim finančně překlenout,3
nárůstem úhrad všech segmentech zdravotní,3
úhrad všech segmentech zdravotní péče,3
dnes léčíme víc pacientů než,3
léčíme víc pacientů než dřív,3
víc pacientů než dřív nejmodernějšími,3
pacientů než dřív nejmodernějšími léky,3
než dřív nejmodernějšími léky přitom,3
všeobecná fakultní nemocnice praze vfn,3
čavo česká asociace vzácná onemocnění,3
znázorňuje průměrný počet osob nakazí,3
průměrný počet osob nakazí 1,3
počet osob nakazí 1 nakažená,3
osob nakazí 1 nakažená osoba,3
stáhněte aplikaci erouška chrání vaše,3
aplikaci erouška chrání vaše okolí,3
kompetencí sester abychom jim rozvázali,3
sester abychom jim rozvázali ruce,3
abychom jim rozvázali ruce zvýšili,3
